AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.253461784917866e-11,3.6449160002047644e-10,5.802578679789844e-09,4.1908202007165e-08,1.0892610845457368e-07,1.5705391535939815e-07,0.001
4.1915769726993466e-10,2.869649132086515e-09,4.5078734977641e-08,3.212618217471664e-07,8.239511877123294e-07,1.1935805512664933e-06,0.002
1.410889834434931e-09,9.531337870775053e-09,1.4774275477802997e-07,1.0389699746886245e-06,2.629388567403164e-06,3.8270435245750285e-06,0.003
3.3354251225698517e-09,2.223419258146917e-08,3.4008157049986717e-07,2.3598766815923497e-06,5.893190622678456e-06,8.618718492474712e-06,0.004
6.497153328771658e-09,4.2736867888270225e-08,6.450209666359839e-07,4.416614053975134e-06,1.0883285876962452e-05,1.5994154918790615e-05,0.005
1.1197181952629025e-08,7.267712128549653e-08,1.0823762771603842e-06,7.31312994447689e-06,1.7782109666642124e-05,2.6261490191517526e-05,0.006
1.7733358167195978e-08,1.1357673345282327e-07,1.6690883628958203e-06,1.1127914017556891e-05,2.6699502077394596e-05,3.9627814549467324e-05,0.007
2.6400290642867538e-08,1.668462704155771e-07,2.4194456203734856e-06,1.5916944587848686e-05,3.7684131635444095e-05,5.621376840472471e-05,0.008
3.7489371254703735e-08,2.337896919759857e-07,3.345292738744616e-06,2.1716377066480084e-05,5.073358925974183e-05,7.606653812819722e-05,0.009000000000000001
5.1288796673745946e-08,3.1560881072822676e-07,4.456226887854744e-06,2.8544993443669054e-05,6.580328415538352e-05,9.917140209430928e-05,0.010000000000000002
6.808358984286747e-08,4.1340760585986956e-07,5.759781988602251e-06,3.640643091324087e-05,8.281426156435101e-05,0.00012546196566189688,0.011000000000000003
8.815562133769773e-08,5.281963958346776e-07,7.261601686113057e-06,4.529120650600713e-05,0.0001016600515035003,0.00015482921171279288,0.012000000000000004
1.1178363061315693e-07,6.608958739467159e-07,8.965601617014722e-06,5.5178553439145416e-05,0.0001222126477345282,0.0001871294822952482,0.013000000000000005
1.392432471361365e-07,8.123410106331637e-07,1.0874121534129783e-05,6.603808380305078e-05,0.00014432770715516662,0.0002221914967501165,0.014000000000000005
1.7080701140485768e-07,9.83284826333194e-07,1.2988067825176712e-05,7.783129119110989e-05,0.00016784905150922633,0.0002598225023632509,0.015000000000000006
2.0674439585543802e-07,1.1744020385826133e-06,1.530704693651535e-05,9.051290592724498e-05,0.00019261254572448466,0.00029981364502268306,0.016000000000000007
2.473218256561948e-07,1.3862925869386599e-06,1.7829490188553338e-05,0.00010403211465690396,0.00021844942024557937,0.00034194463950363153,0.017000000000000008
2.9280269939020995e-07,1.6194850392363332e-06,2.0552770446092655e-05,0.0001183336552356862,0.0002451890983821247,0.0003859878118025301,0.01800000000000001
3.434474096266812e-07,1.8744398825868958e-06,2.347331108459673e-05,0.00013335879707246042,0.00027266158389226434,0.0004317115793415351,0.01900000000000001
3.995133633815797e-07,2.151552702440571e-06,2.6586687672052978e-05,0.00014904621635732134,0.0003006994587245935,0.00047888342881978994,0.02000000000000001
4.612550024681337e-07,2.4511572529490838e-06,2.9887722765753826e-05,0.00016533277492592572,0.00032913953600597083,0.0005272724459530676,0.02100000000000001
5.289238237376547e-07,2.7735284217792943e-06,3.337057420387795e-05,0.00018215421087768916,0.00035782420895153703,0.000576651446278621,0.022000000000000013
6.027683992112213e-07,3.118885092446964e-06,3.702881725318752e-05,0.00019944574847325538,0.0003866025323515188,0.0006267987515696199,0.023000000000000013
6.830343961027332e-07,3.4873929071592905e-06,4.085552095642559e-05,0.00021714263428394023,0.0004153310696250615,0.0006774996521686894,0.024000000000000014
7.699645967338433e-07,3.8791669330766254e-06,4.4843319006069306e-05,0.0002351806060500811,0.00044387453509489214,0.000728547591680853,0.025000000000000015
8.637989183412791e-07,4.2942742348272785e-06,4.898447545493192e-05,0.00025349630022404704,0.00047210625810081494,0.0007797451069329625,0.026000000000000016
9.6477443277706e-07,4.7327363560347374e-06,5.327094555867662e-05,0.0002720276037249371,0.0004999084928098128,0.0008309045528822383,0.027000000000000017
1.0731253861021066e-06,5.194531712543946e-06,5.769443203058219e-05,0.00029071395501367313,0.0005271725950727728,0.0008818486392156741,0.028000000000000018
1.1890832180737538e-06,5.679597899962261e-06,6.224643697484522e-05,0.00030949659920734323,0.0005537990854012821,0.0009324108027015067,0.02900000000000002
1.3128765815276626e-06,6.187833918061424e-06,6.691830975129526e-05,0.0003283188015884855,0.0005796976150729815,0.0009824354369123514,0.03000000000000002
1.4447313616546206e-06,6.719102314519524e-06,7.170129101160748e-05,0.00034712602352681863,0.0006047868505025867,0.001031777998717187,0.03100000000000002
1.5848706951727447e-06,7.273231250415795e-06,7.65865531348922e-05,0.00036586606451612645,0.0006289942893213334,0.0010803050089179408,0.03200000000000002
1.7335149893955543e-06,7.850016489827063e-06,8.156523727890338e-05,0.00038448917373609844,0.000652256020074989,0.0011278939625692134,0.03300000000000002
1.89088194119643e-06,8.449223315811774e-06,8.662848725200715e-05,0.00040294813427650466,0.0006745164360657331,0.0011744331628512532,0.03400000000000002
2.05718655586993e-06,9.070588375006668e-06,9.176748040047105e-05,0.00042119832290783335,0.0006957279126132262,0.0012198214908524072,0.035000000000000024
2.2326411658904567e-06,9.713821453001117e-06,9.697345569554149e-05,0.0004391977480471672,0.000715850455883239,0.0012639681222448391,0.036000000000000025
2.41745544956876e-06,1.0378607182596509e-05,0.000102237739195166,0.0004569070683495165,0.0007348513304174666,0.0013067922005943144,0.037000000000000026
2.611836449606754e-06,1.1064606687000887e-05,0.00010755176704604617,0.00047428959415189736,0.0007527046715855703,0.0013482224759201215,0.03800000000000003
2.815988591551134e-06,1.1771459159954039e-05,0.00011290710618297879,0.0004913112738091685,0.0007693910883610071,0.0013881969161046598,0.03900000000000003
3.0301137021462686e-06,1.2498783384724147e-05,0.00011829547287412121,0.0005079406667860396,0.0007848972610873557,0.001426662297834387,0.04000000000000003
3.254411027586845e-06,1.3246179193864601e-05,0.00012370874925289222,0.0005241489052078294,0.0007992155382439879,0.001463573782926161,0.04100000000000003
3.489077251670735e-06,1.401322887156823e-05,0.00012913899796967304,0.0005399096454226296,0.0008123435356319925,0.001498894485147534,0.04200000000000003
3.734306513852563e-06,1.4799498500406229e-05,0.000134578475089286,0.0005551990109887599,0.0008242837408767836,0.0015325950319690883,0.04300000000000003
3.990290427198447e-06,1.5604539254190325e-05,0.0001400196413533885,0.0005699955283729771,0.0008350431256769199,0.0015646531250846742,0.04400000000000003
4.257218096242363e-06,1.6427888638649083e-05,0.00014545517192040574,0.0005842800565261915,0.0008446327678138921,0.0015950531029953806,0.04500000000000003
4.535276134744641e-06,1.7269071681563107e-05,0.00015087796468943074,0.0005980357113937344,0.0008530674845700962,0.0016237855084695692,0.046000000000000034
4.824648683352979e-06,1.812760207395849e-05,0.00015628114730862293,0.0006112477863159511,0.0008603654788773357,0.0016508466632592213,0.047000000000000035
5.1255174271665336e-06,1.9002983263913892e-05,0.00016165808296302863,0.0006239036691814238,0.0008665479992318969,0.0016762382520674297,0.048000000000000036
5.4380616132034785e-06,1.989470950449388e-05,0.00016700237503141112,0.0006359927571090113,0.0008716390141607366,0.0016999669174188564,0.04900000000000004
5.762458067772508e-06,2.0802266857278823e-05,0.00017230787069660825,0.0006475063693555046,0.0008756649018031387,0.0017220438667803028,0.05000000000000004
6.098881213748746e-06,2.172513415292147e-05,0.00017756866358911125,0.0006584376590726944,0.0008786541549802912,0.001742484493008767,0.05100000000000004
