AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9285100424432464e-09,5.185020141548373e-10,3.968127659348244e-10,5.185020141548373e-10,1.9285100424432464e-09,5.290836879130993e-09,0.001
1.5305148081499798e-08,4.114964367591168e-09,3.1492074241769132e-09,4.114964367591168e-09,1.5305148081499798e-08,4.198943232235884e-08,0.002
5.124328433377315e-08,1.3777343936103622e-08,1.0543885665385423e-08,1.3777343936103622e-08,5.124328433377315e-08,1.40585142205139e-07,0.003
1.2049771491596546e-07,3.239719084160389e-08,2.4793768501227467e-08,3.239719084160389e-08,1.2049771491596546e-07,3.305835800163662e-07,0.004
2.3347183371401462e-07,6.277157669128517e-08,4.803947195761619e-08,6.277157669128517e-08,2.3347183371401462e-07,6.405262927682158e-07,0.005
4.002246897289926e-07,1.0760499202590202e-07,8.235075920349643e-08,1.0760499202590202e-07,4.002246897289926e-07,1.0980101227132856e-06,0.006
6.304779314986292e-07,1.6951121340703892e-07,1.297279694441624e-07,1.6951121340703892e-07,6.304779314986292e-07,1.7297062592554985e-06,0.007
9.33622640172922e-07,2.5101514056775415e-07,1.9210342390389346e-07,2.5101514056775415e-07,9.33622640172922e-07,2.5613789853852455e-06,0.008
1.318726052802142e-06,3.545546040455692e-07,2.713428092185478e-07,3.545546040455692e-07,1.318726052802142e-06,3.6179041229139698e-06,0.009000000000000001
1.7945381773756215e-06,4.824821437114154e-07,3.6924653855465453e-07,4.824821437114154e-07,1.7945381773756215e-06,4.923287180728728e-06,0.010000000000000002
2.3694983011300446e-06,6.370667586028658e-07,4.875510907674991e-07,6.370667586028658e-07,2.3694983011300446e-06,6.500681210233319e-06,0.011000000000000003
3.051741393626515e-06,8.204956284647424e-07,6.279303279066904e-07,8.204956284647424e-07,3.051741393626515e-06,8.372404372089206e-06,0.012000000000000004
3.849104406076451e-06,1.0348758073950408e-06,7.919967913737555e-07,1.0348758073950408e-06,3.849104406076451e-06,1.0559957218316738e-05,0.013000000000000005
