x,AA-cycles,AB-cycles,BB-cycles,all
0.05,0.5121756930063189,0,1.5308364646026775,0.33015861889014714
0.1,0.3350661004128968,0,1.6680634097502938,0.3164141940636366
0.15000000000000002,0.3205323057158576,0,1.211558375842815,0.059339714213353614
0.2,0.22152707622953152,0,2.0161575176566564,0.19427386295810253
0.25,0.04081786079961684,0,1.6616366878728586,0.25940183683242773
0.3,0.46779947301201763,0,2.9617950210552477,0.7111161118455014
0.35,0.42334469398591423,0,5.3627847617167745,0.7731681873996984
0.39999999999999997,0.21037523661895463,0,8.353070359098501,0.6290963204568426
0.44999999999999996,0.2433524675606714,0,8.038108127133311,0.5223267756959656
0.49999999999999994,0.09596315636023696,0,10.494859204497075,0.3619528319734398
0.5499999999999999,0.17817982010581573,0,17.058144237814233,0.5002802536503006
0.6,0.01486498001617617,0,21.72361547369401,0.31860013029814027
0.65,0.05420118167284323,0,31.277392726060448,0.3970958897149061
0.7000000000000001,0.027761673008024425,0,44.0072477291088,0.3812055665267462
0.7500000000000001,0.12658243717863107,0,51.877810021940356,0.5110680451396074
0.8000000000000002,0.1528795495046671,0,62.932306309114836,0.5692695985524571
0.8500000000000002,0.17893507697968453,0,73.3104762871841,0.6419557388803772
0.9000000000000002,0.20062903137517732,0,82.20050902595979,0.7354443951795671
0.9500000000000003,0.07901414606916102,0,87.98830432545353,0.5075332577417946
1.0000000000000002,0.04265523936474623,0,92.25257171288658,0.6118416263356626
1.0500000000000003,0.19977315720993388,0,94.85528971223587,0.8926511438714508
1.1000000000000003,0.4238922013900925,0,96.54664081404697,1.1425972590403912
1.1500000000000004,0.5113162771515927,0,97.7067701499163,1.2626140642386838
1.2000000000000004,0.41258494226447,0,98.53709229682661,1.2300729035627278
1.2500000000000004,0.5303600006171595,0,99.08300856986253,1.4288335922538047
1.3000000000000005,0.2957706676980147,0,99.32604857131298,1.1425152779501278
1.3500000000000005,0.7765707518921164,0,99.59233595448933,1.7308859487008688
1.4000000000000006,1.25581167084164,0,99.76434408770345,2.3794658459115965
1.4500000000000006,1.5811952072858682,0,99.8531517849953,2.8120662931937868
1.5000000000000007,1.5224756182970582,0,99.8984837431963,2.7483110837118048
1.5500000000000007,1.4845847239708645,0,99.9424828677589,2.969441726802913
1.6000000000000008,1.9505412808664042,0,99.96248827509358,3.4997290626508253
1.6500000000000008,1.7832876538496791,0,99.97883036546814,3.6701629237543685
1.7000000000000008,1.136669743563659,0,99.98575325076531,3.0882102779956666
1.7500000000000009,1.2849573209380274,0,99.99161402953712,3.54950583736998
1.800000000000001,2.562158810856023,0,99.99453905108754,4.88859787481132
1.850000000000001,2.5952641446275133,0,99.99660926946932,5.16221028261749
1.900000000000001,3.179285628877546,0,99.9980644885034,6.217300711761734
1.950000000000001,3.284177427719271,0,99.99880816146619,6.655546373673081
2.000000000000001,4.12710587527806,0,99.99925320520926,7.749875955105689
