estimated_true_dist,empirical_min_dist,empirical_true_dist
1.00052028548767,1.0,1
1.9997065439280235,2.0,2
3.0000669238705497,3.0,3
4.000459375895979,3.9996666666666667,4
4.99899097874945,4.999,5
5.998660602243413,5.999,6
6.998220723706972,6.9990000000000006,7
7.998794930870409,7.999,8
8.998971319698306,8.998999999999999,9
9.998014583238366,9.998999999999999,10
11.000800525690472,10.999,11
11.998401562227405,11.998333333333335,12
12.999403652543826,12.998333333333333,13
13.99487854987655,13.998333333333331,14
14.996265443631128,14.998333333333333,15
16.00104056628486,15.998333333333333,16
17.001620979040307,16.998333333333335,17
17.99983667303307,17.99833333333333,18
18.994013110860326,18.998333333333335,19
19.9966475865801,19.99833333333333,20
20.99452275164769,20.99833333333333,21
21.999025853895905,21.997666666666664,22
22.9970506620373,22.996999999999996,23
23.99624955352868,23.996999999999996,24
24.99730488079827,24.996666666666666,25
26.00090180963313,25.996666666666663,26
27.000712218046267,26.995666666666665,27
28.00271555355587,27.99566666666666,28
29.00211287210799,28.99566666666666,29
29.991185918940694,29.995333333333335,30
30.99290894627311,30.99533333333333,31
31.99647694089213,31.995333333333335,32
33.00085867585583,32.995333333333335,33
34.00209004701127,33.99533333333334,34
35.001881490346534,34.995000000000005,35
35.999361108567996,35.99433333333333,36
36.99555428728572,36.994,37
37.99235555673819,37.99400000000001,38
38.988030912666986,38.99366666666667,39
39.986906006229894,39.99366666666667,40
41.00269074495237,40.99300000000001,41
41.98211924791677,41.992000000000004,42
42.98000845196516,42.99099999999999,43
43.99854913348085,43.99033333333333,44
44.98051495845194,44.989999999999995,45
45.9993111966767,45.99,46
46.9969000792,46.99,47
47.99506213336801,47.989333333333335,48
48.99712041292125,48.989333333333335,49
49.99922805386663,49.98866666666666,50
50.99682091748401,50.98866666666667,51
51.99707910044805,51.98833333333333,52
52.99666739768571,52.98766666666667,53
53.992412912911206,53.987,54
54.9920481850044,54.986333333333334,55
55.99082129045668,55.98633333333333,56
56.98290215873848,56.986333333333334,57
57.98522368481963,57.98633333333333,58
58.99109377071557,58.98533333333334,59
59.99290801263719,59.985333333333344,60
60.992953168175774,60.98533333333333,61
61.99086492700838,61.98400000000001,62
62.99213636498317,62.983666666666664,63
63.98504396553298,63.983333333333334,64
64.97453931977157,64.98166666666668,65
65.97538869381235,65.98166666666667,66
66.98102680481591,66.98166666666665,67
67.97772393506435,67.98166666666665,68
68.97884552156654,68.98166666666667,69
69.99101665501917,69.98100000000001,70
70.98974568227895,70.981,71
71.98573762191091,71.98099999999998,72
72.98059417389727,72.98033333333332,73
73.98130944039575,73.97899999999998,74
74.97513759498288,74.97833333333335,75
75.96421235206833,75.97666666666666,76
76.96310125220722,76.97599999999998,77
77.96786432247562,77.97599999999998,78
78.97147816036504,78.97500000000001,79
79.97700571271972,79.97399999999999,80
80.98083261309009,80.97266666666667,81
81.97046166886963,81.97266666666667,82
82.97555724542657,82.97233333333334,83
83.97258661519322,83.97133333333333,84
84.96605962047633,84.97133333333333,85
85.9717706474882,85.97133333333333,86
86.97156284315348,86.97133333333332,87
87.97160500316384,87.97066666666665,88
88.97845531181436,88.97033333333333,89
89.97333824573425,89.96999999999998,90
90.97739873039153,90.96866666666665,91
91.97932597428178,91.96866666666666,92
92.97984149007374,92.96866666666665,93
93.97069388428028,93.96733333333333,94
94.97348699611362,94.96633333333331,95
95.97889182019091,95.96566666666666,96
96.98452367012719,96.96566666666665,97
97.98725263129005,97.96533333333333,98
98.98890695330498,98.96466666666666,99
99.98653085656323,99.96466666666666,100
100.98785590892568,100.96433333333333,101
101.98494916820543,101.96433333333333,102
102.97206400168757,102.96433333333331,103
103.98339557827686,103.96333333333334,104
104.98382326820948,104.963,105
105.94065964174864,105.96166666666666,106
106.94153787702226,106.95966666666666,107
107.98488990690097,107.958,108
108.97914744605681,108.95800000000001,109
109.97467727525228,109.95566666666667,110
110.96458552467841,110.95499999999998,111
111.97048583520626,111.95333333333333,112
112.9728197503179,112.95300000000002,113
113.96951704781615,113.95166666666668,114
114.96803938588263,114.95000000000002,115
115.96857554500666,115.95,116
116.96850356344336,116.94833333333331,117
117.9745719826402,117.94800000000001,118
118.92570523204216,118.94633333333334,119
119.92895857046467,119.94533333333334,120
120.92839527362413,120.94533333333335,121
121.93153091926067,121.94533333333334,122
122.93253043014279,122.94466666666669,123
123.92025352463253,123.94399999999997,124
124.92298157979343,124.94333333333334,125
125.91882920459184,125.943,126
126.96335927738437,126.94300000000003,127
127.96155330887859,127.94233333333332,128
128.96609831463203,128.94033333333334,129
129.97017427044437,129.93966666666665,130
130.91254073834648,130.93833333333336,131
131.90435943816328,131.93666666666672,132
132.9635395273158,132.9356666666667,133
133.90495495264912,133.93533333333335,134
134.96578022952548,134.93466666666666,135
135.96691380375592,135.93433333333337,136
136.96410013195245,136.9333333333333,137
137.94335405873002,137.93099999999998,138
138.9402477923189,138.93066666666672,139
139.9458178182916,139.92966666666663,140
140.9583585802059,140.92833333333337,141
141.9548324484482,141.9266666666667,142
142.95634214037173,142.92533333333327,143
143.89855807862673,143.92466666666664,144
144.9562080437762,144.92266666666666,145
145.95802224723283,145.9223333333333,146
146.88972440771468,146.92200000000003,147
147.9501455927884,147.92200000000003,148
148.95145093994682,148.91966666666664,149
149.94832178275382,149.91933333333338,150
150.95392134357047,150.91866666666667,151
151.88613784070898,151.91733333333335,152
152.95255354032267,152.91666666666666,153
153.87998598610417,153.91633333333337,154
154.88166652094122,154.91533333333336,155
155.8891860863608,155.91300000000004,156
156.89866068103635,156.91099999999994,157
