empirical_min_dist,estimated_true_dist,best_x,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
49.994,49.98254141446968,0.048334854358120086,0.0008035316723741745,0.4,0.4,0.4,50
99.981,99.9645360840894,0.0978411673812292,0.0002859697538779561,0.4,0.4,0.4,100
149.93999999999994,149.9942697159665,0.14817317412924264,0.000960237941817855,0.4,0.4,0.4,150
199.882,199.92563423328838,0.1983250699418567,0.001158495764591291,0.4,0.4,0.4,200
249.77200000000008,250.12842178899928,0.2499579646939289,0.0015401161698167843,0.4,0.4,0.4,250
299.64000000000004,300.10315145512465,0.29986575020257467,0.001425784088511442,0.4,0.4,0.4,300
349.3890000000002,349.92109598355415,0.34941180127199384,0.0012105898424512491,0.4,0.4,0.4,350
399.03400000000005,399.85474024850174,0.3991703329294836,0.0012352841875028562,0.4,0.4,0.4,400
448.3919999999998,450.0244858644504,0.45006315324527574,0.0011799746307893499,0.4,0.4,0.4,450
497.0720000000001,499.80235139927,0.49946082892335963,0.000925574595327442,0.4,0.4,0.4,500
544.0560000000002,549.2714369223406,0.5479985750344935,0.0010493270083323136,0.4,0.4,0.4,550
588.2770000000004,598.865426735072,0.5973812910838763,0.001222281164571707,0.4,0.4,0.4,600
629.0010000000003,648.6524024338139,0.6468618543072631,0.001068723910801608,0.4,0.4,0.4,650
665.9650000000001,698.4241631777779,0.6968186137358192,0.0009173851939488402,0.4,0.4,0.4,700
699.1280000000003,747.9208065006429,0.7462013297852021,0.0006759350571090474,0.4,0.4,0.4,750
728.9239999999995,797.7224175068153,0.796164717240428,0.0005377718674862043,0.4,0.4,0.4,800
755.7940000000001,847.9116028767143,0.8467927967825333,0.000644318791687903,0.4,0.4,0.4,850
779.8569999999999,897.279821011834,0.8959218246486873,0.0005468364822228546,0.4,0.4,0.4,900
801.4769999999995,947.1630314771496,0.9457908753276254,0.000551393355435483,0.4,0.4,0.4,950
820.4460000000003,997.1426961052468,0.9963631713805237,0.0005819957327665552,0.4,0.4,0.4,1000
837.5230000000007,1046.2377019370956,1.045435847038625,0.0005067251769181719,0.4,0.4,0.4,1050
852.8709999999995,1094.5099796549798,1.093031811948989,0.0005281282139780627,0.4,0.4,0.4,1100
866.6189999999998,1143.7454866240091,1.14219197910783,0.0004862499369136583,0.4,0.4,0.4,1150
879.0109999999999,1193.2416732562074,1.1916986311252284,0.000497480683047347,0.4,0.4,0.4,1200
890.1810000000006,1243.9960161180877,1.2430142650797351,0.0005300625472605784,0.4,0.4,0.4,1250
900.2420000000003,1291.946288645685,1.2903009846006535,0.0005426680445270424,0.4,0.4,0.4,1300
909.1989999999992,1341.0456319477516,1.339273304182853,0.0005955496460206138,0.4,0.4,0.4,1350
917.3350000000005,1391.0766597435368,1.3894496695324927,0.0006188493106077826,0.4,0.4,0.4,1400
924.3909999999998,1438.4385120760971,1.4367066022963146,0.0005924518732771262,0.4,0.4,0.4,1450
931.0489999999995,1486.410448790109,1.484447873581186,0.0005418004345804099,0.4,0.4,0.4,1500
