empirical_min_dist,estimated_true_dist0,best_x0,estimated_true_dist1,best_x1,estimated_true_dist2,best_x2,estimated_true_dist3,best_x3,estimated_true_dist4,best_x4,estimated_true_dist5,best_x5,estimated_true_dist6,best_x6,empirical_true_dist
99.95900000000002,99.95079528879748,0.099,99.95079528879748,0.099,99.95079528879748,0.099,99.95079528879748,0.099,99.95079528879748,0.099,99.95079528879748,0.099,99.95079528879748,0.099,100
199.81999999999996,199.8240910685396,0.1985,199.92000564824824,0.199,199.8240910685396,0.1985,199.8240910685396,0.1985,199.92000564824824,0.199,199.92000564824824,0.199,199.92000564824824,0.199,200
299.54400000000004,299.141410123604,0.2965,299.8310483173545,0.299,299.69305128365994,0.2985,299.4171612962657,0.2975,299.8310483173545,0.299,299.8310483173545,0.299,299.8310483173545,0.299,300
398.855,397.0960416548875,0.3905,400.0921365921746,0.399,399.56255890633116,0.3975,398.8570249531085,0.3955,400.0921365921746,0.399,399.91557002659846,0.3985,400.0921365921746,0.399,400
496.37899999999973,494.9126801330075,0.487,499.9761671332163,0.499,499.34182653575647,0.4975,498.49666252166503,0.4955,499.9761671332163,0.499,499.9761671332163,0.499,499.9761671332163,0.499,500
586.753,593.7372629677219,0.5864999999999999,600.0446039416178,0.5994999999999999,599.0721877850277,0.5974999999999999,598.100518019431,0.5954999999999999,599.8014299738868,0.599,599.5583026165274,0.5984999999999999,600.0446039416178,0.5994999999999999,600
663.9630000000001,691.8965122034105,0.6839999999999999,699.4882670337315,0.698,698.6730814583063,0.6965,697.0439917618111,0.6935,699.4882670337315,0.698,699.4882670337315,0.698,699.4882670337315,0.698,700
727.0319999999999,788.2531475908753,0.7795,798.3371470151646,0.7965,797.4451831709305,0.7949999999999999,795.3655850660938,0.7915,798.3371470151646,0.7965,798.3371470151646,0.7965,798.3371470151646,0.7965,800
778.0329999999998,882.9711064134322,0.873,896.0614782851264,0.8935,896.0614782851264,0.8935,893.1813151146757,0.889,896.0614782851264,0.8935,896.0614782851264,0.8935,896.0614782851264,0.8935,900
819.2610000000005,976.2206904848657,0.9644999999999999,996.609129323211,0.9944999999999999,994.5630620140904,0.9914999999999999,990.8160846947641,0.986,996.609129323211,0.9944999999999999,996.609129323211,0.9944999999999999,996.609129323211,0.9944999999999999,1000
851.9900000000005,1066.1014067236556,1.0525,1095.4421433404011,1.0935,1092.207842495716,1.089,1087.1835028201813,1.082,1095.4421433404011,1.0935,1095.4421433404011,1.0935,1095.4421433404011,1.0935,1100
878.303,1151.1585757083699,1.1345,1193.3835933973462,1.191,1188.499634528167,1.1844999999999999,1180.9990086047417,1.1744999999999999,1193.007666131893,1.1905,1193.007666131893,1.1905,1193.007666131893,1.1905,1200
899.25,1230.0483715392656,1.21,1288.9293380852573,1.286,1280.742101723156,1.2755,1269.8515044859782,1.2615,1288.9293380852573,1.286,1288.9293380852573,1.286,1288.9293380852573,1.286,1300
916.5790000000002,1307.7901697426437,1.285,1387.3453316124,1.3845,1376.4686693593094,1.371,1362.0060187528434,1.353,1387.3453316124,1.3845,1387.3453316124,1.3845,1387.3453316124,1.3845,1400
930.5579999999997,1377.347338372147,1.351,1482.819323887654,1.4795,1467.9123594359899,1.4615,1449.3377426346785,1.439,1482.4046814263293,1.4789999999999999,1482.4046814263293,1.4789999999999999,1482.819323887654,1.4795,1500
