empirical_min_dist,estimated_true_dist,best_x,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.97200000000002,100.0557357796884,0.0995,0.002034583977505742,0.4,0.63,0.21,100
199.75099999999998,200.18637069140044,0.1995,0.0017513186011422841,0.4,0.63,0.21,200
298.9059999999999,300.20715136770565,0.3,0.0021576602660621797,0.4,0.63,0.21,300
393.6060000000003,400.31971599330575,0.4005,0.0014737102542576642,0.4,0.63,0.21,400
473.6659999999999,500.36374587030525,0.5005,0.0013947643585332581,0.4,0.63,0.21,500
538.4189999999999,599.8363817814364,0.5994999999999999,0.0009248856902102033,0.4,0.63,0.21,600
591.9200000000002,700.60674252066,0.7005,0.0011601741562711513,0.4,0.63,0.21,700
637.0009999999997,800.7451895582824,0.8005,0.0010624804657235884,0.4,0.63,0.21,800
675.728,902.6007569711307,0.9035,0.0014097473013167034,0.4,0.63,0.21,900
709.3209999999997,1002.8186914723512,1.0045,0.0012430770287993015,0.4,0.63,0.21,1000
738.884999999999,1101.653011070617,1.103,0.0011637599139146717,0.4,0.63,0.21,1100
765.4280000000006,1201.8961190541224,1.2035,0.0010029190930279047,0.4,0.63,0.21,1200
788.9740000000008,1296.5382504047275,1.2954999999999999,0.0007696583301736451,0.4,0.63,0.21,1300
809.9359999999996,1397.5724761861009,1.3975,0.0007938340194291184,0.4,0.63,0.21,1400
828.7979999999998,1493.4537909069759,1.492,0.000728127950953615,0.4,0.63,0.21,1500
