x,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,all
0.05,1.9146430313322547,1.3191623416364149,7.35561125322868,1.0675175694042214,3.3903148905807314
0.1,1.2536405152441197,4.084440147763587,7.5815190442646925,5.95108614334543,4.179432754411009
0.15000000000000002,2.252342399132933,0.04869874260365965,3.208577727100862,5.561468609942047,0.3054476224751019
0.2,2.864055402774,7.364321607805062,16.160757891529286,28.04245626276867,1.8472929806628517
0.25,1.8010506399183288,12.010191643703077,41.57210785985008,77.47017780475232,2.979877481393337
0.3,0.01123209002760876,13.746623973441361,59.86493698046786,91.5959004933762,2.5905593068284163
0.35,0.3575017973235621,29.378432916224597,83.0785316517061,98.34454637054536,2.3612935807989075
0.39999999999999997,0.21148690574578496,42.70193573791627,93.75531478675978,99.41748758867175,2.391865229269231
0.44999999999999996,0.6360543912374036,53.94105656301735,97.8503619564253,99.88714993098344,1.1594957184128467
0.49999999999999994,0.21849514587184954,68.69194675161475,99.27840018273541,99.9829392390372,1.7912004429180004
0.5499999999999999,0.09450179839610286,80.20138302860808,99.7686068394615,99.99747206818056,1.5190537403269972
0.6,0.8312091656500608,86.69861039106624,99.92610902368891,99.99901758994574,1.9535365832298046
0.65,0.3011601992594473,93.70424494010761,99.9820142306529,99.9999394907439,1.6251651418052317
0.7000000000000001,0.15182892265526424,96.6079824769293,99.99491425071287,99.99999140644682,1.4334239639936293
0.7500000000000001,0.05815634308436856,98.21071716328535,99.99830642893151,99.99999788593247,1.2203012186869229
0.8000000000000002,0.8574140763788604,99.03323112835992,99.99946859717173,99.9999996072677,1.9082934133503644
0.8500000000000002,0.8757867687275952,99.45022390766015,99.99986917976783,0,1.8504413752822972
0.9000000000000002,0.6302082996223577,99.72365376254118,99.99994898591186,99.99999999440982,1.5651507570750898
0.9500000000000003,1.3262581517338436,99.86772671252153,99.99998698528101,99.99999999923728,2.305406072624728
1.0000000000000002,1.0951002683090671,99.93730579366297,99.99999547430549,0,2.060846076904225
1.0500000000000003,0.7630036484559344,99.96474826873632,99.99999892326363,0,1.6814484629600206
1.1000000000000003,0.12993166034507053,99.98277557573256,99.99999978077862,99.9999999999975,1.173299689215441
1.1500000000000004,0.40879258128998214,99.99087402388739,99.99999992652342,0,0.5485404682704252
1.2000000000000004,0.44894481872659386,99.99543341111719,99.99999997642794,0,0.4978383206815534
1.2500000000000004,0.5086331069317691,99.99725540231907,99.99999999423841,100.0,0.3522734541867166
1.3000000000000005,0.24745706876246099,99.99848496550273,99.99999999732458,100.0,0.48570239539757193
1.3500000000000005,0.02485708136406374,99.99921899554823,99.99999999931185,0,0.7448846500811728
1.4000000000000006,0.023928998414933584,99.99955863062408,99.99999999983953,0,0.6986173655140524
1.4500000000000006,0.294825508931741,99.9997835980487,99.99999999995482,0,0.4045656794190032
1.5000000000000007,0.23569230494041465,99.99988088889712,99.99999999998847,0,0.4258625972499916
1.5500000000000007,0.36756996177619106,99.99993247478615,99.99999999999675,0,0.9624513323219653
1.6000000000000008,0.19726735564892334,99.9999731496668,99.99999999999918,0,0.9433363055885049
1.6500000000000008,1.012237871796885,99.99998604851807,99.99999999999974,100.0,1.7315147066835455
1.7000000000000008,1.5816526380772387,99.99999323656728,99.99999999999987,100.0,2.299461621794667
1.7500000000000009,2.0798234601545262,99.99999715298833,99.99999999999999,100.0,2.9583423151403005
1.800000000000001,2.148320507084728,99.99999824456215,100.0,100.0,2.9328720144845364
1.850000000000001,2.8487966419971897,99.9999991539433,100.0,100.0,3.595922014222386
1.900000000000001,2.914090823481256,99.99999960650418,100.0,0,3.7730278184456
1.950000000000001,2.566703664456354,99.99999977724633,100.0,0,3.3648860339621556
2.000000000000001,3.5225605860917346,99.9999999074715,100.0,0,4.442741592159572
