n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,499.03,498.97,0.485,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,498.04,497.962,0.977,0.0,1.019,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.002
1000,3,997.0,497.01,497.003,1.486,0.0,1.488,0.006,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013
1000,4,996.0,496.072,495.95,1.949,0.0,2.007,0.01,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.022
1000,5,995.0,495.105,494.939,2.416,0.0,2.496,0.021,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.044
1000,6,994.0,494.091,493.968,2.911,0.0,2.971,0.029,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059
1000,7,993.0,493.118,492.967,3.38,0.0,3.452,0.038,0.0,0.0,0.043,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.084
1000,8,992.0,492.144,491.961,3.852,0.0,3.94,0.048,0.0,0.0,0.053,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102
1000,9,991.0,491.159,490.976,4.322,0.0,4.41,0.063,0.0,0.0,0.068,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.131
1000,10,990.002,490.172,490.005,4.796,0.0,4.86,0.076,0.0,0.0,0.089,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,2.167
