A,B,all,x
0.9,0.09999999999999998,1.0,0.0
0.899400199955563,0.09860975442628617,0.9980099543818491,0.001
0.8988007996445629,0.09723883668012466,0.9960396363246876,0.002
0.8982017988005998,0.09588697805724843,0.9940887768578482,0.003
0.8976031971574508,0.09455391358903961,0.9921571107464905,0.004
0.897004994449071,0.0932393819905948,0.9902443764396658,0.005
0.8964071904095924,0.09194312560951244,0.9883503160191048,0.006
0.8958097847733242,0.09066489037539208,0.9864746751487162,0.007
0.8952127772747529,0.0894044257500357,0.9846172030247886,0.008
0.8946161676485418,0.08816148467834158,0.9827776523268834,0.009000000000000001
0.894019955629531,0.08693582353988055,0.9809557791694115,0.010000000000000002
0.8934241409527375,0.08572720210114572,0.9791513430538832,0.011000000000000003
0.8928287233533546,0.08453538346846584,0.9773641068218204,0.012000000000000004
0.8922337025667524,0.0833601340415735,0.9755938366083259,0.013000000000000005
0.8916390783284771,0.08220122346781862,0.9738403017962958,0.014000000000000005
0.8910448503742512,0.08105842459701867,0.9721032749712699,0.015000000000000006
0.8904510184399737,0.07993151343693648,0.9703825318769101,0.016000000000000007
0.8898575822617188,0.078820269109377,0.9686778513710959,0.017000000000000008
0.8892645415757375,0.07772447380689458,0.9669890153826322,0.01800000000000001
0.888671896118456,0.07664391275010188,0.9653158088685578,0.01900000000000001
0.8880796456264761,0.0755783741455725,0.9636580197720486,0.02000000000000001
0.8874877898365757,0.07452764914432883,0.9620154389809046,0.02100000000000001
0.8868963284857077,0.07349153180090684,0.9603878602866145,0.022000000000000013
0.8863052613110001,0.07246981903299025,0.9587750803439903,0.023000000000000013
0.8857145880497567,0.07146231058160568,0.9571768986313623,0.024000000000000014
0.8851243084394558,0.0704688089718713,0.955593117411327,0.025000000000000015
0.884534422217751,0.06948911947429103,0.9540235416920421,0.026000000000000016
0.8839449291224706,0.06852305006658699,0.9524679791890576,0.027000000000000017
0.8833558288916178,0.06757041139606257,0.9509262402876804,0.028000000000000018
0.8827671212633702,0.06663101674248859,0.9493981380058588,0.02900000000000002
0.8821788059760798,0.06570468198150564,0.9478834879575855,0.03000000000000002
0.8815908827682732,0.06479122554853502,0.9463821083168082,0.03100000000000002
0.8810033513786514,0.06389046840319158,0.944893819781843,0.03200000000000002
0.8804162115460891,0.06300223399419119,0.9434184455402803,0.03300000000000002
0.8798294630096352,0.06212634822474613,0.9419558112343813,0.03400000000000002
0.8792431055085127,0.06126263941844157,0.9405057449269543,0.035000000000000024
0.8786571387821184,0.06041093828558642,0.9390680770677048,0.036000000000000025
0.8780715625700223,0.059571077890032076,0.9376426404600544,0.037000000000000026
0.8774863766119686,0.058742893616452296,0.936229270228421,0.03800000000000003
0.8769015806478744,0.05792622313807816,0.9348278037859525,0.03900000000000003
0.8763171744178305,0.05712090638488145,0.933438080802712,0.04000000000000003
0.8757331576621008,0.05632678551220042,0.9320599431743012,0.04100000000000003
0.8751495301211222,0.05554370486980178,0.9306932349909239,0.04200000000000003
0.8745662915355048,0.05477151097137269,0.9293378025068775,0.04300000000000003
0.8739834416460313,0.05401005246443702,0.9279934941104683,0.04400000000000003
0.8734009801936573,0.053259180100689675,0.926660160294347,0.04500000000000003
0.8728189069195111,0.05251874670674357,0.9253376536262548,0.046000000000000034
0.8722372215648937,0.05178860715528309,0.9240258287201768,0.047000000000000035
0.8716559238712779,0.05106861833661874,0.9227245422078967,0.048000000000000036
0.8710750135803091,0.050358639130637095,0.9214336527109462,0.04900000000000004
0.8704944904338053,0.049658530379140906,0.9201530208129463,0.05000000000000004
0.869914354173756,0.04896815485857357,0.9188825090323295,0.05100000000000004
0.8693346045423228,0.048287377253122925,0.9176219817954457,0.05200000000000004
0.8687552412818393,0.047616064128198896,0.9163713054100382,0.05300000000000004
0.8681762641348106,0.046954083904279874,0.9151303480390905,0.05400000000000004
0.8675976728439138,0.046301306831122754,0.9138989796750365,0.05500000000000004
0.8670194671519968,0.04565760496233143,0.9126770721143282,0.05600000000000004
0.8664416468020796,0.04502285213027887,0.9114644989323585,0.057000000000000044
0.8658642115373529,0.04439692392137796,0.9102611354587309,0.058000000000000045
0.865287161101179,0.04377969765169591,0.9090668587528749,0.059000000000000045
0.8647104952370909,0.04317105234290792,0.9078815475799988,0.060000000000000046
0.8641342136887927,0.04257086869858497,0.9067050823873777,0.06100000000000005
0.8635583162001592,0.04197902908081138,0.9055373452809706,0.06200000000000005
0.8629828025152361,0.04139541748712736,0.9043782200023635,0.06300000000000004
0.8624076723782395,0.04081991952779222,0.9032275919060316,0.06400000000000004
0.8618329255335556,0.04025242240336355,0.9020853479369192,0.06500000000000004
0.861258561725742,0.03969281488258821,0.9009513766083302,0.06600000000000004
0.8606845806995255,0.03914098728060061,0.899825567980126,0.06700000000000005
0.8601109821998034,0.03859683143742417,0.8987078136372276,0.06800000000000005
0.8595377659716431,0.0380602406967716,0.8975980066684147,0.06900000000000005
0.8589649317602819,0.03753110988513991,0.8964960416454217,0.07000000000000005
0.8583924793111267,0.03700933529119609,0.8954018146023228,0.07100000000000005
0.8578204083697543,0.03649481464544932,0.8943152230152036,0.07200000000000005
0.8572487186819107,0.035987447100205905,0.8932361657821166,0.07300000000000005
0.8566774099935118,0.03548713320980269,0.8921645432033145,0.07400000000000005
0.8561064820506427,0.034993774911115494,0.8911002569617581,0.07500000000000005
0.8555359345995572,0.034507275504338325,0.8900432101038955,0.07600000000000005
0.8549657673866792,0.03402753963403004,0.8889933070207092,0.07700000000000005
0.8543959801586006,0.03355447327042422,0.8879504534290249,0.07800000000000006
