AA,AB,BB,all,x
0.0,0.0,0.0,0.0,0.0
0.0004482035952047962,9.960079893439918e-05,0.0004482035952047962,0.0009960079893439916,0.001
0.0008928287233533547,0.0001984063829674122,0.0008928287233533547,0.0019840638296741214,0.002
0.0013338968123636063,0.0002964215138585792,0.0013338968123636063,0.002964215138585792,0.003
0.0017714291760995134,0.0003936509280221142,0.0017714291760995134,0.003936509280221141,0.004
0.0022054470149401994,0.0004900993366533778,0.0022054470149401994,0.004900993366533777,0.005
0.0026359714163463554,0.0005857714258547457,0.0026359714163463554,0.005857714258547456,0.006
0.0030630233554239275,0.000680671856760873,0.0030630233554239275,0.006806718567608728,0.007
0.0034866236954851117,0.0007748052656633583,0.0034866236954851117,0.007748052656633582,0.008
0.003906793188606649,0.0008681762641348112,0.003906793188606649,0.00868176264134811,0.009000000000000001
0.004323552476185455,0.0009607894391523236,0.004323552476185455,0.009607894391523234,0.010000000000000002
0.004736922089491582,0.001052649353220352,0.004736922089491582,0.010526493532203515,0.011000000000000003
0.005146922450218527,0.0011437605444930064,0.005146922450218527,0.011437605444930062,0.012000000000000004
0.005553573871030905,0.001234127526895757,0.005553573871030905,0.012341275268957567,0.013000000000000005
0.005956896556109499,0.0013237547902465558,0.005956896556109499,0.013237547902465554,0.014000000000000005
0.006356910601693682,0.0014126468003763742,0.006356910601693682,0.014126468003763739,0.015000000000000006
0.006753635996621255,0.0015008079992491683,0.006753635996621255,0.015008079992491678,0.016000000000000007
0.007147092622865688,0.0015882428050812644,0.007147092622865688,0.01588242805081264,0.017000000000000008
0.007537300256070771,0.0016749556124601717,0.007537300256070771,0.016749556124601713,0.01800000000000001
0.007924278566082724,0.0017609507924628278,0.007924278566082724,0.017609507924628273,0.01900000000000001
0.008308047117479726,0.0018462326927732732,0.008308047117479726,0.018462326927732725,0.02000000000000001
0.008688625370098933,0.0019308056377997636,0.008688625370098933,0.01930805637799763,0.02100000000000001
0.00906603267956093,0.002014673928791318,0.00906603267956093,0.020146739287913176,0.022000000000000013
0.009440288297791692,0.00209784184395371,0.009440288297791692,0.020978418439537093,0.023000000000000013
0.009811411373542033,0.002180313638564897,0.009811411373542033,0.021803136385648965,0.024000000000000014
0.01017942095290455,0.002262093545089901,0.01017942095290455,0.022620935450899,0.025000000000000015
0.010544335979828103,0.0023431857732951343,0.010544335979828103,0.02343185773295134,0.026000000000000016
0.010906175296629789,0.0024235945103621764,0.010906175296629789,0.024235945103621752,0.027000000000000017
0.011264957644504508,0.0025033239210010025,0.011264957644504508,0.02503323921001002,0.028000000000000018
0.011620701664032024,0.0025823781475626728,0.011620701664032024,0.025823781475626723,0.02900000000000002
0.011973425895681634,0.002660761310151475,0.011973425895681634,0.026607613101514743,0.03000000000000002
0.012323148780314382,0.00273847750673653,0.012323148780314382,0.027384775067365294,0.03100000000000002
0.01266988865968288,0.002815530813262863,0.01266988865968288,0.028155308132628624,0.03200000000000002
0.013013663776928702,0.0028919252837619346,0.013013663776928702,0.02891925283761934,0.03300000000000002
0.013354492277077416,0.0029676649504616483,0.013354492277077416,0.02967664950461648,0.03400000000000002
0.0136923922075312,0.003042753823895823,0.0136923922075312,0.030427538238958225,0.035000000000000024
0.01402738151855913,0.003117195893013141,0.01402738151855913,0.031171958930131402,0.036000000000000025
0.014359478063785066,0.0031909951252855713,0.014359478063785066,0.0319099512528557,0.037000000000000026
0.01468869960067322,0.003264155466816272,0.01468869960067322,0.032641554668162716,0.03800000000000003
0.015015063791011383,0.0033366808424469753,0.015015063791011383,0.03336680842446974,0.03900000000000003
0.015338588201391813,0.003408575155864849,0.015338588201391813,0.03408575155864847,0.04000000000000003
0.015659290303689826,0.003479842289708851,0.015659290303689826,0.0347984228970885,0.04100000000000003
0.01597718747554006,0.0035504861056755697,0.01597718747554006,0.03550486105675569,0.04200000000000003
0.01629229700081048,0.003620510444624553,0.01629229700081048,0.036205104446245515,0.04300000000000003
0.016604636070074077,0.003689919126683129,0.016604636070074077,0.036899191266831284,0.04400000000000003
0.016914221781078268,0.0037587159513507275,0.016914221781078268,0.03758715951350726,0.04500000000000003
0.01722107113921212,0.003826904697602694,0.01722107113921212,0.03826904697602693,0.046000000000000034
0.017525201057971205,0.003894489123993603,0.017525201057971205,0.03894489123993601,0.047000000000000035
0.017826628359420348,0.003961472968760079,0.017826628359420348,0.039614729687600776,0.048000000000000036
0.018125369774654024,0.0040278599499231175,0.018125369774654024,0.04027859949923117,0.04900000000000004
0.018421441944254602,0.004093653765389913,0.018421441944254602,0.04093653765389912,0.05000000000000004
0.01871486141874838,0.004158858093055197,0.01871486141874838,0.041588580930551955,0.05100000000000004
0.019005644659059382,0.004223476590902086,0.019005644659059382,0.04223476590902085,0.05200000000000004
0.01929380803696103,0.004287512897102453,0.01929380803696103,0.04287512897102451,0.05300000000000004
0.01957936783552557,0.004350970630116794,0.01957936783552557,0.04350970630116793,0.05400000000000004
0.019862340249571356,0.004413853388793636,0.019862340249571356,0.04413853388793634,0.05500000000000004
0.020142741386108012,0.004476164752468449,0.020142741386108012,0.04476164752468448,0.05600000000000004
0.0204205872647794,0.0045379082810620905,0.0204205872647794,0.04537908281062089,0.057000000000000044
0.020695893818304455,0.00459908751517877,0.020695893818304455,0.04599087515178768,0.058000000000000045
0.020968676892915927,0.004659705976203541,0.020968676892915927,0.046597059762035396,0.059000000000000045
0.021238952248796954,0.0047197671663993255,0.021238952248796954,0.04719767166399323,0.060000000000000046
0.02150673556051559,0.004779274569003466,0.02150673556051559,0.04779274569003465,0.06100000000000005
