n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,28,972.0553,883.3887,67.3725,5.3965,3.7275,7.8831,0.065,0.1465,0.8585,1.7849,0.0011,0.0052,0.0532,0.2903,0.5365,0.0,0.0003,0.0027,0.0265,0.1095,0.1797,4.6824
1000,29,971.0594,882.8095,66.4273,5.5762,3.8087,7.9319,0.0697,0.153,0.8965,1.8364,0.0012,0.0057,0.0573,0.3105,0.5677,0.0,0.0003,0.0029,0.0296,0.1218,0.1944,4.8115
1000,30,970.0637,882.2411,65.4863,5.7557,3.8748,7.9752,0.0735,0.1612,0.937,1.8886,0.0014,0.0061,0.0623,0.3304,0.6001,0.0,0.0003,0.0032,0.032,0.132,0.2081,4.9453
1000,31,969.0689,881.6576,64.5654,5.938,3.9445,8.0181,0.0792,0.1703,0.9723,1.935,0.0014,0.0064,0.0671,0.352,0.6276,0.0,0.0004,0.0034,0.0343,0.1436,0.2209,5.0844
1000,32,968.0753,881.0711,63.6617,6.1247,4.0108,8.047,0.0825,0.1797,1.0097,1.9786,0.0018,0.0066,0.0722,0.371,0.6567,0.0,0.0004,0.0039,0.037,0.1547,0.2349,5.2208
1000,33,967.0814,880.4744,62.7758,6.3166,4.0736,8.0666,0.0872,0.1906,1.0428,2.024,0.0019,0.0067,0.0764,0.391,0.6791,0.0,0.0004,0.0048,0.0398,0.1686,0.2513,5.3543
1000,34,966.0879,879.8797,61.9117,6.504,4.1397,8.0627,0.0929,0.2001,1.0743,2.0711,0.002,0.0074,0.0801,0.4092,0.702,0.0,0.0005,0.0051,0.0438,0.18,0.268,5.499
1000,35,965.0933,879.2969,61.0466,6.6819,4.1979,8.0648,0.0995,0.2095,1.1089,2.1117,0.0025,0.0081,0.0861,0.4214,0.7285,0.0,0.0005,0.0054,0.0486,0.194,0.2796,5.6479
1000,36,964.0997,878.7063,60.1888,6.8623,4.2659,8.0715,0.1058,0.217,1.1373,2.1419,0.0029,0.0088,0.0928,0.44,0.7479,0.0,0.0005,0.0058,0.0523,0.2066,0.2959,5.7998
1000,37,963.1077,878.1273,59.3414,7.0401,4.3267,8.0636,0.1109,0.2256,1.1672,2.1724,0.0033,0.0094,0.1,0.4601,0.7698,0.0,0.0005,0.0058,0.0562,0.2164,0.3097,5.9558
