n_aa,n_ab,n_bb,cnt
0,4,4,78125
0,5,3,250000
0,6,2,300000
0,7,1,160000
0,8,0,32000
1,3,4,187500
1,4,3,600000
1,5,2,720000
1,6,1,384000
1,7,0,76800
2,2,4,150000
2,3,3,480000
2,4,2,576000
2,5,1,307200
2,6,0,61440
3,1,4,40000
3,2,3,128000
3,3,2,153600
3,4,1,81920
3,5,0,16384
