estimated_true_dist,empirical_min_dist,empirical_true_dist
1.00052028548767,1.0,1
2.0004130745767226,2.0,2
2.9997328964893915,3.0,3
4.000292188526543,4.0,4
5.001253530655031,5.000000000000001,5
5.999832738917589,6.000000000000001,6
6.997885479600446,6.999333333333333,7
7.997498739360427,7.999333333333333,8
8.999643549426935,8.999333333333334,9
9.997678119681801,9.999333333333333,10
10.996927182272524,10.999,11
11.995704269363598,11.998333333333333,12
12.996366053840108,12.997666666666666,13
13.99739359018697,13.997666666666666,14
14.995908793979401,14.997666666666667,15
15.997147121942362,15.997666666666666,16
16.998401328098907,16.997666666666667,17
17.997631475913526,17.997666666666667,18
18.994826874592448,18.997666666666664,19
19.995076257493334,19.996999999999996,20
20.994981563834678,20.996333333333332,21
21.998284651228207,21.996333333333336,22
22.998682842226316,22.995999999999995,23
23.999576435428928,23.995666666666665,24
24.999424841979394,24.995666666666665,25
25.998220454028754,25.99566666666667,26
26.99972232980502,26.99566666666667,27
27.98986799241954,27.99566666666667,28
28.99319605692124,28.994666666666667,29
29.99322719207271,29.994666666666667,30
30.994414448073154,30.994666666666667,31
31.994004936919964,31.994666666666664,32
32.991989391687824,32.99466666666667,33
33.996287131455624,33.99466666666667,34
34.99276518424312,34.99466666666666,35
35.992448887910236,35.99433333333334,36
36.99205885777505,36.99366666666666,37
37.9896867896305,37.993,38
38.98930696906234,38.992999999999995,39
39.987279310044286,39.992666666666665,40
40.98272643939926,40.992666666666665,41
41.989191194029495,41.992666666666665,42
42.99470002195564,42.99266666666667,43
43.99593708585689,43.992666666666665,44
44.99671989753947,44.99266666666668,45
45.99756626705545,45.992666666666665,46
47.00231489120205,46.992666666666665,47
47.99908368010715,47.99066666666667,48
49.00062098236255,48.99033333333333,49
49.996950360313306,49.99033333333334,50
50.992260880671786,50.990333333333325,51
51.98988093641011,51.99033333333334,52
52.98471680349079,52.99,53
53.983968599385626,53.99,54
54.98694121322853,54.989333333333335,55
55.98694308949261,55.989333333333335,56
56.987490154081385,56.989333333333335,57
57.99317252833622,57.989,58
58.98861828112474,58.989000000000004,59
59.989545002882586,59.98833333333332,60
60.991181363655464,60.98833333333334,61
61.995121579030865,61.98833333333334,62
63.001546019968295,62.98766666666668,63
63.97194947502615,63.98666666666667,64
65.000335009591,64.98599999999999,65
66.00085439105541,65.98566666666667,66
66.99600084632182,66.9856666666667,67
67.99842333570975,67.985,68
68.96624339365455,68.98366666666668,69
69.96632261743272,69.98233333333334,70
70.97584203723144,70.98233333333334,71
71.96957640106736,71.98100000000001,72
