estimated_true_dist,best_x,min_error,empirical_min_dist,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
91.54747875945995,0.000518803826828003,1.0000000000000187,100.0,0,0.4,0.4,0.4,100
306.48987967783194,0.29507446715293884,1.1811292397150281,299.0,0,0.4,0.4,0.4,300
501.0125430668383,0.5121765173914337,2.048928045409908,498.0,0,0.4,0.4,0.4,500
676.8361411607748,0.6660461459130097,3.528219213314242,672.0,0,0.4,0.4,0.4,700
862.6606234334662,0.8574523954344941,7.499878602710227,781.0,0,0.4,0.4,0.4,900
1035.1281903563176,1.0298156762535857,15.121768253940878,851.0,0,0.4,0.4,0.4,1100
1187.5956372424737,1.178985597755661,27.63331981916299,898.0,0,0.4,0.4,0.4,1300
1288.2733281529563,1.2654724139456939,39.040641305727085,926.0,0,0.4,0.4,0.4,1500
89.54644097236792,0.000518803826828003,1.0000000000000187,100.0,1,0.4,0.4,0.4,100
300.2850227546024,0.32400513114311225,1.2450315652437804,298.0,1,0.4,0.4,0.4,300
496.057033904342,0.5195617712792205,2.098503161812927,496.0,1,0.4,0.4,0.4,500
682.149987321502,0.6985778841129303,3.994755990274627,658.0,1,0.4,0.4,0.4,700
841.9483668672987,0.8358459501760102,6.874401551227782,768.0,1,0.4,0.4,0.4,900
1012.0423879890183,0.9885559107317352,12.783377371895218,852.0,1,0.4,0.4,0.4,1100
1158.4328730931222,1.1170349143167877,21.534116953252337,906.0,1,0.4,0.4,0.4,1300
1371.6559095436337,1.3548889176284027,55.59146980564747,934.0,1,0.4,0.4,0.4,1500
90.54695986591395,0.000518803826828003,1.0000000000000187,100.0,2,0.4,0.4,0.4,100
301.9524218431403,0.3101501507089997,1.2129543084914316,300.0,2,0.4,0.4,0.4,300
494.5037049244096,0.4908142127573395,1.9148944501802991,498.0,2,0.4,0.4,0.4,500
677.2672311562825,0.6600647006154633,3.449341066616553,662.0,2,0.4,0.4,0.4,700
858.0981581151142,0.8601989774588776,7.582742918362168,770.0,2,0.4,0.4,0.4,900
1010.3778437543776,0.9944152857170868,13.088535018217327,846.0,2,0.4,0.4,0.4,1100
1204.437790522138,1.2098083515848541,31.278722398855116,890.0,2,0.4,0.4,0.4,1300
1349.8899493383951,1.3387756364186858,52.16139854957934,927.0,2,0.4,0.4,0.4,1500
89.04618152559492,0.000518803826828003,1.0000000000000187,100.0,3,0.4,0.4,0.4,100
296.0610612733886,0.32601929129432683,1.2499675293156407,298.0,3,0.4,0.4,0.4,300
488.0117386215218,0.49606323618171694,1.9464689994950721,496.0,3,0.4,0.4,0.4,500
682.9485968512281,0.6896057161666107,3.8596145558033883,664.0,3,0.4,0.4,0.4,700
850.768629488091,0.8434143095320893,7.0858636825423735,772.0,3,0.4,0.4,0.4,900
1091.589459881667,1.1197814963411712,21.77403997380193,850.0,3,0.4,0.4,0.4,1100
1212.695357849455,1.2189025898433685,32.4262455746801,891.0,3,0.4,0.4,0.4,1300
1368.921229509096,1.382171632403946,61.87029748391061,917.0,3,0.4,0.4,0.4,1500
89.54644097236792,0.000518803826828003,1.0000000000000187,100.0,4,0.4,0.4,0.4,100
303.68191215227887,0.32400513114311225,1.2451414165521884,300.0,4,0.4,0.4,0.4,300
510.2840830877372,0.509552005679245,2.0316162612648965,500.0,4,0.4,0.4,0.4,500
679.6185788563023,0.6764221224495697,3.6700681964463526,663.0,4,0.4,0.4,0.4,700
882.9695189311408,0.8930358914392853,8.662398196747422,781.0,4,0.4,0.4,0.4,900
1071.2941697126125,1.0860900901753998,18.99903179224139,852.0,4,0.4,0.4,0.4,1100
1279.5600236349553,1.2931213396578216,43.57544288431194,903.0,4,0.4,0.4,0.4,1300
1439.8073304389668,1.443206788501358,78.50339707146703,934.0,4,0.4,0.4,0.4,1500
109.38578483294191,0.19003296350929258,1.0399949006987586,100.0,5,0.4,0.4,0.4,100
306.8141819900434,0.34310913500160223,1.2945311103490664,300.0,5,0.4,0.4,0.4,300
498.85545433864024,0.48995972057197573,1.9100153873795063,498.0,5,0.4,0.4,0.4,500
682.648749329134,0.6752624544837189,3.653615952885988,664.0,5,0.4,0.4,0.4,700
859.6971342664569,0.816864016629715,6.368719122205363,788.0,5,0.4,0.4,0.4,900
1017.4847421857575,0.9639587428244782,11.565148211376435,870.0,5,0.4,0.4,0.4,1100
1245.1749109965247,1.2245788593604279,33.182570833758575,915.0,5,0.4,0.4,0.4,1300
1404.5501862101669,1.3735656753942107,59.812982892450925,948.0,5,0.4,0.4,0.4,1500
92.54799765300595,0.000518803826828003,1.0000000000000187,100.0,6,0.4,0.4,0.4,100
298.7371100762472,0.3031921429138947,1.1978871460383107,300.0,6,0.4,0.4,0.4,300
494.887876526648,0.505096439284134,2.0033275744679675,493.0,6,0.4,0.4,0.4,500
680.5843848664256,0.6799621615032195,3.7204084653898244,664.0,6,0.4,0.4,0.4,700
916.9521782932509,0.9532165553513336,11.067214059362989,787.0,6,0.4,0.4,0.4,900
1081.5063550550858,1.1073913596533966,20.71634211837747,852.0,6,0.4,0.4,0.4,1100
1247.388579890352,1.2677307147212982,39.388110325851095,891.0,6,0.4,0.4,0.4,1300
1353.9979957762034,1.3654479996332551,57.93714497995896,917.0,6,0.4,0.4,0.4,1500
105.96120571032516,0.19186401819221494,1.0414217021422392,100.0,7,0.4,0.4,0.4,100
312.0193598113168,0.3621521037039948,1.3495802223080215,300.0,7,0.4,0.4,0.4,300
494.2776190755553,0.47341919326957704,1.8153389159390418,496.0,7,0.4,0.4,0.4,500
