n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,33,967.093,880.598,62.651,6.233,4.13,8.164,0.071,0.193,1.041,1.99,0.005,0.008,0.078,0.399,0.652,0.0,0.001,0.003,0.037,0.171,0.242,5.41
1000,34,966.1,880.032,61.751,6.405,4.184,8.186,0.075,0.199,1.089,2.026,0.005,0.009,0.084,0.416,0.683,0.0,0.001,0.004,0.043,0.189,0.249,5.515
1000,35,965.106,879.466,60.896,6.566,4.24,8.178,0.084,0.217,1.119,2.059,0.005,0.011,0.085,0.437,0.706,0.0,0.001,0.005,0.046,0.197,0.264,5.673
1000,36,964.114,878.856,60.063,6.755,4.302,8.172,0.088,0.231,1.142,2.101,0.006,0.012,0.093,0.463,0.723,0.0,0.001,0.007,0.052,0.202,0.279,5.831
1000,37,963.119,878.304,59.194,6.926,4.337,8.184,0.098,0.241,1.165,2.14,0.006,0.011,0.095,0.48,0.745,0.0,0.001,0.008,0.06,0.213,0.292,5.999
1000,38,962.12,877.732,58.36,7.099,4.4,8.147,0.102,0.254,1.192,2.172,0.006,0.011,0.099,0.499,0.762,0.0,0.001,0.008,0.063,0.229,0.306,6.168
1000,39,961.133,877.143,57.562,7.271,4.466,8.116,0.108,0.263,1.225,2.173,0.006,0.011,0.107,0.521,0.779,0.0,0.001,0.009,0.069,0.235,0.327,6.309
1000,40,960.14,876.561,56.76,7.456,4.509,8.085,0.11,0.272,1.247,2.186,0.006,0.011,0.119,0.549,0.8,0.0,0.001,0.01,0.071,0.247,0.35,6.467
1000,41,959.143,876.018,55.934,7.625,4.536,8.045,0.114,0.28,1.276,2.226,0.006,0.009,0.126,0.569,0.826,0.0,0.001,0.012,0.078,0.249,0.366,6.64
1000,42,958.15,875.447,55.128,7.784,4.596,8.016,0.127,0.289,1.298,2.267,0.005,0.01,0.127,0.586,0.837,0.001,0.001,0.014,0.081,0.261,0.353,6.824
1000,43,957.163,874.848,54.392,7.971,4.62,7.96,0.132,0.299,1.337,2.271,0.005,0.011,0.13,0.609,0.846,0.001,0.001,0.014,0.088,0.267,0.363,6.993
1000,44,956.174,874.302,53.619,8.122,4.665,7.925,0.141,0.311,1.364,2.263,0.005,0.012,0.136,0.616,0.854,0.001,0.001,0.014,0.091,0.29,0.369,7.186
1000,45,955.179,873.707,52.881,8.304,4.706,7.858,0.145,0.324,1.401,2.27,0.005,0.014,0.137,0.609,0.859,0.001,0.001,0.017,0.098,0.306,0.393,7.371
1000,46,954.184,873.11,52.136,8.496,4.733,7.827,0.149,0.329,1.433,2.274,0.005,0.014,0.145,0.625,0.852,0.001,0.001,0.017,0.1,0.318,0.403,7.571
1000,47,953.192,872.496,51.413,8.685,4.754,7.787,0.161,0.333,1.46,2.284,0.005,0.016,0.149,0.652,0.86,0.001,0.001,0.016,0.109,0.314,0.419,7.765
