x,interval_begins,interval_ends,mean,analytical
0.001,0.0,0.0,0.0,5.304582214669017e-09
0.002,0.0,0.0,0.0,4.209768598996651e-08
0.003,0.0,0.0,0.0,1.409448056775664e-07
0.004,0.0,0.0,0.0,3.3142279827631117e-07
0.005,0.0,0.0,0.0,6.421397207409023e-07
0.006,0.0,0.0,0.0,1.100754349266698e-06
0.007,0.0,0.0,2e-06,1.7339953850114503e-06
0.008,0.0,0.0,2e-06,2.5676803506575856e-06
0.009,0.0,0.0,3e-06,3.6267341821620976e-06
0.01,0.0,0.0,4e-06,4.935207519985272e-06
0.011,0.0,0.0,4e-06,6.516294704034228e-06
0.012,0.0,0.0,5e-06,8.392351476502864e-06
0.013,0.0,0.0,6e-06,1.0584912396735742e-05
0.014,0.0,0.0,8e-06,1.3114707972190452e-05
0.015,0.0,0.0,1.2e-05,1.6001681509520236e-05
0.016,0.0,0.0,1.5e-05,1.926500568974684e-05
0.017,0.0,0.0,1.7e-05,2.292309887144222e-05
0.018,0.0,0.0,1.9e-05,2.6993641125787006e-05
0.019,0.0,0.0,2.2e-05,3.149359000732367e-05
0.02,0.0,0.0,2.4e-05,3.643919606417262e-05
0.021,0.0,0.0,3.1e-05,4.1846018091430974e-05
0.022,0.0,0.0,3.6e-05,4.772893813142511e-05
0.023,0.0,0.0,4e-05,5.410217622444069e-05
0.024,0.0,0.0,4.7000000000000004e-05,6.097930491350643e-05
0.025,0.0,0.001,5.4e-05,6.837326350676169e-05
0.026,0.0,0.001,6.2e-05,7.629637210089193e-05
0.027,0.0,0.001,6.8e-05,8.476034536907017e-05
0.028,0.0,0.001,7.500000000000001e-05,9.377630611679882e-05
0.029,0.0,0.001,8.7e-05,0.00010335479860900023
0.03,0.0,0.001,0.000102,0.00011350580167166283
0.031,0.0,0.001,0.000116,0.0001242387415713039
0.032,0.0,0.001,0.000129,0.0001355625046754698
0.033,0.0,0.001,0.000141,0.00014748544989745004
0.034,0.0,0.001,0.000157,0.000160015420928342
0.035,0.0,0.001,0.000163,0.00017315975825955978
0.036,0.0,0.001,0.000176,0.00018692531099884205
0.037,0.0,0.001,0.00019,0.00020131844848277292
0.038,0.0,0.001,0.000204,0.00021634507168878797
0.039,0.0,0.001,0.000211,0.00023201062444960278
0.04,0.0,0.001,0.00022700000000000002,0.0002483201044729592
0.041,0.0,0.001,0.000249,0.00026527807416954673
0.042,0.0,0.001,0.000268,0.0002828886712919201
0.043,0.0,0.001,0.000283,0.00030115561938719523
0.044,0.0,0.001,0.000304,0.0003200822380662712
0.045,0.0,0.001,0.000325,0.00033967145309228477
0.046,0.0,0.001,0.000341,0.0003599258062909756
0.047,0.0,0.001,0.000359,0.0003808474652855955
0.048,0.0,0.001,0.00038,0.0004024382330589699
0.049,0.0,0.001,0.000401,0.00042469955734527557
0.05,0.0,0.002,0.00043,0.00044763253985407247
0.051,0.0,0.002,0.000456,0.00047123794532908763
0.052,0.0,0.002,0.00048100000000000004,0.0004955162104442212
0.053,0.0,0.002,0.000505,0.0005204674525392047
0.054,0.0,0.002,0.000531,0.0005460914781973195
0.055,0.0,0.002,0.000561,0.0005723877916675369
0.056,0.0,0.002,0.000579,0.0005993556031334262
0.057,0.0,0.002,0.000611,0.0006269938368311315
0.058,0.0,0.002,0.0006490000000000001,0.0006553011390186934
0.059,0.0,0.002,0.000672,0.000684275885798966
0.06,0.0,0.002,0.0007030000000000001,0.0007139161907983338
0.061,0.0,0.002,0.00074,0.0007442199127034243
0.062,0.0,0.002,0.00076,0.0007751846626579656
0.063,0.0,0.002,0.000784,0.0008068078115219154
0.064,0.0,0.002,0.000824,0.0008390864969949635
0.065,0.0,0.002,0.000861,0.0008720176306064705
0.066,0.0,0.002,0.000907,0.0009055979045738932
0.067,0.0,0.002,0.000931,0.0009398237985316989
0.068,0.0,0.003,0.000973,0.0009746915861327669
0.069,0.0,0.003,0.001014,0.0010101973415242267
0.07,0.0,0.003,0.001061,0.001046336945699673
0.071,0.0,0.003,0.00109,0.0010831060927296594
0.072,0.0,0.003,0.001126,0.0011205002958723554
0.073,0.0,0.003,0.001163,0.0011585148935662145
0.074,0.0,0.003,0.001202,0.0011971450553064928
0.075,0.0,0.003,0.001246,0.0012363857874074147
0.076,0.0,0.003,0.001277,0.0012762319386517694
0.077,0.0,0.003,0.001315,0.0013166782058296933
0.078,0.0,0.003,0.001351,0.0013577191391683692
0.079,0.0,0.003,0.0014,0.0013993491476543484
0.08,0.0,0.003,0.00144,0.0014415625042501858
0.081,0.0,0.003,0.001483,0.0014843533510070386
0.082,0.0,0.003,0.00152,0.00152771570407488
0.083,0.0,0.004,0.001564,0.0015716434586119318
0.084,0.0,0.004,0.001604,0.0016161303935949155
0.085,0.0,0.004,0.001648,0.001661170176531692
0.086,0.0,0.004,0.001693,0.0017067563680778384
0.087,0.0,0.004,0.001746,0.0017528824265586912
0.088,0.0,0.004,0.0017900000000000001,0.0017995417123983623
0.089,0.0,0.004,0.0018340000000000001,0.001846727492457211
0.09,0.0,0.004,0.001869,0.001894432944279244
0.091,0.0,0.004,0.001917,0.0019426511602508802
0.092,0.0,0.004,0.001964,0.001991375151672515
0.093,0.0,0.004,0.002005,0.002040597852744271
0.094,0.0,0.004,0.002039,0.0020903121244673474
0.095,0.0,0.004,0.002089,0.002140510758462307
0.096,0.0,0.004,0.002138,0.002191186480705666
0.097,0.0,0.004,0.0021910000000000002,0.0022423319551861014
0.098,0.0,0.005,0.002242,0.0022939397874816004
0.099,0.0,0.005,0.002295,0.002346002528258823
0.1,0.0,0.005,0.002354,0.0023985126766959694
0.101,0.0,0.005,0.002399,0.002451462683830398
0.102,0.0,0.005,0.002447,0.0025048449558322233
0.103,0.0,0.005,0.002502,0.002558651857205131
0.104,0.0,0.005,0.002553,0.0026128757139156
0.105,0.0,0.005,0.002614,0.002667508816451713
0.106,0.0,0.005,0.002677,0.0027225434228127427
0.107,0.0,0.005,0.002726,0.00277797176143064
0.108,0.0,0.005,0.002786,0.002833786034024582
0.109,0.001,0.005,0.002821,0.0028899784183896854
0.11,0.001,0.005,0.002871,0.002946541071120995
0.111,0.001,0.006,0.002939,0.0030034661302738284
0.112,0.001,0.006,0.002989,0.003060745717961562
0.113,0.001,0.006,0.0030600000000000002,0.0031183719428918917
0.114,0.001,0.006,0.003124,0.003176336902842643
0.115,0.001,0.006,0.003162,0.003234632687078117
0.116,0.001,0.006,0.003222,0.0032932513787070194
0.117,0.001,0.006,0.003304,0.0033521850569829545
0.118,0.001,0.006,0.0033610000000000003,0.00341142579954846
0.119,0.001,0.007,0.003418,0.003470965684623563
0.12,0.001,0.007,0.003479,0.0035307967931398113
0.121,0.001,0.007,0.003542,0.0035909112108207086
0.122,0.001,0.007,0.003604,0.0036513010302094973
0.123,0.001,0.007,0.0036710000000000002,0.0037119583526451926
0.124,0.001,0.007,0.003752,0.0037728752901877594
0.125,0.001,0.007,0.003804,0.003834043967493348
0.126,0.001,0.007,0.003865,0.0038954565236404334
0.127,0.001,0.007,0.0039180000000000005,0.003957105113907727
0.128,0.001,0.007,0.003992,0.004018981911504723
0.129,0.001,0.007,0.004056,0.004081079109255702
0.13,0.001,0.007,0.004115,0.004143388921238021
0.131,0.001,0.007,0.004163,0.0042059035843755
0.132,0.001,0.007,0.004226,0.004268615359987704
0.133,0.001,0.008,0.004273,0.004331516535295919
0.134,0.001,0.007,0.0043230000000000005,0.004394599424886579
0.135,0.002,0.008,0.004389,0.004457856372132938
0.136,0.002,0.008,0.004445,0.004521279750575703
0.137,0.002,0.008,0.004521,0.004584861965263403
0.138,0.002,0.008,0.004588,0.004648595454053219
0.139,0.002,0.008,0.0046630000000000005,0.004712472688872971
0.14,0.002,0.008,0.004737,0.004776486176945014
0.141,0.002,0.008,0.004803,0.004840628461972701
0.142,0.002,0.008,0.004856,0.004904892125290144
0.143,0.002,0.008,0.004917,0.004969269786975887
0.144,0.002,0.008,0.004991,0.005033754106931252
