estimated_true_dist,best_x,min_error,empirical_min_dist,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
49.611326642149166,0.04270983634948731,1.0000733316281751,49.994,0.4,0.4,0.4,50
100.56930190025828,0.10789536149597166,1.004425301039541,99.981,0.4,0.4,0.4,100
150.50792275298775,0.1573338215789795,1.0198243749076916,149.93999999999994,0.4,0.4,0.4,150
200.8135202740711,0.21025128440856933,1.0574782428550162,199.882,0.4,0.4,0.4,200
250.63929770163992,0.26087992964172363,1.1206720233277707,249.77200000000008,0.4,0.4,0.4,250
300.26486969302704,0.31050149513244624,1.2138012296050675,299.64000000000004,0.4,0.4,0.4,300
350.09255478613585,0.36122169306945795,1.3466789626697395,349.3890000000002,0.4,0.4,0.4,350
399.67947613826044,0.4110263639678955,1.5216391954659296,399.03400000000005,0.4,0.4,0.4,400
448.9222931934712,0.46055637675476074,1.7472673106725778,448.3919999999998,0.4,0.4,0.4,450
497.7187705992017,0.5087130989837646,2.0261955750895466,497.0720000000001,0.4,0.4,0.4,500
546.2213327676316,0.5562289522857666,2.372007299946053,544.0560000000002,0.4,0.4,0.4,550
594.0302579031937,0.6030123839569091,2.79661070708696,588.2770000000004,0.4,0.4,0.4,600
641.7031476043499,0.6495211575164794,3.317190090737765,629.0010000000003,0.4,0.4,0.4,650
688.6717639267712,0.6954806148529052,3.946555228171222,665.9650000000001,0.4,0.4,0.4,700
734.9524294211382,0.7404329924468993,4.7010535976089,699.1280000000003,0.4,0.4,0.4,750
781.1247182148911,0.7855684754486083,5.619865032515681,728.9239999999995,0.4,0.4,0.4,800
827.1558274641793,0.8307955111541747,6.735563332955611,755.7940000000001,0.4,0.4,0.4,850
872.6813309486338,0.8752901252288817,8.05905648425741,779.8569999999999,0.4,0.4,0.4,900
917.7449392588668,0.9192354230804443,9.640508175553661,801.4769999999995,0.4,0.4,0.4,950
962.7660297750598,0.9639131425628662,11.561541224554693,820.4460000000003,0.4,0.4,0.4,1000
1007.047553622133,1.007492229598999,13.803103745317804,837.5230000000007,0.4,0.4,0.4,1050
1050.7315621508114,1.0500642368927002,16.41853699140459,852.8709999999995,0.4,0.4,0.4,1100
1093.221327943792,1.0913545063323977,19.404278247889806,866.6189999999998,0.4,0.4,0.4,1150
1136.2926101928558,1.1336518555145263,23.03489291424815,879.0109999999999,0.4,0.4,0.4,1200
1179.3919053231587,1.176315415512085,27.353300613699773,890.1810000000006,0.4,0.4,0.4,1250
1219.9193175774165,1.2154084200592041,31.989473543405204,900.2420000000003,0.4,0.4,0.4,1300
1259.925794777396,1.254226766494751,37.33200801794856,909.1989999999992,0.4,0.4,0.4,1350
1299.516847117763,1.2927704548187255,43.522094425002585,917.3350000000005,0.4,0.4,0.4,1400
1338.597508340706,1.3312225904388426,50.654133664037815,924.3909999999998,0.4,0.4,0.4,1450
1379.4157691825087,1.3716888855438232,59.36175126365319,931.0489999999995,0.4,0.4,0.4,1500
