gamma,error
0.1,0.062422463149490674
0.2,0.1404353335384016
0.30000000000000004,0.04887519231689793
0.4,0.14463852126717033
0.5,0.029758047541220932
0.6,0.23708657805235833
0.7,0.09212320558772737
0.7999999999999999,0.0676635580171709
0.8999999999999999,0.36233380253974223
0.9999999999999999,0.3128438151055257
1.0999999999999999,0.16834096555192338
1.2,0.1633579434829569
1.3,0.8628160513429306
1.4000000000000001,0.7830598381172221
1.5000000000000002,1.059085119507313
1.6000000000000003,1.4215139580019691
1.7000000000000004,0.5267661391175698
1.8000000000000005,1.819179132976869
1.9000000000000006,2.311039929407992
2.0000000000000004,4.056370409983418
