A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10,x
0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49900099933366654,0.49900099933366654,0.9980019986673331,0.0004482035952047962,0.0004482035952047962,9.960079893439918e-05,0.0009960079893439916,8.051545508836878e-07,8.051545508836878e-07,1.8886341317024775e-07,1.8886341317024775e-07,1.988035928107871e-06,1.9285100424432464e-09,1.9285100424432464e-09,5.185020141548373e-10,3.968127659348244e-10,5.185020141548373e-10,5.290836879130993e-09,5.413097466023578e-12,5.413097466023578e-12,1.6716331409632207e-12,1.1656846742562711e-12,1.1656846742562711e-12,1.6716331409632207e-12,1.650083056248614e-11,5.691293066084722e-14,2.1045512922445626e-16,8.189938799637233e-19,3.3140358171271612e-21,1.3829963644539766e-23,0.001
0.49800399467199574,0.49800399467199574,0.9960079893439915,0.0008928287233533547,0.0008928287233533547,0.0001984063829674122,0.0019840638296741214,3.2013523496726558e-06,3.2013523496726558e-06,7.509345017750674e-07,7.509345017750674e-07,7.904573702895446e-06,1.5305148081499798e-08,1.5305148081499798e-08,4.114964367591168e-09,3.1492074241769132e-09,4.114964367591168e-09,4.198943232235884e-08,8.574777994087498e-11,8.574777994087498e-11,2.6480001812803777e-11,1.846537468722199e-11,1.846537468722199e-11,2.6480001812803777e-11,2.6138631288180147e-10,1.7994898202257792e-12,1.328187431076861e-14,1.0316726428548845e-16,8.332587108920312e-19,6.94072935232437e-21,0.002
0.49700898202696764,0.49700898202696764,0.9940179640539353,0.0013338968123636063,0.0013338968123636063,0.0002964215138585792,0.002964215138585792,7.1599539258920135e-06,7.1599539258920135e-06,1.6794953653326946e-06,1.6794953653326946e-06,1.7678898582449418e-05,5.124328433377315e-08,5.124328433377315e-08,1.3777343936103622e-08,1.0543885665385423e-08,1.3777343936103622e-08,1.40585142205139e-07,4.2977878732879405e-10,4.2977878732879405e-10,1.3272113954924798e-10,9.255080826720112e-11,9.255080826720112e-11,1.3272113954924798e-10,1.3101014702904864e-09,1.3501877259824579e-11,1.491855630364139e-13,1.7347305070158242e-15,2.0974549142584388e-17,2.615414647553971e-19,0.003
0.49601595741853033,0.49601595741853033,0.9920319148370607,0.0017714291760995134,0.0017714291760995134,0.0003936509280221142,0.003936509280221141,1.2652662798462507e-05,1.2652662798462507e-05,2.967908557664045e-06,2.967908557664045e-06,3.12411427122531e-05,1.2049771491596546e-07,1.2049771491596546e-07,3.239719084160389e-08,2.4793768501227467e-08,3.239719084160389e-08,3.305835800163662e-07,1.3447977621927242e-09,1.3447977621927242e-09,4.1529060233713177e-10,2.8959577232843416e-10,2.8959577232843416e-10,4.1529060233713177e-10,4.099368273716581e-09,5.621811828292023e-11,8.265689644228946e-13,1.2789526337996764e-14,2.05771501420098e-16,3.4143126844046333e-18,0.004
0.49502491687458405,0.49502491687458405,0.9900498337491681,0.0022054470149401994,0.0022054470149401994,0.0004900993366533778,0.004900993366533777,1.9651522054357296e-05,1.9651522054357296e-05,4.609616284355417e-06,4.609616284355417e-06,4.852227667742543e-05,2.3347183371401462e-07,2.3347183371401462e-07,6.277157669128517e-08,4.803947195761619e-08,6.277157669128517e-08,6.405262927682158e-07,3.2505292990360353e-09,3.2505292990360353e-09,1.0038046674840565e-09,6.999859527544636e-10,6.999859527544636e-10,1.0038046674840565e-09,9.90863983854911e-09,1.695176160451649e-10,3.109274391103033e-12,6.001721515555023e-14,1.2046143428366254e-15,2.4934893574624134e-17,0.005
0.49403585643096526,0.49403585643096526,0.9880717128619305,0.0026359714163463554,0.0026359714163463554,0.0005857714258547457,0.005857714258547456,2.812891095796787e-05,2.812891095796787e-05,6.598139607424563e-06,6.598139607424563e-06,6.945410113078486e-05,4.002246897289926e-07,4.002246897289926e-07,1.0760499202590202e-07,8.235075920349643e-08,1.0760499202590202e-07,1.0980101227132856e-06,6.6732304732339585e-09,6.6732304732339585e-09,2.0607781933285756e-09,1.4370482961473548e-09,1.4370482961473548e-09,2.0607781933285756e-09,2.034211392541978e-08,4.1678255495968915e-10,9.155169797971762e-12,2.1163907298699168e-13,5.087222086933559e-15,1.2611096349097357e-16,0.006
0.49304877213143095,0.49304877213143095,0.9860975442628619,0.0030630233554239275,0.0030630233554239275,0.000680671856760873,0.006806718567608728,3.805754159092191e-05,3.805754159092191e-05,8.927077657129833e-06,8.927077657129833e-06,9.396923849610349e-05,6.304779314986292e-07,6.304779314986292e-07,1.6951121340703892e-07,1.297279694441624e-07,1.6951121340703892e-07,1.7297062592554985e-06,1.223996956801619e-08,1.223996956801619e-08,3.779857817581004e-09,2.635818961020991e-09,2.6358189610209907e-09,3.779857817581003e-09,3.731129269323637e-08,8.900859525805879e-10,2.2764966652752524e-11,6.127377906294066e-13,1.714895709966448e-14,4.949804666454589e-16,0.007
0.49206366002764257,0.49206366002764257,0.9841273200552851,0.0034866236954851117,0.0034866236954851117,0.0007748052656633583,0.007748052656633582,4.9410455522097855e-05,4.9410455522097855e-05,1.1590106850862462e-05,1.1590106850862462e-05,0.00012200112474592062,9.33622640172922e-07,9.33622640172922e-07,2.5101514056775415e-07,1.9210342390389346e-07,2.5101514056775415e-07,2.5613789853852455e-06,2.067307980336715e-08,2.067307980336715e-08,6.3841091984755735e-09,4.451848954821122e-09,4.451848954821122e-09,6.3841091984755735e-09,6.30180759133277e-08,1.7146684154038681e-09,5.001941147995158e-11,1.5355698747738758e-12,4.901804532450831e-14,1.6137256195323653e-15,0.008
0.4910805161791504,0.4910805161791504,0.9821610323583008,0.003906793188606649,0.003906793188606649,0.0008681762641348112,0.00868176264134811,6.216102050758301e-05,6.216102050758301e-05,1.4580980119062683e-05,1.4580980119062683e-05,0.0001534840012532914,1.318726052802142e-06,1.318726052802142e-06,3.545546040455692e-07,2.713428092185478e-07,3.545546040455692e-07,3.6179041229139698e-06,3.2784783954641574e-08,3.2784783954641574e-08,1.0124357028833776e-08,7.0600465712290825e-09,7.0600465712290825e-09,1.0124357028833776e-08,9.993837510940887e-08,3.053031087837358e-09,9.999391894848105e-11,3.446581311879493e-12,1.2352613924707285e-13,4.5657960317755035e-15,0.009000000000000001
0.4900993366533776,0.4900993366533776,0.9801986733067553,0.004323552476185455,0.004323552476185455,0.0009607894391523236,0.009607894391523234,7.628292722032419e-05,7.628292722032419e-05,1.7893526138100735e-05,1.7893526138100735e-05,0.00018835290671684982,1.7945381773756215e-06,1.7945381773756215e-06,4.824821437114154e-07,3.6924653855465453e-07,4.824821437114154e-07,4.923287180728728e-06,4.9471985831116146e-08,4.9471985831116146e-08,1.527757657859183e-08,1.0653555759955399e-08,1.0653555759955399e-08,1.527757657859183e-08,1.5080623633932676e-07,5.108661715490833e-09,1.8554036650600321e-10,7.091567663960598e-12,2.8183926122071027e-13,1.1551756657184951e-14,0.010000000000000002
0.489120117525605,0.489120117525605,0.97824023505121,0.004736922089491582,0.004736922089491582,0.001052649353220352,0.010526493532203515,9.175018600922161e-05,9.175018600922161e-05,2.152164857006434e-05,2.152164857006434e-05,0.0002265436691585719,2.3694983011300446e-06,2.3694983011300446e-06,6.370667586028658e-07,4.875510907674991e-07,6.370667586028658e-07,6.500681210233319e-06,7.171122466563717e-08,7.171122466563717e-08,2.214533554634063e-08,1.5442669578659583e-08,1.5442669578659583e-08,2.214533554634063e-08,2.1859845958127478e-07,8.129410191275234e-09,3.241263945631121e-10,1.360010732011187e-11,5.933701191076208e-13,2.6699080728602847e-14,0.011000000000000003
0.48814285487895465,0.48814285487895465,0.9762857097579093,0.005146922450218527,0.005146922450218527,0.0011437605444930064,0.011437605444930062,0.00010853712368741912,0.00010853712368741912,2.5459325309394614e-05,2.5459325309394614e-05,0.0002679928979936275,3.051741393626515e-06,3.051741393626515e-06,8.204956284647424e-07,6.279303279066904e-07,8.204956284647424e-07,8.372404372089206e-06,1.0055378854600611e-07,1.0055378854600611e-07,3.105228502497087e-08,2.1653777893748077e-08,2.165377789374808e-08,3.105228502497087e-08,3.065197029294501e-07,1.2410529415203947e-08,5.38723153095254e-10,2.4610109721961078e-11,1.1690063192069127e-12,5.72674000968889e-14,0.012000000000000004
0.4871675448043747,0.4871675448043747,0.9743350896087494,0.005553573871030905,0.005553573871030905,0.001234127526895757,0.012341275268957569,0.00012661838034954515,0.00012661838034954515,2.9700607736313074e-05,2.9700607736313074e-05,0.0003126379761717164,3.849104406076451e-06,3.849104406076451e-06,1.0348758073950408e-06,7.919967913737555e-07,1.0348758073950408e-06,1.0559957218316738e-05,1.3712098309679002e-07,1.3712098309679002e-07,4.234469841061855e-08,2.9528348513609634e-08,2.952834851360963e-08,4.234469841061855e-08,4.1798806004203634e-07,1.82973967758966e-08,8.587330062263212e-10,4.2413057576516407e-11,2.178193251633035e-12,1.1536671687061159e-13,0.013000000000000005
0.4861941834006234,0.4861941834006234,0.9723883668012469,0.005956896556109499,0.005956896556109499,0.0013237547902465558,0.013237547902465554,0.00014596890621766212,0.00014596890621766212,3.423961997698248e-05,3.423961997698248e-05,0.0003604170523892892,4.769132468377431e-06,4.769132468377431e-06,1.2822358899889947e-06,9.813029770323936e-07,1.2822358899889947e-06,1.3084039693765246e-05,1.8259955169688304e-07,1.8259955169688304e-07,5.638905710777149e-08,3.932194095435029e-08,3.9321940954350295e-08,5.638905710777149e-08,5.566210995180096e-07,2.6187931053241514e-08,1.3209492518216124e-09,7.012028199240689e-11,3.870406447594529e-12,2.2032145666036493e-13,0.014000000000000005
0.4852227667742541,0.4852227667742541,0.9704455335485082,0.006356910601693682,0.006356910601693682,0.0014126468003763742,0.014126468003763739,0.0001665639585156815,0.0001665639585156815,3.907055817034505e-05,3.907055817034505e-05,0.00041126903337205314,5.8190849853012786e-06,5.8190849853012786e-06,1.5645276503690683e-06,1.1973425895681643e-06,1.5645276503690683e-06,1.5964567860908857e-05,2.3823724359339057e-07,2.3823724359339057e-07,7.357068190663626e-08,5.1303252054295044e-08,5.1303252054295044e-08,7.357068190663626e-08,7.262223551086437e-07,3.653471904712913e-08,1.970540434256605e-09,1.1185039081423617e-10,6.601536986351728e-12,4.0182774023584416e-13,0.015000000000000006
0.4842532910395988,0.4842532910395988,0.9685065820791976,0.006753635996621255,0.006753635996621255,0.0015008079992491683,0.015008079992491678,0.00018837909837200707,0.00018837909837200707,4.418768974158191e-05,4.418768974158191e-05,0.0004651335762271779,7.00594163325825e-06,7.00594163325825e-06,1.8836276544837e-06,1.4415517763905867e-06,1.8836276544837e-06,1.9220690351874484e-05,3.053385263462986e-07,3.053385263462986e-07,9.429240893168151e-08,6.575319266943431e-08,6.575319266943431e-08,9.429240893168151e-08,9.307682558948287e-07,4.9846865756286896e-08,2.8620523262206878e-09,1.7293777193376207e-10,1.0865695969357486e-11,7.040646470554425e-13,0.016000000000000007
