A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10,x,a_in_non_trivial_cycles,b_in_non_trivial_cycles
0.48,0.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.47900104094366364,0.519000960922387,0.9980020018660507,0.0004481289008302995,0.0004482725549085151,9.96001604697857e-05,0.0009960016162086003,8.384930077134895e-07,7.743657473276167e-07,1.8240878619840955e-07,1.95918650067159e-07,1.9911861913066747e-06,2.0918699141601295e-09,1.783564646309535e-09,4.823130876468262e-10,3.9767288274357083e-10,5.594268388926102e-10,5.314847369752672e-09,6.1157706689540685e-12,4.8140751477652416e-12,1.4964751698205548e-12,1.1231809589244712e-12,1.2175393239008796e-12,1.8771734322573843e-12,1.6644214701622602e-11,5.770487398554723e-14,2.1468900365838066e-16,8.412866849319603e-19,3.430548427400771e-21,1.44367871554988e-23,0.001,1.7491272994237174e-23,1.9434747771374636e-24
0.4780041608856528,0.5180038412276173,0.9960080021132701,0.0008925311633749885,0.0008931034821520338,0.0001984038393121412,0.0019840384848391636,3.3330750766668505e-06,3.0796444595537204e-06,7.253215837974949e-07,7.789167247200663e-07,7.916957844738131e-06,1.65960807832398e-08,1.41591804112205e-08,3.82832419792109e-09,3.155993069066055e-09,4.438985873076419e-09,4.217856433452387e-08,9.683832603494933e-11,7.62881247397646e-11,2.371067899635355e-11,1.77932225010838e-11,1.928493927314138e-11,2.972830029395023e-11,2.636435918392429e-10,1.824390922108982e-12,1.3547696179275798e-14,1.0596166983193556e-16,8.624153367073339e-19,7.243871234403727e-21,0.002,8.77229394656845e-21,9.746993273964944e-22
0.47700935549922946,0.5170086372281173,0.9940179927273467,0.0013332300306667401,0.0013345125991399453,0.0002964158134996625,0.002964158443306348,7.452693722584684e-06,6.889338974340824e-06,1.6223254297329998e-06,1.7419224045815524e-06,1.770628053124006e-05,5.5546947333488644e-08,4.742104998629961e-08,1.2819531693132849e-08,1.0566469266950461e-08,1.4859630755912107e-08,1.4121362903578366e-07,4.851638222808301e-10,3.8251288345522044e-10,1.1886760712742678e-10,8.918761292792772e-11,9.664927664227945e-11,1.4896382424139088e-10,1.3213450266750753e-09,1.3687675290293876e-11,1.5215588894063458e-13,1.781486458481881e-15,2.170499185620147e-17,2.7291186414806196e-19,0.003,3.3033630305109695e-19,3.670403367234411e-20
0.47601662046666043,0.5160153452433973,0.9920319657100578,0.0017702486168789118,0.001772519621849085,0.0003936408345379793,0.003936409073265976,1.3166683812382494e-05,1.2177257280432495e-05,2.8670832624597704e-06,3.0779498273686853e-06,3.1288974182643445e-05,1.3057417356507083e-07,1.1154411159195349e-07,3.014935634983913e-08,2.4846554910064802e-08,3.493612280168617e-08,3.3205031921861444e-07,1.5174676958171919e-09,1.197360991302028e-09,3.7202571469474e-10,2.790900679150242e-10,3.0239099253949457e-10,4.659952149342998e-10,4.134330677202778e-09,5.698741296787959e-11,8.429407255559609e-13,1.3132539330136194e-14,2.1290346809685348e-16,3.562062731527496e-18,0.004,4.30949846470139e-18,4.78833162744599e-19
0.47502595147919835,0.5150239616000394,0.9900499130792377,0.0022036099079952905,0.002207144165310456,0.0004900836285930387,0.004900837701898785,2.0444763539735388e-05,1.8917509590542586e-05,4.453333173704682e-06,4.780098217672397e-06,4.8595704521655057e-05,2.5291128263619866e-07,2.1619017898508835e-07,5.842487053597671e-08,4.8141131717156174e-08,6.767920090328834e-08,6.433466647777082e-07,3.6663642173487777e-09,2.895271189555104e-09,8.994302808813105e-10,6.746357135855832e-10,7.308431800037412e-10,1.126074714822141e-09,9.992619296196657e-09,1.7182432272221225e-10,3.1705386721600506e-12,6.161889975276619e-14,1.2461668327133136e-15,2.6008922126675884e-17,0.005,3.145130311385809e-17,3.494589234873121e-18
0.47403734423706306,0.5140344826316826,0.9880718268687456,0.002633336762476498,0.0026384057440937067,0.0005857488966177778,0.005857491403187983,2.9257030438269965e-05,2.7084505439509643e-05,6.374887666856936e-06,6.841551024664508e-06,6.955797456930104e-05,4.334039065381379e-07,3.7071398718461536e-07,1.001685002837135e-07,8.252396952349189e-08,1.1599771605164126e-07,1.1028080795816e-06,7.523790411522483e-09,5.946183732875883e-09,1.8469153125397847e-09,1.3850938684153334e-09,1.500252913723465e-09,2.3112019147361716e-09,2.0513438153813124e-08,4.2242204386255525e-10,9.334618209681753e-12,2.1725906687456384e-13,5.261864217563379e-15,1.3151775839117143e-16,0.006,1.5896139134003585e-16,1.7662376815559538e-17
0.47305079444942294,0.5130469046790102,0.9860976991284331,0.0030594519119230695,0.003066323772789375,0.0006806413144781901,0.006806416999190635,3.957395743205117e-05,3.6652950807512924e-05,8.6256329219408e-06,9.255575067664778e-06,9.410811622916968e-05,6.825179375998759e-07,5.841691451805875e-07,1.5781970062946818e-07,1.2999916271614466e-07,1.827007309617409e-07,1.7372066770878172e-06,1.3794308888264291e-08,1.0910623624644439e-08,3.3883528795937098e-09,2.5406875522047166e-09,2.7514836313460747e-09,4.238095558805481e-09,3.762355213485872e-08,9.020618023549289e-10,2.3208838954449363e-11,6.289278050429665e-13,1.7734851923562506e-14,5.161031261465471e-16,0.007,6.234972736746665e-16,6.927747485274072e-17
0.47206629783437637,0.5120612240897356,0.984127521924112,0.0034819779617352217,0.003490917566488915,0.0007747655330787839,0.00774766106130292,5.1366388923038566e-05,4.759784526814815e-05,1.1199528067116204e-05,1.2015519689501062e-05,0.00012217928194780398,1.0103475438341475e-06,8.653139968772225e-07,2.3373660458789332e-07,1.9250254360067624e-07,2.704995853035827e-07,2.572400274203522e-06,2.328862424530476e-08,1.8434928347662684e-08,5.724148796561017e-09,4.29144886764427e-09,4.646757595828675e-09,7.15622901195954e-09,6.354213686496095e-08,1.7376082432368404e-09,5.098956452933093e-11,1.575940774747114e-12,5.0684700855182326e-14,1.6822678807856968e-15,0.008,2.031345883590941e-15,2.2570509817677123e-16
0.471083850118933,0.5110774372185894,0.9821612873375225,0.003900937391769329,0.003912206341262504,0.0008681261784874417,0.008681269911519275,6.46055369151892e-05,5.9894479161162414e-05,1.4090604456653212e-05,1.5114815917596371e-05,0.00015370543645060118,1.426623050109759e-06,1.2226173915047127e-06,3.301976461220228e-07,2.7190307302258796e-07,3.8200992702975396e-07,3.6333510877888358e-06,3.691730781266533e-08,2.9246616826390033e-08,9.079783585767201e-09,6.806109416980778e-09,7.368437487880271e-09,1.1345927855421552e-08,1.0076418298510517e-07,3.0936443816524576e-09,1.0192312537601673e-10,3.5367399443665362e-12,1.2770589486810675e-13,4.758818611931189e-15,0.009000000000000001,5.743523166983903e-15,6.381692407759893e-16
