n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,32,968.0,467.735,470.17,14.055,1.37,12.935,0.72,0.12,0.09,0.645,0.065,0.005,0.005,0.01,0.065,0.0,0.0,0.0,0.0,0.0,0.01,3.05
1000,33,967.005,466.645,469.35,14.52,1.41,13.275,0.755,0.125,0.09,0.67,0.06,0.005,0.005,0.01,0.07,0.005,0.0,0.0,0.0,0.0,0.01,3.065
1000,34,966.01,465.67,468.44,14.915,1.44,13.65,0.795,0.125,0.085,0.71,0.065,0.01,0.005,0.015,0.07,0.005,0.0,0.0,0.0,0.0,0.01,3.08
1000,35,965.01,464.69,467.555,15.305,1.47,13.985,0.825,0.135,0.085,0.755,0.08,0.01,0.005,0.015,0.08,0.005,0.0,0.0,0.0,0.0,0.01,3.115
1000,36,964.01,463.64,466.725,15.74,1.49,14.305,0.86,0.15,0.085,0.795,0.085,0.01,0.005,0.02,0.085,0.005,0.0,0.0,0.0,0.0,0.01,3.145
1000,37,963.01,462.68,465.835,16.11,1.495,14.65,0.905,0.155,0.09,0.855,0.095,0.01,0.005,0.02,0.085,0.01,0.0,0.0,0.0,0.0,0.01,3.18
1000,38,962.01,461.755,464.905,16.435,1.54,14.995,0.98,0.155,0.095,0.91,0.095,0.01,0.005,0.02,0.09,0.01,0.0,0.0,0.0,0.0,0.01,3.19
1000,39,961.01,460.775,464.045,16.75,1.605,15.305,1.065,0.155,0.105,0.955,0.1,0.01,0.005,0.02,0.095,0.01,0.0,0.0,0.0,0.0,0.01,3.215
1000,40,960.01,459.58,463.32,17.26,1.645,15.6,1.1,0.16,0.105,0.985,0.105,0.01,0.005,0.02,0.095,0.01,0.0,0.0,0.0,0.0,0.01,3.225
1000,41,959.01,458.755,462.345,17.52,1.675,15.94,1.17,0.16,0.12,1.045,0.105,0.015,0.01,0.02,0.105,0.015,0.0,0.0,0.0,0.0,0.01,3.255
1000,42,958.01,457.855,461.41,17.89,1.69,16.235,1.195,0.165,0.14,1.14,0.115,0.015,0.01,0.02,0.105,0.015,0.0,0.0,0.0,0.0,0.01,3.28
1000,43,957.01,456.805,460.645,18.225,1.74,16.495,1.29,0.17,0.155,1.18,0.12,0.015,0.01,0.02,0.115,0.015,0.0,0.0,0.0,0.0,0.01,3.3
1000,44,956.01,455.845,459.725,18.59,1.805,16.835,1.34,0.175,0.16,1.225,0.12,0.015,0.01,0.02,0.115,0.015,0.0,0.0,0.0,0.0,0.015,3.31
1000,45,955.01,454.935,458.78,18.925,1.835,17.205,1.385,0.185,0.17,1.265,0.125,0.015,0.01,0.02,0.115,0.02,0.0,0.0,0.0,0.0,0.02,3.335
1000,46,954.01,453.99,457.85,19.295,1.865,17.57,1.425,0.19,0.175,1.31,0.135,0.015,0.01,0.02,0.12,0.02,0.0,0.0,0.0,0.0,0.02,3.35
1000,47,953.01,452.975,457.04,19.645,1.91,17.845,1.495,0.2,0.175,1.37,0.145,0.015,0.005,0.02,0.125,0.02,0.0,0.0,0.005,0.0,0.02,3.37
1000,48,952.01,451.925,456.22,20.075,1.955,18.13,1.52,0.205,0.18,1.425,0.155,0.02,0.005,0.02,0.13,0.02,0.0,0.0,0.005,0.0,0.02,3.38
1000,49,951.01,450.97,455.34,20.41,2.005,18.45,1.57,0.205,0.185,1.465,0.175,0.02,0.005,0.02,0.145,0.02,0.0,0.0,0.005,0.0,0.02,3.4
1000,50,950.01,450.005,454.485,20.725,2.04,18.77,1.65,0.21,0.195,1.49,0.185,0.02,0.005,0.02,0.165,0.02,0.0,0.0,0.005,0.0,0.02,3.42
1000,51,949.01,449.005,453.66,21.035,2.08,19.09,1.745,0.215,0.2,1.525,0.195,0.02,0.005,0.02,0.165,0.02,0.0,0.0,0.005,0.0,0.025,3.435
1000,52,948.01,447.915,452.93,21.395,2.115,19.345,1.84,0.215,0.21,1.58,0.205,0.02,0.005,0.02,0.165,0.02,0.0,0.0,0.005,0.0,0.025,3.44
