n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,0,1000.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,499.05,498.95,0.475,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,498.155,497.86,0.9,0.0,1.07,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.015
1000,3,997.0,497.18,496.845,1.38,0.0,1.57,0.02,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025
1000,4,996.0,496.17,495.855,1.885,0.0,2.065,0.02,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.025
1000,5,995.0,495.115,494.925,2.405,0.0,2.515,0.025,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04
1000,6,994.0,494.13,493.925,2.89,0.0,3.0,0.03,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.055
1000,7,993.0,493.13,492.945,3.39,0.0,3.46,0.03,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.075
1000,8,992.0,492.045,492.04,3.925,0.0,3.905,0.035,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085
1000,9,991.0,491.11,491.005,4.385,0.0,4.385,0.04,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115
1000,10,990.0,490.1,490.065,4.85,0.0,4.825,0.06,0.0,0.0,0.095,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.165
1000,11,989.0,489.145,489.065,5.295,0.0,5.295,0.075,0.0,0.0,0.115,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.205
1000,12,988.0,488.355,487.89,5.66,0.0,5.86,0.095,0.0,0.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.24
1000,13,987.0,487.425,486.85,6.095,0.0,6.365,0.115,0.0,0.0,0.14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.265
1000,14,986.0,486.45,485.865,6.53,0.0,6.85,0.15,0.0,0.0,0.145,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.295
1000,15,985.0,485.45,484.945,6.97,0.0,7.25,0.19,0.0,0.0,0.185,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36
1000,16,984.0,484.505,483.995,7.365,0.0,7.655,0.235,0.0,0.0,0.225,0.015,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.42
1000,17,983.0,483.59,482.985,7.755,0.0,8.115,0.28,0.0,0.0,0.255,0.015,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.475
1000,18,982.0,482.455,482.185,8.275,0.0,8.47,0.305,0.0,0.0,0.285,0.02,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.505
1000,19,981.0,481.475,481.26,8.695,0.0,8.875,0.345,0.0,0.0,0.315,0.025,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,2.56
1000,20,980.0,480.56,480.26,9.11,0.0,9.3,0.36,0.0,0.0,0.365,0.035,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,2.615
1000,21,979.0,479.505,479.39,9.585,0.0,9.685,0.395,0.0,0.0,0.385,0.035,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.005,2.645
1000,22,978.0,478.58,478.43,9.955,0.0,10.095,0.45,0.0,0.0,0.425,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.005,2.695
1000,23,977.0,477.69,477.42,10.33,0.0,10.525,0.49,0.0,0.0,0.475,0.045,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.005,2.75
