x,interval_begins,interval_ends,mean,analytical
0.0,0.0,0.0,0.0,0.0
0.001,0.001,0.001,0.001,0.0009959980481881836
0.002,0.002,0.002,0.001996,0.001984024299185323
0.003,0.003,0.003,0.002978,0.002964126719007102
0.004,0.004,0.004,0.003954,0.0039363530165320215
0.005,0.005,0.005,0.004916,0.0049007506447966516
0.006,0.004,0.006,0.0058720000000000005,0.005857366802284627
0.007,0.005,0.007,0.006828,0.00680624843420937
0.008,0.006,0.008,0.007758,0.007747442233790623
0.009,0.007,0.009,0.00869,0.008680994643524764
0.01,0.008,0.01,0.009629,0.009606951856448982
0.011,0.009,0.011,0.01056,0.01052535981739931
0.012,0.01,0.012,0.011492,0.011436264224262572
0.013,0.011,0.013,0.0124,0.012339710529222225
0.014,0.012,0.014,0.013299,0.01323574393999821
0.015,0.012,0.015,0.014201,0.014124409421080718
0.016,0.012,0.016,0.015097000000000001,0.015005751694958042
0.017,0.013,0.017,0.015981000000000002,0.015879815243338407
0.018,0.014,0.018,0.016857999999999998,0.016746644308365904
0.019,0.015,0.019,0.017743000000000002,0.017606282893830535
0.02,0.016,0.02,0.018605,0.018458774766372324
0.021,0.017,0.021,0.019465,0.019304163456679645
0.022,0.017,0.022,0.020316,0.020142492260681703
0.023,0.017,0.023,0.021127,0.02097380424073522
0.024,0.018,0.024,0.02196,0.02179814222680534
0.025,0.019,0.025,0.022771,0.02261554881764087
0.026,0.02,0.026,0.023584,0.023426066381943715
0.027,0.021,0.027,0.024392,0.02422973705953267
0.028,0.022,0.028,0.025208,0.025026602762501605
0.029,0.022,0.029,0.026004,0.02581670517637192
0.03,0.022,0.03,0.026787,0.02660008576123949
0.031,0.023,0.031,0.027585000000000002,0.027376785752915987
0.032,0.024,0.032,0.028373,0.028146846164064647
0.033,0.025,0.033,0.029135,0.028910307785330554
0.034,0.025,0.034,0.029879,0.02966721118646537
0.035,0.026,0.035,0.030648,0.03041759671744665
0.036,0.026,0.036,0.031414,0.03116150450959166
0.037,0.027,0.037,0.032155,0.03189897447666583
0.038,0.028,0.038,0.032927,0.03263004631598577
0.039,0.028,0.039,0.033653,0.0333547595095169
0.04,0.029,0.04,0.034388,0.03407315332496582
0.041,0.03,0.039,0.035123,0.03478526681686728
0.042,0.03,0.04,0.035822,0.035491138827665886
0.043,0.031,0.041,0.036519,0.03619080798879255
0.044,0.032,0.042,0.037281,0.03688431272173568
0.045,0.032,0.043,0.037962,0.03757169123910717
0.046,0.033,0.044,0.038661,0.03825298154570317
0.047,0.033,0.045,0.039316,0.038928221439559714
0.048,0.034,0.046,0.039959,0.03959744851300319
0.049,0.034,0.047,0.040601,0.040260700153695685
0.05,0.034,0.047,0.041238,0.040918013545675286
0.051,0.035,0.047,0.041896,0.041569425670391194
0.052,0.036,0.048,0.042524,0.04221497330773395
0.053,0.037,0.049,0.043145,0.04285469303706048
0.054,0.037,0.05,0.043747,0.04348862123821426
0.055,0.038,0.051,0.044314,0.04411679409254042
0.056,0.038,0.052,0.044919,0.04473924758389598
0.057,0.039,0.052,0.045552,0.04535601749965509
0.058,0.039,0.052,0.046184,0.04596713943170935
0.059,0.04,0.053,0.046794999999999996,0.04657264877746336
0.06,0.04,0.054,0.047374,0.047172580740825296
0.061,0.041,0.055,0.047975,0.04776697033319266
0.062,0.041,0.056,0.048567,0.04835585237443331
0.063,0.042,0.056,0.04913,0.048939261493861595
0.064,0.042,0.057,0.049735,0.049517232131209774
0.065,0.043,0.057,0.050307,0.05008979853759471
0.066,0.043,0.058,0.05084,0.05065699477647979
0.067,0.044,0.059,0.05142,0.051218854724632126
0.068,0.044,0.06,0.051973,0.05177541207307524
0.069,0.045,0.06,0.052539,0.05232670032803685
0.07,0.045,0.061,0.053083,0.05287275281189225
0.071,0.045,0.061,0.053583,0.05341360266410289
0.072,0.046,0.062,0.054104,0.053949282842150524
0.073,0.046,0.063,0.054668,0.054479826122466726
0.074,0.047,0.064,0.055223,0.055005265101357795
0.075,0.047,0.064,0.055709,0.05552563219592523
0.076,0.048,0.064,0.056201,0.056040959644981715
0.077,0.048,0.065,0.056705,0.0565512795099625
0.078,0.048,0.066,0.057224,0.057056623675832446
0.079,0.049,0.066,0.057778,0.05755702385198861
0.08,0.049,0.067,0.058259,0.05805251157315834
0.081,0.05,0.067,0.058725,0.05854311820029303
0.082,0.05,0.068,0.059231,0.05902887492145754
0.083,0.05,0.068,0.059721,0.059509812752715135
0.084,0.051,0.069,0.060200000000000004,0.05998596253900826
0.085,0.052,0.07,0.060728,0.06045735495503483
0.086,0.052,0.07,0.061225,0.06092402050612033
0.087,0.052,0.071,0.061708,0.06138598952908569
0.088,0.053,0.071,0.062183,0.06184329219311071
0.089,0.053,0.072,0.062659,0.062295958500593496
0.09,0.054,0.073,0.063152,0.06274401828800548
0.091,0.054,0.073,0.063573,0.06318750122674242
0.092,0.055,0.074,0.064027,0.06362643682397108
0.093,0.055,0.074,0.06447,0.06406085442347188
0.094,0.056,0.074,0.064917,0.06449078320647728
0.095,0.056,0.075,0.065385,0.06491625219250619
0.096,0.056,0.076,0.065785,0.06533729024019423
0.097,0.056,0.076,0.066204,0.06575392604811989
0.098,0.057,0.077,0.06664,0.06616618815562667
0.099,0.058,0.077,0.067054,0.06657410494364113
0.1,0.057,0.077,0.067422,0.06697770463548705
0.101,0.058,0.078,0.067818,0.06737701529769545
0.102,0.058,0.079,0.068222,0.06777206484081072
0.103,0.058,0.079,0.068594,0.06816288102019274
0.104,0.059,0.08,0.068949,0.06854949143681516
0.105,0.059,0.08,0.069348,0.06893192353805956
0.106,0.06,0.08,0.069706,0.06931020461850597
0.107,0.06,0.081,0.070109,0.06968436182071928
0.108,0.06,0.082,0.070506,0.07005442213603193
0.109,0.06,0.082,0.07087,0.07042041240532261
0.11,0.06,0.083,0.071282,0.0707823593197914
0.111,0.061,0.083,0.071633,0.0711402894217307
0.112,0.061,0.083,0.072036,0.07149422910529275
0.113,0.061,0.084,0.072388,0.07184420461725316
0.114,0.062,0.084,0.072781,0.07219024205777076
0.115,0.062,0.084,0.073086,0.07253236738114362
0.116,0.063,0.085,0.07344,0.07287060639656154
0.117,0.063,0.085,0.073725,0.07320498476885465
0.118,0.063,0.085,0.074038,0.07353552801923836
0.119,0.063,0.086,0.07438,0.07386226152605481
0.12,0.064,0.086,0.074747,0.07418521052551037
0.121,0.064,0.087,0.07507,0.07450440011240983
0.122,0.064,0.087,0.075354,0.07481985524088672
0.123,0.064,0.087,0.075681,0.07513160072513016
0.124,0.065,0.087,0.075994,0.07543966124010817
0.125,0.065,0.088,0.076289,0.07574406132228728
0.126,0.065,0.088,0.076547,0.07604482537034865
0.127,0.065,0.089,0.076854,0.07634197764590077
0.128,0.065,0.089,0.077152,0.07663554227418848
0.129,0.066,0.09,0.077466,0.07692554324479853
0.13,0.066,0.09,0.077765,0.07721200441236187
0.131,0.067,0.09,0.078013,0.07749494949725211
0.132,0.067,0.091,0.078261,0.07777440208628086
0.133,0.067,0.091,0.078519,0.07805038563338947
0.134,0.067,0.091,0.078787,0.07832292346033738
0.135,0.068,0.091,0.079034,0.07859203875738717
0.136,0.068,0.091,0.079338,0.078857754583986
0.137,0.068,0.092,0.079598,0.0791200938694441
0.138,0.068,0.092,0.079873,0.07937907941360933
0.139,0.069,0.092,0.080194,0.079634733887539
0.14,0.069,0.093,0.080427,0.07988707983416797
0.141,0.069,0.093,0.080659,0.08013613966897358
0.142,0.069,0.093,0.08093,0.08038193568063735
0.143,0.07,0.093,0.081206,0.08062449003170341
0.144,0.07,0.093,0.081454,0.0808638247592334
0.145,0.07,0.093,0.081653,0.08109996177545867
0.146,0.07,0.094,0.081866,0.0813329228684287
0.147,0.071,0.094,0.082086,0.08156272970265671
0.148,0.071,0.094,0.082336,0.08178940381976181
0.149,0.071,0.095,0.0825,0.08201296663910827
0.15,0.071,0.095,0.082756,0.08223343945844125
0.151,0.071,0.095,0.083002,0.08245084345451965
0.152,0.072,0.095,0.08323,0.08266519968374593
0.153,0.072,0.096,0.08343,0.0828765290827924
0.154,0.072,0.096,0.08361,0.08308485246922484
0.155,0.072,0.096,0.083788,0.08329019054212275
0.156,0.072,0.097,0.083984,0.08349256388269671
0.157,0.073,0.096,0.084191,0.08369199295490262
0.158,0.072,0.097,0.084393,0.08388849810605271
0.159,0.073,0.097,0.084603,0.08408209956742395
0.16,0.073,0.097,0.084774,0.08427281745486306
0.161,0.073,0.097,0.084985,0.08446067176938861
0.162,0.073,0.098,0.085165,0.08464568239779034
0.163,0.074,0.098,0.085348,0.0848278691132252
0.164,0.073,0.098,0.085474,0.08500725157581067
0.165,0.074,0.098,0.085604,0.08518384933321504
0.166,0.074,0.099,0.085752,0.08535768182124483
0.167,0.074,0.099,0.085918,0.08552876836442913
0.168,0.074,0.099,0.086101,0.08569712817660131
0.169,0.075,0.099,0.086281,0.08586278036147756
0.17,0.075,0.099,0.08642999999999999,0.08602574391323274
0.171,0.075,0.1,0.086554,0.08618603771707345
0.172,0.075,0.1,0.086733,0.0863436805498079
0.173,0.075,0.1,0.086896,0.08649869108041337
0.174,0.075,0.1,0.087052,0.08665108787060055
0.175,0.075,0.1,0.087199,0.08680088937537533
0.176,0.075,0.101,0.087353,0.0869481139435975
0.177,0.076,0.101,0.087537,0.08709277981853696
0.178,0.076,0.101,0.087673,0.08723490513842694
0.179,0.076,0.101,0.087797,0.0873745079370147
