empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
99.97200000000002,100.01809597969365,0.116,0.46499999999999997,0.1451017050964043,0.38989829490359573,0.33,0.0008000059372476416,0.4,0.63,0.21,100
199.75099999999998,199.71763432962277,0.2005,0.735,0.09715334127483266,0.16784665872516735,0.48,0.0005254181768755335,0.4,0.63,0.21,200
298.9059999999999,299.3575355326966,0.2975,0.6749999999999999,0.1414776574063008,0.18352234259369926,0.435,0.0007750092635350021,0.4,0.63,0.21,300
393.6060000000003,398.58634039997423,0.4045,0.645,0.14626222381606535,0.20873777618393463,0.42,0.0010802092940266673,0.4,0.63,0.21,400
473.6659999999999,497.20163877028585,0.5045,0.645,0.14358417973246063,0.21141582026753936,0.42,0.0008737181643427906,0.4,0.63,0.21,500
538.4189999999999,590.2242179743912,0.5904999999999999,0.21000000000000002,0.17992811011374044,0.6100718898862596,0.6,0.0003698272308917117,0.4,0.63,0.21,600
591.9200000000002,791.1070566697002,0.7925,0.87,0.0020528691953165534,0.12794713080468345,0.54,0.00046951381108848784,0.4,0.63,0.21,700
637.0009999999997,738.4645683864154,0.739,0.585,0.20655798675809933,0.2084420132419007,0.42,0.00035169828404687446,0.4,0.63,0.21,800
675.728,801.2418448241461,0.8079999999999999,0.525,0.2249241484727862,0.2500758515272138,0.39,0.00032943972981378325,0.4,0.63,0.21,900
709.3209999999997,863.6145445603084,0.874,0.6749999999999999,0.14322360671051793,0.18177639328948214,0.525,0.0004158150391063953,0.4,0.63,0.21,1000
738.884999999999,1039.4348931700545,1.045,0.87,0.03785247585997764,0.09214752414002236,0.66,0.00021559735578923438,0.4,0.63,0.21,1100
765.4280000000006,930.7989134060089,0.94,0.735,0.13171930532784515,0.13328069467215486,0.645,0.0004426116629873009,0.4,0.63,0.21,1200
788.9740000000008,1059.426459515259,1.061,0.09,0.068919767961098,0.841080232038902,0.3,0.0002760052351321266,0.4,0.63,0.21,1300
809.9359999999996,1065.5113327453257,1.07,0.075,0.06190175712778062,0.8630982428722194,0.24,0.00022682328911318345,0.4,0.63,0.21,1400
828.7979999999998,1158.6350963521797,1.16,0.045,0.026644788086331347,0.9283552119136687,0.18,0.00021441040584757915,0.4,0.63,0.21,1500
