empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
100.0,100.54666757524036,0.11284281760801071,0.015708686511381315,0,0.53,0.48,0.45,100
199.0,199.39001894279667,0.19878321125955384,0.024414759939638125,0,0.53,0.48,0.45,200
299.0,302.23968958072544,0.28660230437932943,0.022942653028559322,0,0.53,0.48,0.45,300
399.0,397.983279527335,0.38287250620302987,0.028805763256685695,0,0.53,0.48,0.45,400
497.0,490.4656968275675,0.46952442563726493,0.021296573545991175,0,0.53,0.48,0.45,500
589.0,594.0822950995653,0.581733617547092,0.016284898687352656,0,0.53,0.48,0.45,600
672.0,701.2101987220981,0.692307023057747,0.011157892671678944,0,0.53,0.48,0.45,700
742.0,793.5436075136995,0.7805715512321119,0.004317986936674885,0,0.53,0.48,0.45,800
794.0,891.8907064437792,0.8748860623058927,0.007192413366287697,0,0.53,0.48,0.45,900
837.0,1021.1474500647481,1.024572149249012,0.0055646210413775815,0,0.53,0.48,0.45,1000
869.0,1085.3804100502557,1.0713094708778639,0.006053148516284029,0,0.53,0.48,0.45,1100
888.0,1175.2278663947372,1.1690924132078275,0.005707638105482652,0,0.53,0.48,0.45,1200
911.0,1341.0071218234846,1.354283000791852,0.0020455577702064324,0,0.53,0.48,0.45,1300
925.0,1363.2174834523912,1.3584102373356064,0.0020625183427626275,0,0.53,0.48,0.45,1400
938.0,1493.8969409774602,1.5002744535051338,0.0033996910284464915,0,0.53,0.48,0.45,1500
100.0,99.96525820065777,0.07857738497451194,0.013762887663146576,1,0.53,0.48,0.45,100
200.0,201.97960688572425,0.19645210068166186,0.02754107537669307,1,0.53,0.48,0.45,200
300.0,299.6306917629917,0.28184369183212366,0.04751309043819203,1,0.53,0.48,0.45,300
399.0,403.76834426472993,0.40776196939298515,0.026636952161966723,1,0.53,0.48,0.45,400
499.0,500.55147288684896,0.4918218455688507,0.02084331353220588,1,0.53,0.48,0.45,500
593.0,594.5816476431546,0.5862945465209164,0.014717064426696352,1,0.53,0.48,0.45,600
670.0,682.6555318217072,0.6800467318886858,0.019946219362226965,1,0.53,0.48,0.45,700
737.0,815.7341984443925,0.8346430211933542,0.012649667963303036,1,0.53,0.48,0.45,800
789.0,921.5136756264725,0.9460198943629781,0.009844008014541489,1,0.53,0.48,0.45,900
833.0,1024.0155292539669,1.0406536253459913,0.006359872883700559,1,0.53,0.48,0.45,1000
869.0,1142.7880231786542,1.1619461382638268,0.0024629611647448003,1,0.53,0.48,0.45,1100
903.0,1288.1567244291862,1.3055135202494843,0.0023624659146751657,1,0.53,0.48,0.45,1200
920.0,1444.341901518908,1.4745482766946965,0.0005936582727802601,1,0.53,0.48,0.45,1300
930.0,1479.6843907990278,1.5002744535051338,0.0024444182301903866,1,0.53,0.48,0.45,1400
946.0,1500.2136299456527,1.5002744535051338,0.0025944474536544124,1,0.53,0.48,0.45,1500
100.0,98.97033301438434,0.07946723638003908,0.03685554831228986,2,0.53,0.48,0.45,100
200.0,199.2745543260994,0.2279959942382741,0.019881369215946642,2,0.53,0.48,0.45,200
300.0,304.40114687311143,0.33397877134775567,0.030344113684294044,2,0.53,0.48,0.45,300
400.0,413.5628533337417,0.45484103856425967,0.0324377369348846,2,0.53,0.48,0.45,400
498.0,509.8083952113174,0.5347809364598851,0.022058055540022267,2,0.53,0.48,0.45,500
586.0,603.0981350205776,0.6128695787980554,0.017837246714901108,2,0.53,0.48,0.45,600
672.0,694.1374628235725,0.7015186232905541,0.010260428088343002,2,0.53,0.48,0.45,700
735.0,769.0467132152966,0.7589255854022905,0.011438000521941213,2,0.53,0.48,0.45,800
799.0,909.0236744706799,0.919842441299398,0.007875951153606278,2,0.53,0.48,0.45,900
843.0,1006.5101589318782,1.0067991295055985,0.00518852904091898,2,0.53,0.48,0.45,1000
875.0,1188.7495609843115,1.2222011032509779,0.0018752240388753014,2,0.53,0.48,0.45,1100
897.0,1247.5767465279448,1.2639976984055858,0.0026453189748102297,2,0.53,0.48,0.45,1200
915.0,1341.0071218234846,1.354283000791852,0.0020966603970108927,2,0.53,0.48,0.45,1300
927.0,1328.1252642545694,1.313160680765733,0.0019537900545145005,2,0.53,0.48,0.45,1400
938.0,1344.764289137445,1.3162115054731482,0.0019223863269886613,2,0.53,0.48,0.45,1500
100.0,99.5736555869161,0.11434763562844674,0.02445608587083429,3,0.53,0.48,0.45,100
200.0,200.453001398024,0.21431833180915388,0.038793937515122855,3,0.53,0.48,0.45,200
300.0,297.19631319679127,0.28495376654649085,0.03123996971507445,3,0.53,0.48,0.45,300
398.0,389.67540836978236,0.3691055523339483,0.02671829968390374,3,0.53,0.48,0.45,400
496.0,505.2821627775547,0.5049407662531583,0.028905046374886563,3,0.53,0.48,0.45,500
590.0,599.3816486396281,0.583935022370917,0.013757733949932266,3,0.53,0.48,0.45,600
674.0,716.0339846078006,0.7091668438092507,0.01630503058539271,3,0.53,0.48,0.45,700
750.0,828.3414469756373,0.821635166739551,0.017949903648552028,3,0.53,0.48,0.45,800
800.0,954.4198436679766,0.9671055146780496,0.013024913990190018,3,0.53,0.48,0.45,900
835.0,1074.9676864431253,1.1047674982702493,0.012393540395587316,3,0.53,0.48,0.45,1000
869.0,1221.4704085618864,1.2585471830268464,0.007693885680386982,3,0.53,0.48,0.45,1100
894.0,1283.0646730369242,1.3044052945734455,0.006861422653086102,3,0.53,0.48,0.45,1200
906.0,1431.606653708521,1.472285212767447,0.0067607652563359795,3,0.53,0.48,0.45,1300
917.0,1471.7885295887877,1.5002744535051338,0.0075029945822590715,3,0.53,0.48,0.45,1400
942.0,1500.2136299456527,1.5002744535051338,0.005373980116538622,3,0.53,0.48,0.45,1500
100.0,99.5642607775519,0.10266618839347613,0.012868421209830595,4,0.53,0.48,0.45,100
200.0,198.46816047135468,0.20034970214967987,0.02498913376753375,4,0.53,0.48,0.45,200
300.0,297.3970111989719,0.29058860877945625,0.026159394114532265,4,0.53,0.48,0.45,300
400.0,400.4816125000316,0.43240588370422167,0.027317412961247473,4,0.53,0.48,0.45,400
498.0,505.7247389670483,0.5328038804658228,0.020599504182101866,4,0.53,0.48,0.45,500
590.0,613.9556027103193,0.6425297137838434,0.016486293867870885,4,0.53,0.48,0.45,600
667.0,723.545409097031,0.7646297338991965,0.023785125650750083,4,0.53,0.48,0.45,700
733.0,813.6491859732434,0.851992728270927,0.00879286977746682,4,0.53,0.48,0.45,800
785.0,905.6881944988091,0.930032359262152,0.004482208647402287,4,0.53,0.48,0.45,900
832.0,1031.6934435778228,1.0586646190805014,0.006952575209221623,4,0.53,0.48,0.45,1000
869.0,1145.9709698745116,1.1627685762669269,0.0052784051137731115,4,0.53,0.48,0.45,1100
897.0,1245.9442231472203,1.263661718928431,0.002513921758267374,4,0.53,0.48,0.45,1200
917.0,1344.4145819672126,1.354913826144681,0.0015801614820282243,4,0.53,0.48,0.45,1300
930.0,1408.6196494458611,1.4123067225745858,0.0011781893829878166,4,0.53,0.48,0.45,1400
947.0,1435.08537398255,1.41703681141956,0.0011513401487748853,4,0.53,0.48,0.45,1500
100.0,99.81707581673254,0.09955963784309127,0.012160574095678318,5,0.53,0.48,0.45,100
200.0,203.45454186867155,0.22704446996305694,0.02593423482190391,5,0.53,0.48,0.45,200
299.0,307.01231422860883,0.35898100778514414,0.026227104401064683,5,0.53,0.48,0.45,300
397.0,396.3514353068965,0.39688094790249123,0.03400868611790155,5,0.53,0.48,0.45,400
497.0,499.304143856936,0.5058476052303813,0.020021578405897782,5,0.53,0.48,0.45,500
590.0,610.9683713533059,0.6309217784069407,0.016014738076373845,5,0.53,0.48,0.45,600
679.0,705.1152551583291,0.6994705471324894,0.010507195804253295,5,0.53,0.48,0.45,700
746.0,824.5148886426733,0.8287737239709247,0.012949925218353841,5,0.53,0.48,0.45,800
799.0,888.6036009566074,0.8648688464464942,0.007441988771694185,5,0.53,0.48,0.45,900
840.0,988.1238610156948,0.9635030335506254,0.003251137803431126,5,0.53,0.48,0.45,1000
877.0,1104.9304034856136,1.0931329114032309,0.003687239357386107,5,0.53,0.48,0.45,1100
899.0,1206.1328815804966,1.1994690823157952,0.001977099898050406,5,0.53,0.48,0.45,1200
920.0,1351.1398947868515,1.3560556552749417,0.0013833172496380548,5,0.53,0.48,0.45,1300
931.0,1373.4018091890518,1.3601940149612655,0.0020432699179909813,5,0.53,0.48,0.45,1400
939.0,1349.7960943051771,1.3171630297483652,0.001912690545428736,5,0.53,0.48,0.45,1500
100.0,100.33500460278837,0.09355722943665307,0.009946693830463342,6,0.53,0.48,0.45,100
200.0,198.04431130317806,0.19154580363757337,0.03605079632434842,6,0.53,0.48,0.45,200
300.0,306.3461594918055,0.3386120334431598,0.04737902311907731,6,0.53,0.48,0.45,300
395.0,407.5287728630621,0.4550110278529092,0.035024631524747434,6,0.53,0.48,0.45,400
495.0,509.1953535465167,0.5430535810179276,0.017771173153569388,6,0.53,0.48,0.45,500
587.0,589.3264954997053,0.5931152905833191,0.01080853032101457,6,0.53,0.48,0.45,600
669.0,678.8026651965265,0.6676763656602407,0.01571102503408264,6,0.53,0.48,0.45,700
731.0,756.2353102560204,0.7351532821947198,0.01714797685236323,6,0.53,0.48,0.45,800
785.0,860.0989501046736,0.8479896978581498,0.006897534460748016,6,0.53,0.48,0.45,900
834.0,967.6044037568512,0.9466164511788808,0.005771086238460315,6,0.53,0.48,0.45,1000
865.0,1073.803779175822,1.0687121620229194,0.00447768486180628,6,0.53,0.48,0.45,1100
889.0,1172.223165449413,1.1685393397228576,0.0035179791376706735,6,0.53,0.48,0.45,1200
909.0,1223.4163425812285,1.2030450418722347,0.004197535757412904,6,0.53,0.48,0.45,1300
926.0,1299.5845427061604,1.2740683032843763,0.002312958188988312,6,0.53,0.48,0.45,1400
942.0,1388.7190877041128,1.3628759037517846,0.002402798952661275,6,0.53,0.48,0.45,1500
100.0,99.94160794593537,0.1359175290748067,0.030839829089091008,7,0.53,0.48,0.45,100
200.0,202.59078266366015,0.22907791258083587,0.02315229948150181,7,0.53,0.48,0.45,200
300.0,302.10210206841964,0.3229536445894236,0.018003748018583943,7,0.53,0.48,0.45,300
398.0,398.81746923856605,0.4210706305154484,0.02896329833120348,7,0.53,0.48,0.45,400
498.0,498.3322202670419,0.5131025373084144,0.01754393284584728,7,0.53,0.48,0.45,500
591.0,589.4145767424873,0.602329905628283,0.015387957578394947,7,0.53,0.48,0.45,600
674.0,686.0095476632691,0.6811850368549643,0.01700474977209476,7,0.53,0.48,0.45,700
742.0,768.1393004612682,0.7391797496746058,0.01253826726289975,7,0.53,0.48,0.45,800
793.0,850.6332919584214,0.8053534190112661,0.009884346124697024,7,0.53,0.48,0.45,900
835.0,954.9715725740087,0.9214653368814643,0.006872221020435661,7,0.53,0.48,0.45,1000
874.0,1037.1356803530637,0.9879354636072608,0.006588962009029135,7,0.53,0.48,0.45,1100
898.0,1121.9581992789576,1.0796609686050103,0.00260627797452866,7,0.53,0.48,0.45,1200
922.0,1171.6986182867572,1.1078728373892655,0.003641572323632591,7,0.53,0.48,0.45,1300
934.0,1241.8191761084497,1.1829175157826168,0.00425354212674816,7,0.53,0.48,0.45,1400
951.0,1310.4862210850624,1.246807817671116,0.00372927448636994,7,0.53,0.48,0.45,1500
100.0,99.32196377030304,0.10591106238016576,0.028888880052845768,8,0.53,0.48,0.45,100
200.0,201.77820300753967,0.20181223020232847,0.020677175260739266,8,0.53,0.48,0.45,200
298.0,301.90393743097,0.30235557205605956,0.020262945601272668,8,0.53,0.48,0.45,300
398.0,396.381406333896,0.37620982640173856,0.019968980158211986,8,0.53,0.48,0.45,400
497.0,485.5429699803699,0.45393525872909274,0.025407685334631953,8,0.53,0.48,0.45,500
