x,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,all
0.0,0,0,0,0,0,0,0
0.001,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0
0.003,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0
0.005,0,0,0,0,339.93683726241215,0,1374.581035746931
0.006,0,0,0,52.38739129006331,187.33202734219753,819.6552927587392,377.8210141153723
0.007,0,0,0,35.17200937547616,115.5680482902889,217.7178500463452,162.12122600011804
0.008,0,0,0,11.672666160001127,52.026821067975014,80.48900796905185,62.59576187067763
0.009000000000000001,0,0,41.431082380094644,12.902754518316561,84.08155338259732,93.53238927788493,81.3356029715185
0.010000000000000002,0,96.1968315369112,13.36999770003404,23.58800897642329,71.04032533139,55.45279075209357,55.5271245032469
0.011000000000000003,0,94.52381561718535,23.086446017910127,54.01929330857142,59.464162410812335,54.13246904834263,54.56045120825162
0.012000000000000004,0,92.37229190661284,69.17478810994741,14.54651657405668,53.38580738104338,34.279241207381105,34.527630665541935
0.013000000000000005,0,89.66752773392847,13.064231747011702,17.34670061357933,25.257397290375017,30.01271111659337,23.69859728151176
0.014000000000000005,0,86.33200723104936,47.58259252315113,0.19534978274876294,13.55237717648736,26.08410742796288,19.728676784114146
0.015000000000000006,0,82.28588774430638,25.82528858669699,8.92623612730084,6.4195798130067905,19.955150047977707,14.386609600860725
0.016000000000000007,0,77.4474296852673,20.964173457378898,11.024077749997264,13.454968856437866,22.51309511962228,18.10779580564958
0.017000000000000008,0,71.73340092344786,16.2154135791638,12.909960526894283,9.904748786050986,19.571125628777533,15.381460889797799
0.01800000000000001,0,65.05945678519082,10.57937856691956,18.361165568627122,10.540158947143908,18.449408076269428,15.39956488677051
0.01900000000000001,0,57.34049668614317,4.240755681792095,9.047544724513472,13.994275348310866,16.325926448258645,14.785447891537318
0.02000000000000001,0,48.49099838904015,2.6833346584224405,3.599303415606221,11.428487917186462,11.695820102515453,10.88211970006363
0.02100000000000001,0,38.42533084388064,21.123476034687723,5.645585688666785,11.019129288586532,8.281231720554402,9.043447035319682
0.022000000000000013,0,63.52902326701238,57.315141877445676,9.283191670250906,12.368001365171484,7.6144127768819265,9.482599619842402
0.023000000000000013,0,57.15207710961114,64.13636909858879,3.629050920184656,9.614063463989933,9.144877678834384,9.088821806229431
0.024000000000000014,0,50.03968646753686,11.086347889311496,6.446165660169881,9.153422442686862,8.323057999038893,8.430769222485438
0.025000000000000015,0,61.43345602596319,13.56440839127741,7.245010213504639,7.434241285465824,7.33657744239627,7.331754755659774
0.026000000000000016,0,55.62832345811189,2.0678871522239906,5.053472863446656,9.093990106538431,5.704203467894428,6.701485038138084
0.027000000000000017,0,49.250792835531904,1.264082667809918,7.0343679274875734,7.426353946976422,4.4053141632687005,5.546005368206526
0.028000000000000018,0,42.27444871200753,14.925834758397455,5.12424222899871,7.324245100209303,4.068816310759727,5.329868250152149
0.02900000000000002,0,34.67345134712152,19.48529631770105,3.7044708439755003,4.909427940726879,3.212354148252711,3.955749167548357
0.03000000000000002,0,26.422589353872105,20.344619283217718,5.1992908651516565,4.754064462058098,2.955197919950742,3.9104033771979467
0.03100000000000002,0,38.122995877080854,25.32296481998947,7.154644423348481,3.739012531739783,3.106438300481487,3.831182746992841
0.03200000000000002,0,30.9053891719395,20.384139870141315,8.003320011014335,3.3116631968966748,2.648122011935218,3.4835567032495733
0.03300000000000002,0,23.146831037435625,7.354352176208138,8.74071306099447,1.3043098574168919,1.1804878055996766,1.9237942787762805
0.03400000000000002,0,31.86450205140201,10.489699146128375,6.62072202889847,1.0329131412667667,0.31868505097674377,0.8693890926769824
0.035000000000000024,0,24.752564729367062,13.717127819982851,3.3276475916860053,0.5327435505668223,0.038525250262880284,0.25700450608744924
0.036000000000000025,0,17.169308627047606,15.000741222231714,2.9128299107791444,1.2176492489779402,1.3500897071708962,0.7393476936701835
0.037000000000000026,0,9.102918718657802,24.528483205518082,2.332211462349631,0.5649972048056352,1.9389060290183417,0.7609588695328753
0.03800000000000003,0,0.5421224609975211,21.84714946832893,2.631908914111704,1.7327738827365753,1.4269839052409572,0.8947972309863891
0.03900000000000003,0,22.483000899533376,13.464194681389383,2.353862523574296,2.6466829954519513,2.277986803086978,1.7931675110426801
0.04000000000000003,0,26.184375138702993,7.34058836853192,3.7293881631900154,3.0608932241712354,2.619368001040936,2.054567090051694
0.04100000000000003,0,28.77163127417936,6.1374116352683155,2.983165699099984,3.638737080794509,3.413326983594459,2.7554088926483815
0.04200000000000003,0,22.860558252999958,3.2149923928480773,1.2978031391995462,2.494833830818659,3.9923032778239462,2.791856207462025
0.04300000000000003,0,16.648213819516734,3.8208896102183503,0.23640938567782907,2.5513883798454393,4.033790725556211,2.909611800126217
0.04400000000000003,0,19.11722134339866,6.440271874324243,0.976542524505594,2.0571523772242815,5.129789653239887,3.1565436762734698
0.04500000000000003,0,12.972367239376984,8.096425899928937,0.6431331825089165,2.222683485141905,5.864016392416041,3.5731544652334293
0.046000000000000034,0,15.04136707412853,7.969671873108597,2.795511365195302,2.0013173730174483,5.7058191475472215,3.767636677685779
0.047000000000000035,0,8.939636589965927,4.746915188448016,2.6258282077285355,1.8242943809858276,6.03979269604123,3.8653531564125707
0.048000000000000036,0,2.5762918777144646,0.05072299375252445,2.6631073617449967,1.5154757708360105,7.268758698903445,4.412037319715251
0.04900000000000004,0,14.455975185187297,0.0008279955384486446,1.4336784917492444,1.98317091088271,6.626251429051652,4.080407170868482
