x,AA,AB,BB,all
0.05,0.15965647066218017,0,0.4364781255494289,0.29825944640858687
0.1,0.6373890433667353,0,0.3292890552055689,0.15638976486298337
0.15000000000000002,0.8721125471377713,0,0.18954970925196812,0.34410888542725426
0.2,0.6414956731703846,0,0.9025092895334826,0.12455469777871982
0.25,0.5924681760732177,0,0.5025246343138187,0.047970642662452385
0.3,0.49526079898177766,0,0.07560479971273877,0.21064443156675097
0.35,0.3130776396832195,0,0.019627983546870106,0.14700196727953638
0.39999999999999997,1.20304470423753,0,0.41604123771558915,0.8111040446797897
0.44999999999999996,0.8444643955931311,0,0.5049360641583276,0.6749903862812818
0.49999999999999994,0.9809452745085382,0,1.1025085231265463,1.0417642317836286
0.5499999999999999,1.010757749198158,0,1.697362487847782,1.355254861225261
0.6,0.6556452388255024,0,1.243247017839634,0.9503175920377344
0.65,0.3018630445295302,0,1.0375823234728168,0.6710850149843208
0.7000000000000001,0.03981815317356902,0,0.8223582533723873,0.4326257539937949
0.7500000000000001,0.11154760072240354,0,1.0905348699460986,0.6034517637875089
0.8000000000000002,0.2332399721808782,0,1.6889864857010763,0.9664626375942694
0.8500000000000002,0.24868321866111184,0,1.693653083320114,0.9764391863819871
0.9000000000000002,0.17659362295620862,0,1.1363262741686633,0.48419650130188935
0.9500000000000003,0.11415707253295779,0,1.646458425780755,0.7739599245620642
1.0000000000000002,0.40367771480192405,0,1.95054128086633,0.7873956517297546
1.0500000000000003,0.6978073820536094,0,2.081121508074744,1.3943157471093304
1.1000000000000003,0.9165525064176745,0,3.4800322085815356,2.215090193503207
1.1500000000000004,1.4357852461749299,0,3.8621830810994275,2.664103180122906
1.2000000000000004,1.987927165303473,0,5.278184741760767,3.6611407782262972
1.2500000000000004,1.905034371572069,0,5.110029868670326,3.5341455863380733
1.3000000000000005,2.241906393279817,0,5.11334020919564,3.6990231369814333
1.3500000000000005,2.9078937495686126,0,5.5254993410738855,4.234580296417596
1.4000000000000006,4.834389649336516,0,5.043851741084122,4.939236080130488
1.4500000000000006,7.928809127623268,0,5.794970369207679,6.874111565657134
1.5000000000000007,10.233503983594185,0,6.860514403819399,8.578110031976168
1.5500000000000007,13.200400489559035,0,7.8612335600942975,10.610472115419702
1.6000000000000008,10.968130037565706,0,10.548733611093924,10.758924569376015
1.6500000000000008,13.201575330471067,0,13.867718267305522,13.53592981687141
1.7000000000000008,14.864309742079156,0,17.5340700637561,16.220453480700886
1.7500000000000009,19.88988756423701,0,21.774831386254974,20.84357937894848
1.800000000000001,24.332519421282733,0,26.40446576790698,25.382873121709128
1.850000000000001,28.065037653326627,0,30.454021642699537,29.279699306459946
1.900000000000001,31.395546642340758,0,34.15112717886724,32.80157430832813
1.950000000000001,35.04201552759503,0,39.56254092204379,37.3837610493275
2.000000000000001,41.455038760469314,0,43.71432417743107,42.60690711676461
