gamma,error
0.1,1.1776694063950457
0.2,1.1384959435025366
0.30000000000000004,1.3224298657918367
0.4,1.0454593969444352
0.5,1.9830317535004898
0.6,1.706900667478415
0.7,0.7230865381858779
0.7999999999999999,0.4552472292951204
0.8999999999999999,0.271886794352361
0.9999999999999999,2.107124781751793
1.0999999999999999,1.229893867213209
1.2,0.9270041750832734
1.3,1.8061701091450177
1.4000000000000001,4.717924298566305
1.5000000000000002,7.280909595797756
1.6000000000000003,10.999661702006458
1.7000000000000004,10.005487378228795
1.8000000000000005,10.633464627328868
1.9000000000000006,10.78954527931278
2.0000000000000004,8.584530796097008
