gamma,error
0.1,0.28004633982316424
0.2,0.2935833094804746
0.30000000000000004,0.3859258969418537
0.4,0.36594841612978246
0.5,0.3152927466334562
0.6,0.24435916626888618
0.7,0.4423163444024698
0.7999999999999999,1.2486671724845766
0.8999999999999999,1.775251227503848
0.9999999999999999,2.3790981366340143
1.0999999999999999,2.8072311236762646
1.2,3.481060684505862
1.3,5.124513613332557
1.4000000000000001,7.130723659272419
1.5000000000000002,9.874972176804924
1.6000000000000003,13.1895047703204
1.7000000000000004,17.405711067533318
1.8000000000000005,22.670110476378746
1.9000000000000006,28.381534741108467
2.0000000000000004,36.18834380035578
