gamma,error
0.1,0.4445021494315661
0.2,0.2928137013986927
0.30000000000000004,0.44102813482676145
0.4,0.571635432337635
0.5,0.937196702215189
0.6,0.025592765836232705
0.7,0.542737864824673
0.7999999999999999,0.1260117081293237
0.8999999999999999,0.7416691791848342
0.9999999999999999,1.0238629143633329
1.0999999999999999,0.05550383819006261
1.2,1.7225997552957923
1.3,2.9603934016905447
1.4000000000000001,1.142346725963294
1.5000000000000002,1.022559099353957
1.6000000000000003,1.8248863038714984
1.7000000000000004,0.87049926888495
1.8000000000000005,2.230169646215144
1.9000000000000006,1.847779003980347
2.0000000000000004,0.4165284685407694
