n,k,cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
2000,131,1869,1753,101,15,0,0,3
2000,132,1868,1752,100,16,0,0,3
2000,133,1867,1750,101,16,0,0,3
2000,134,1866,1748,102,16,0,0,3
2000,135,1865,1746,103,16,0,0,3
2000,136,1864,1746,101,16,1,0,4
2000,137,1863,1744,102,16,1,0,4
2000,138,1862,1742,103,16,1,0,4
2000,139,1861,1741,102,17,1,0,4
2000,140,1860,1740,101,18,1,0,4
2000,141,1859,1739,100,19,1,0,4
2000,142,1858,1737,101,19,1,0,4
2000,143,1857,1735,102,19,1,0,4
2000,144,1856,1733,103,19,1,0,4
2000,145,1855,1731,104,19,1,0,4
2000,146,1854,1730,103,20,1,0,4
2000,147,1853,1728,104,20,1,0,4
2000,148,1852,1726,105,20,1,0,4
2000,149,1851,1724,106,20,1,0,4
2000,150,1850,1722,107,20,1,0,4
2000,151,1849,1721,107,19,2,0,4
2000,152,1848,1720,106,20,2,0,4
2000,153,1847,1718,107,20,2,0,4
2000,154,1846,1716,108,20,2,0,4
2000,155,1845,1714,109,20,2,0,4
2000,156,1844,1712,110,20,2,0,4
2000,157,1843,1710,111,20,2,0,4
2000,158,1842,1708,112,20,2,0,4
2000,159,1841,1707,112,19,3,0,4
2000,160,1840,1705,113,19,3,0,4
2000,161,1839,1703,114,19,3,0,4
2000,162,1838,1701,115,19,3,0,4
2000,163,1837,1699,116,19,3,0,4
2000,164,1836,1697,117,19,3,0,4
2000,165,1835,1695,118,19,3,0,4
2000,166,1834,1693,119,19,3,0,4
2000,167,1833,1692,118,20,3,0,4
2000,168,1832,1690,119,20,3,0,4
2000,169,1831,1688,120,20,3,0,4
2000,170,1830,1687,119,21,3,0,4
2000,171,1829,1686,118,22,3,0,4
2000,172,1828,1684,119,22,3,0,4
2000,173,1827,1682,120,22,3,0,4
2000,174,1826,1681,120,21,4,0,4
2000,175,1825,1679,121,21,4,0,4
2000,176,1824,1677,122,21,4,0,4
2000,177,1823,1675,123,21,4,0,4
2000,178,1822,1674,122,22,4,0,4
2000,179,1821,1673,121,23,4,0,4
2000,180,1820,1672,121,22,5,0,4
2000,181,1819,1670,122,22,5,0,4
2000,182,1818,1669,121,23,5,0,4
2000,183,1817,1667,122,23,5,0,4
2000,184,1816,1666,121,24,5,0,4
2000,185,1815,1664,122,24,5,0,4
2000,186,1814,1662,123,24,5,0,4
2000,187,1813,1660,124,24,5,0,4
2000,188,1812,1658,125,24,5,0,4
2000,189,1811,1656,126,24,5,0,4
2000,190,1810,1654,127,24,5,0,4
2000,191,1809,1652,128,24,5,0,4
2000,192,1808,1651,127,25,5,0,4
2000,193,1807,1649,128,25,5,0,4
2000,194,1806,1648,128,25,4,1,5
2000,195,1805,1646,129,25,4,1,5
2000,196,1804,1645,128,26,4,1,5
2000,197,1803,1643,129,26,4,1,5
2000,198,1802,1641,130,26,4,1,5
2000,199,1801,1639,131,26,4,1,5
2000,200,1800,1637,132,26,4,1,5
2000,201,1799,1635,133,26,4,1,5
2000,202,1798,1633,134,26,4,1,5
2000,203,1797,1631,135,26,4,1,5
2000,204,1796,1629,136,26,4,1,5
2000,205,1795,1627,137,26,4,1,5
2000,206,1794,1625,138,26,4,1,5
2000,207,1793,1624,137,27,4,1,5
2000,208,1792,1622,138,27,4,1,5
2000,209,1791,1620,139,27,4,1,5
2000,210,1790,1619,139,27,3,2,5
2000,211,1789,1617,140,27,3,2,5
2000,212,1788,1615,141,27,3,2,5
2000,213,1787,1613,142,27,3,2,5
2000,214,1786,1611,143,27,3,2,5
2000,215,1785,1609,144,27,3,2,5
2000,216,1784,1607,145,27,3,2,5
2000,217,1783,1606,144,28,3,2,5
2000,218,1782,1604,145,28,3,2,5
2000,219,1781,1602,146,28,3,2,5
2000,220,1780,1600,147,28,3,2,5
2000,221,1779,1600,145,28,4,2,5
2000,222,1778,1598,146,28,4,2,5
2000,223,1777,1597,145,29,4,2,5
2000,224,1776,1595,146,29,4,2,5
2000,225,1775,1594,145,30,4,2,5
2000,226,1774,1593,144,31,4,2,5
2000,227,1773,1591,145,31,4,2,5
2000,228,1772,1589,146,31,4,2,5
2000,229,1771,1587,147,31,4,2,5
2000,230,1770,1585,148,31,4,2,5
2000,231,1769,1583,149,31,4,2,5
2000,232,1768,1581,150,31,4,2,5
2000,233,1767,1579,151,31,4,2,5
2000,234,1766,1577,152,31,4,2,5
2000,235,1765,1576,152,30,5,2,5
2000,236,1764,1574,153,30,5,2,5
2000,237,1763,1573,152,31,5,2,5
2000,238,1762,1571,153,31,5,2,5
2000,239,1761,1569,154,31,5,2,5
2000,240,1760,1567,155,31,5,2,5
2000,241,1759,1566,154,32,5,2,5
2000,242,1758,1564,155,32,5,2,5
2000,243,1757,1562,156,32,5,2,5
2000,244,1756,1561,155,33,5,2,5
2000,245,1755,1560,154,34,5,2,5
2000,246,1754,1558,155,34,5,2,5
2000,247,1753,1556,156,34,5,2,5
2000,248,1752,1555,156,33,6,2,5
2000,249,1751,1553,157,33,6,2,5
2000,250,1750,1551,158,33,6,2,5
2000,251,1749,1551,157,32,6,3,5
2000,252,1748,1550,156,33,6,3,5
2000,253,1747,1548,157,33,6,3,5
2000,254,1746,1546,158,33,6,3,5
2000,255,1745,1544,159,33,6,3,5
2000,256,1744,1542,160,33,6,3,5
2000,257,1743,1540,161,33,6,3,5
2000,258,1742,1538,162,33,6,3,5
2000,259,1741,1536,163,33,6,3,5
2000,260,1740,1534,164,33,6,3,5
2000,261,1739,1532,165,33,6,3,5
2000,262,1738,1531,165,32,7,3,5
2000,263,1737,1530,165,32,6,4,5
2000,264,1736,1529,164,33,6,4,5
2000,265,1735,1527,165,33,6,4,5
2000,266,1734,1525,166,33,6,4,5
2000,267,1733,1523,167,33,6,4,5
2000,268,1732,1521,168,33,6,4,5
2000,269,1731,1520,168,33,5,5,5
2000,270,1730,1518,169,33,5,5,5
2000,271,1729,1516,170,33,5,5,5
2000,272,1728,1515,169,34,5,5,5
2000,273,1727,1514,168,35,5,5,5
2000,274,1726,1512,169,35,5,5,5
2000,275,1725,1510,170,35,5,5,5
2000,276,1724,1509,169,36,5,5,5
2000,277,1723,1507,170,36,5,5,5
2000,278,1722,1505,171,36,5,5,5
2000,279,1721,1503,172,36,5,5,5
2000,280,1720,1501,173,36,5,5,5
2000,281,1719,1501,171,36,6,5,5
2000,282,1718,1500,171,36,5,6,5
2000,283,1717,1498,172,36,5,6,5
2000,284,1716,1496,173,36,5,6,5
2000,285,1715,1494,174,36,5,6,5
2000,286,1714,1492,175,36,5,6,5
2000,287,1713,1491,174,37,5,6,5
2000,288,1712,1490,173,38,5,6,5
2000,289,1711,1489,173,37,6,6,5
2000,290,1710,1488,172,38,6,6,5
2000,291,1709,1487,171,39,6,6,5
2000,292,1708,1485,172,39,6,6,5
2000,293,1707,1483,173,39,6,6,5
2000,294,1706,1482,172,40,6,6,5
2000,295,1705,1480,173,40,6,6,5
2000,296,1704,1478,174,40,6,6,5
2000,297,1703,1477,173,41,6,6,5
2000,298,1702,1476,172,42,6,6,5
2000,299,1701,1474,173,42,6,6,5
2000,300,1700,1473,173,41,7,6,5
2000,301,1699,1471,174,41,7,6,5
2000,302,1698,1470,174,40,8,6,5
2000,303,1697,1468,175,40,8,6,5
2000,304,1696,1467,174,41,8,6,5
2000,305,1695,1466,173,42,8,6,5
2000,306,1694,1465,172,43,8,6,5
2000,307,1693,1464,171,44,8,6,5
2000,308,1692,1462,172,44,8,6,5
2000,309,1691,1460,173,44,8,6,5
2000,310,1690,1460,171,44,9,6,5
2000,311,1689,1459,170,45,9,6,5
2000,312,1688,1458,169,46,9,6,5
2000,313,1687,1457,168,47,9,6,5
2000,314,1686,1455,169,47,9,6,5
2000,315,1685,1453,170,47,9,6,5
2000,316,1684,1451,171,47,9,6,5
2000,317,1683,1449,172,47,9,6,5
2000,318,1682,1448,171,48,9,6,5
2000,319,1681,1447,171,48,8,7,5
2000,320,1680,1445,172,48,8,7,5
2000,321,1679,1443,173,48,8,7,5
2000,322,1678,1441,174,48,8,7,5
2000,323,1677,1439,175,48,8,7,5
2000,324,1676,1437,176,48,8,7,5
2000,325,1675,1436,176,47,9,7,5
2000,326,1674,1434,177,47,9,7,5
2000,327,1673,1433,177,47,9,6,6
2000,328,1672,1431,178,47,9,6,6
2000,329,1671,1429,179,47,9,6,6
2000,330,1670,1427,180,47,9,6,6
2000,331,1669,1426,179,48,9,6,6
2000,332,1668,1425,179,47,10,6,6
2000,333,1667,1424,178,48,10,6,6
2000,334,1666,1423,177,49,10,6,6
2000,335,1665,1421,178,49,10,6,6
2000,336,1664,1420,178,48,11,6,6
2000,337,1663,1418,179,48,11,6,6
2000,338,1662,1416,180,48,11,6,6
2000,339,1661,1414,181,48,11,6,6
2000,340,1660,1412,182,48,11,6,6
2000,341,1659,1412,181,48,10,6,6
2000,342,1658,1410,182,48,10,6,6
2000,343,1657,1408,183,48,10,6,6
2000,344,1656,1407,183,47,11,6,6
2000,345,1655,1407,182,46,11,7,6
2000,346,1654,1406,181,47,11,7,6
2000,347,1653,1404,182,47,11,7,6
2000,348,1652,1402,183,47,11,7,6
2000,349,1651,1401,182,48,11,7,6
2000,350,1650,1400,182,47,12,7,6
