n,k,all-cycles,A-cycles,B-cycles,AA-cycles,AB-cycles,BB-cycles,AAA-cycles,AAB-cycles,ABB-cycles,BBB-cycles,AAAA-cycles,AAAB-cycles,AABB-cycles,ABBB-cycles,BBBB-cycles,AAAAA-cycles,AAAAB-cycles,AAABB-cycles,AABBB-cycles,ABBBB-cycles,BBBBB-cycles,max_cycle_len
1000,0,1000.0,900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,899.37,98.63,0.215,0.2,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,898.755,97.28,0.41,0.42,1.1,0.0,0.0,0.005,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035
1000,3,997.0,898.15,95.935,0.62,0.57,1.64,0.0,0.005,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.085
1000,4,996.0,897.555,94.61,0.825,0.715,2.135,0.0,0.005,0.065,0.085,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.16
1000,5,995.0,896.905,93.32,1.055,0.895,2.61,0.0,0.005,0.075,0.125,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.215
1000,6,994.0,896.315,92.02,1.25,1.06,3.035,0.0,0.01,0.1,0.195,0.0,0.0,0.0,0.005,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.315
1000,7,993.0,895.755,90.715,1.43,1.22,3.43,0.0,0.015,0.125,0.29,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.42
1000,8,992.0,895.135,89.49,1.655,1.35,3.8,0.0,0.015,0.155,0.345,0.0,0.0,0.0,0.02,0.035,0.0,0.0,0.0,0.0,0.0,0.0,2.56
1000,9,991.0,894.46,88.275,1.885,1.515,4.2,0.0,0.025,0.185,0.39,0.0,0.0,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.005,2.645
1000,10,990.0,893.875,87.035,2.09,1.63,4.565,0.0,0.02,0.225,0.46,0.0,0.005,0.005,0.025,0.06,0.0,0.0,0.0,0.0,0.0,0.005,2.755
1000,11,989.0,893.34,85.785,2.245,1.795,4.875,0.005,0.03,0.235,0.545,0.0,0.005,0.005,0.035,0.08,0.0,0.0,0.0,0.0,0.005,0.015,2.87
1000,12,988.0,892.865,84.49,2.37,1.93,5.215,0.01,0.035,0.28,0.6,0.0,0.005,0.01,0.045,0.125,0.0,0.0,0.0,0.0,0.005,0.015,2.985
1000,13,987.0,892.24,83.28,2.59,2.04,5.595,0.015,0.045,0.3,0.655,0.0,0.005,0.01,0.06,0.14,0.0,0.0,0.0,0.0,0.01,0.015,3.07
1000,14,986.0,891.635,82.13,2.77,2.205,5.83,0.025,0.05,0.335,0.725,0.0,0.005,0.01,0.06,0.18,0.0,0.0,0.0,0.0,0.015,0.025,3.185
1000,15,985.0,890.975,81.045,2.985,2.345,6.025,0.03,0.06,0.365,0.825,0.0,0.01,0.01,0.07,0.21,0.0,0.0,0.0,0.0,0.015,0.025,3.27
1000,16,984.005,890.415,79.87,3.16,2.48,6.29,0.03,0.07,0.385,0.885,0.0,0.01,0.015,0.09,0.25,0.0,0.0,0.0,0.0,0.02,0.025,3.365
1000,17,983.005,889.775,78.77,3.35,2.62,6.515,0.04,0.07,0.415,0.97,0.0,0.01,0.03,0.11,0.26,0.0,0.0,0.0,0.0,0.03,0.03,3.45
1000,18,982.005,889.21,77.665,3.535,2.72,6.665,0.045,0.075,0.445,1.095,0.0,0.01,0.035,0.13,0.28,0.0,0.0,0.0,0.0,0.04,0.045,3.55
1000,19,981.005,888.62,76.57,3.74,2.8,6.835,0.045,0.08,0.5,1.2,0.0,0.01,0.04,0.14,0.32,0.0,0.0,0.0,0.005,0.035,0.045,3.625
1000,20,980.01,888.09,75.43,3.905,2.925,7.015,0.045,0.08,0.555,1.29,0.0,0.01,0.045,0.14,0.34,0.0,0.0,0.0,0.005,0.04,0.065,3.735
1000,21,979.015,887.5,74.45,4.08,3.045,7.045,0.05,0.09,0.605,1.365,0.0,0.01,0.04,0.16,0.395,0.0,0.0,0.0,0.01,0.05,0.075,3.865
