n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,28,972.0024,471.4003,474.1127,12.4994,1.2541,11.3327,0.6444,0.0669,0.0619,0.5328,0.0429,0.0044,0.0045,0.0046,0.0336,0.0032,0.0002,0.0001,0.0003,0.0001,0.0028,2.8951
1000,29,971.0025,470.4149,473.209,12.8861,1.2924,11.6964,0.6891,0.0716,0.067,0.5693,0.0479,0.0051,0.0048,0.005,0.0361,0.0036,0.0002,0.0001,0.0003,0.0001,0.0029,2.9279
1000,30,970.0025,469.4267,472.3096,13.2742,1.3366,12.0527,0.7317,0.0759,0.0709,0.6057,0.0533,0.0058,0.0053,0.0052,0.0398,0.0038,0.0003,0.0001,0.0003,0.0002,0.0036,2.9616
1000,31,969.0029,468.4487,471.4047,13.6575,1.3728,12.4126,0.779,0.0794,0.0742,0.6443,0.0571,0.0066,0.0058,0.0061,0.0439,0.0043,0.0004,0.0001,0.0003,0.0002,0.004,2.9902
1000,32,968.003,467.4751,470.5007,14.0293,1.4102,12.773,0.8281,0.0846,0.079,0.6801,0.0634,0.0074,0.006,0.0063,0.0488,0.0045,0.0004,0.0003,0.0004,0.0003,0.0041,3.0209
1000,33,967.0031,466.4989,469.6019,14.4078,1.4472,13.1236,0.8738,0.0883,0.0837,0.7212,0.0693,0.0083,0.0065,0.0066,0.0533,0.0053,0.0004,0.0003,0.0004,0.0005,0.0045,3.0513
1000,34,966.0032,465.5339,468.6883,14.7831,1.4874,13.4811,0.9168,0.0927,0.0874,0.762,0.0755,0.0087,0.0068,0.0075,0.0578,0.0061,0.0006,0.0004,0.0004,0.0006,0.0046,3.0793
1000,35,965.0035,464.5635,467.7859,15.1547,1.5252,13.8341,0.9628,0.0972,0.0923,0.8028,0.0826,0.0096,0.0078,0.008,0.0615,0.0067,0.0007,0.0004,0.0006,0.0007,0.0048,3.1051
1000,36,964.0041,463.5881,466.8936,15.522,1.563,14.1832,1.014,0.1009,0.0967,0.8421,0.0893,0.0112,0.0084,0.0089,0.0659,0.0072,0.0008,0.0005,0.0007,0.0007,0.0051,3.1318
1000,37,963.0041,462.6286,465.9965,15.8783,1.602,14.5227,1.0636,0.106,0.1013,0.8853,0.0978,0.0125,0.0088,0.0096,0.0722,0.0078,0.0009,0.0006,0.0009,0.0008,0.0059,3.1594
1000,38,962.0048,461.6506,465.1175,16.2454,1.6371,14.8563,1.1141,0.1117,0.1076,0.9279,0.1053,0.0133,0.0093,0.0101,0.0774,0.0084,0.0009,0.0006,0.0011,0.0009,0.0067,3.185
1000,39,961.0048,460.6939,464.2271,16.5931,1.6704,15.1915,1.1694,0.1181,0.1131,0.9723,0.113,0.0145,0.0099,0.0109,0.0839,0.0096,0.0011,0.0006,0.0011,0.0009,0.0076,3.2116
1000,40,960.0048,459.743,463.3271,16.9374,1.7089,15.5306,1.2226,0.1239,0.1191,1.0204,0.1217,0.0148,0.0105,0.0113,0.0863,0.0109,0.0014,0.0006,0.0011,0.0011,0.0087,3.236
1000,41,959.0052,458.786,462.4368,17.2863,1.7484,15.8601,1.2758,0.1294,0.1242,1.0673,0.13,0.0152,0.0115,0.0119,0.0925,0.0115,0.0017,0.0009,0.0011,0.0012,0.0097,3.2584
1000,42,958.0056,457.8147,461.5606,17.6454,1.7817,16.1885,1.3276,0.1339,0.1288,1.1132,0.138,0.0163,0.012,0.0126,0.0986,0.0135,0.002,0.0009,0.0012,0.0012,0.0108,3.2844
1000,43,957.0061,456.8562,460.6796,17.987,1.8185,16.518,1.3856,0.1408,0.1325,1.1537,0.1448,0.0173,0.0129,0.0138,0.1079,0.0155,0.0023,0.001,0.0012,0.0013,0.0115,3.3116
1000,44,956.0062,455.8791,459.8193,18.3355,1.8579,16.8328,1.4413,0.1467,0.1377,1.1987,0.1554,0.018,0.0133,0.0149,0.114,0.017,0.0026,0.0012,0.0014,0.0015,0.0128,3.3363
1000,45,955.0068,454.9235,458.9468,18.6677,1.8938,17.1497,1.504,0.1513,0.1428,1.2467,0.1653,0.0191,0.0142,0.0156,0.1215,0.0182,0.0027,0.0013,0.0016,0.0016,0.0139,3.3611
1000,46,954.0073,453.9747,458.0666,19.0003,1.9303,17.4718,1.56,0.1574,0.1473,1.2923,0.1761,0.0201,0.015,0.0168,0.1289,0.0202,0.0028,0.0013,0.0018,0.0018,0.0156,3.3867
1000,47,953.0074,453.0344,457.1865,19.3258,1.9673,17.7844,1.6167,0.1625,0.1518,1.3436,0.1867,0.0217,0.0157,0.018,0.1371,0.0226,0.0035,0.0014,0.0022,0.0018,0.0168,3.4139
1000,48,952.0077,452.0723,456.3242,19.6642,2.0051,18.0878,1.6747,0.168,0.157,1.3952,0.196,0.023,0.0165,0.0194,0.1446,0.0247,0.0038,0.0016,0.0022,0.002,0.018,3.4379
1000,49,951.0078,451.1118,455.4648,19.9919,2.0407,18.3944,1.7396,0.1746,0.1626,1.4438,0.2055,0.0243,0.0167,0.021,0.1521,0.0263,0.0038,0.0017,0.0023,0.002,0.0194,3.4608
1000,50,950.008,450.1659,454.596,20.3149,2.0777,18.6966,1.8017,0.1799,0.1686,1.4989,0.2147,0.0251,0.0173,0.0215,0.1591,0.0279,0.0044,0.002,0.0025,0.0022,0.021,3.4854
1000,51,949.0081,449.2198,453.7318,20.639,2.1106,18.9965,1.8627,0.1857,0.1732,1.5518,0.2257,0.026,0.018,0.0223,0.1701,0.0297,0.0048,0.0021,0.0025,0.0024,0.0219,3.5124
1000,52,948.0083,448.2743,452.8683,20.9605,2.1436,19.2967,1.9235,0.1916,0.1788,1.6048,0.237,0.0274,0.019,0.0239,0.1784,0.0317,0.0051,0.0023,0.0026,0.0024,0.0239,3.5383
1000,53,947.0085,447.3294,452.0096,21.2806,2.1776,19.5871,1.9837,0.1995,0.1842,1.6614,0.2476,0.0288,0.0197,0.0251,0.1875,0.0344,0.0052,0.0026,0.0029,0.0028,0.0253,3.5635
1000,54,946.0088,446.3771,451.1668,21.5963,2.2062,19.8755,2.0489,0.2055,0.1899,1.714,0.2603,0.0311,0.0203,0.0268,0.1959,0.037,0.0052,0.0029,0.003,0.0036,0.0281,3.5915
1000,55,945.0089,445.4446,450.3058,21.8942,2.2364,20.1727,2.1187,0.213,0.1977,1.7657,0.2735,0.0327,0.0209,0.0278,0.2064,0.0383,0.0054,0.0032,0.0032,0.0037,0.0292,3.6159
1000,56,944.0091,444.5046,449.4504,22.1999,2.2712,20.4613,2.1873,0.2197,0.203,1.8226,0.2847,0.0336,0.0216,0.028,0.2156,0.0408,0.0059,0.0033,0.0033,0.0042,0.0309,3.6407
1000,57,943.0093,443.5594,448.6066,22.5104,2.3026,20.7455,2.2492,0.2252,0.2092,1.875,0.2986,0.0352,0.0236,0.0293,0.2258,0.0444,0.0061,0.0034,0.0033,0.0043,0.033,3.6708
1000,58,942.0099,442.6227,447.7562,22.8147,2.3344,21.0301,2.3154,0.2306,0.215,1.9301,0.3105,0.0375,0.0246,0.0303,0.2362,0.047,0.0065,0.0037,0.0035,0.0047,0.035,3.6973
1000,59,941.0101,441.68,446.9184,23.1172,2.3647,21.3072,2.3784,0.237,0.2215,1.9859,0.3274,0.04,0.0254,0.0313,0.2477,0.0497,0.0066,0.0037,0.0036,0.0048,0.0366,3.7254
1000,60,940.0103,440.7409,446.0783,23.4169,2.3974,21.577,2.4463,0.2433,0.2273,2.0476,0.3412,0.0419,0.0268,0.0324,0.2584,0.0527,0.0071,0.004,0.0035,0.005,0.0387,3.7506
1000,61,939.0109,439.7935,445.2528,23.7157,2.4291,21.8447,2.5129,0.2494,0.2341,2.1039,0.3559,0.0451,0.028,0.034,0.2689,0.0558,0.0075,0.0043,0.0035,0.0051,0.0407,3.7784
1000,62,938.0118,438.869,444.4106,24.0009,2.4586,22.114,2.5834,0.2563,0.2425,2.1637,0.3712,0.0467,0.0294,0.0353,0.2798,0.0584,0.0079,0.0046,0.0036,0.0056,0.0428,3.8026
1000,63,937.0118,437.9451,443.5663,24.2931,2.4889,22.3819,2.6457,0.2643,0.2492,2.2231,0.387,0.0485,0.0304,0.0373,0.2914,0.0616,0.0079,0.005,0.0038,0.0056,0.046,3.8307
1000,64,936.0123,437.0181,442.7296,24.5853,2.5125,22.6463,2.7118,0.2718,0.2583,2.2856,0.4004,0.0499,0.0318,0.0386,0.3027,0.0664,0.0086,0.0053,0.0041,0.0058,0.0477,3.8556
1000,65,935.0125,436.1168,441.8744,24.8488,2.5455,22.9196,2.7828,0.28,0.2631,2.3453,0.417,0.0518,0.0331,0.0407,0.3136,0.0699,0.0093,0.0058,0.0045,0.0058,0.0506,3.8844
