x,A,B,all
0.05,0.021543022612168103,0.27164683616213287,0.03500869322149273
0.1,0.04423640759044856,0.15104508984640727,0.03866908342866679
0.15000000000000002,0.07504534384485499,0.7807257713646428,0.0622598228586209
0.2,0.06720480159526891,1.855935078731592,0.0521847218818376
0.25,0.09980007220753669,3.3992852772922095,0.08548688089304085
0.3,0.10225141388573891,8.841478294968459,0.08230910907914642
0.35,0.12821369608696312,20.101040011541542,0.10176058062014547
0.39999999999999997,0.07193318160731228,35.35203292862019,0.04254218084862162
0.44999999999999996,0.039070966328284565,55.21207860905113,0.0051026849040081545
0.49999999999999994,0.06830440110769376,68.98360661379199,0.036816493204274936
0.5499999999999999,0.058642137314274756,81.81416936197604,0.025951829012209934
0.6,0.15207237920678007,89.18907095294001,0.12123339050306542
0.65,0.1781900076499373,94.21420681398371,0.14692378677417228
0.7000000000000001,0.13878273978093256,96.67954494418105,0.11010295170749036
0.7500000000000001,0.12832391280828714,98.15191615102368,0.10147074806583387
0.8000000000000002,0.1710551641171211,99.03702844607882,0.14433483022997762
0.8500000000000002,0.16815941416070082,99.40435045549303,0.14589893059311448
0.9000000000000002,0.15501321758265788,99.65236956349081,0.13538612994428992
0.9500000000000003,0.18758910287294506,99.8592862849215,0.162627830966287
1.0000000000000002,0.19502470408972736,99.92371296155012,0.17136700352379475
1.0500000000000003,0.2048759592811329,99.95786480187884,0.18287258210685647
1.1000000000000003,0.17676703795477156,99.98009199441154,0.15286574518150509
1.1500000000000004,0.21527026876961808,99.98991821416523,0.19101774415512165
1.2000000000000004,0.16894824194834313,99.99431850410299,0.14687180680447856
1.2500000000000004,0.16835330179196958,99.997178652634,0.14552837324152543
1.3000000000000005,0.14860095665793221,99.99853302908402,0.12607150260795968
1.3500000000000005,0.1298972100709658,99.99922599403968,0.10798220217440851
1.4000000000000006,0.13287672033949358,99.99953410910916,0.11418224767584188
1.4500000000000006,0.07217326732265715,99.99972733211445,0.05579311622621607
1.5000000000000007,0.09992020047645889,99.99986697262408,0.08267298941520414
1.5500000000000007,0.0765727529462149,99.99993027059122,0.05968727034911654
1.6000000000000008,0.04018170330509905,99.99997078380655,0.0195067772232503
1.6500000000000008,0.04440637308656348,99.99998426214802,0.024698787204707598
1.7000000000000008,0.05954776888298366,99.9999924410496,0.03847540264636853
1.7500000000000009,0.0628024589280435,99.99999681981271,0.037086627746207204
1.800000000000001,0.06747734188595714,99.99999837564474,0.041626029523965505
1.850000000000001,0.055297039082819924,99.99999899171131,0.033919252148406805
1.900000000000001,0.05972205975448209,99.9999994277699,0.040380364409926435
1.950000000000001,0.007589387022429698,99.99999973223284,0.013609717115157717
2.000000000000001,0.025476460261328417,99.99999984285455,0.0069236299582083995
