n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,33,967.003,466.617,469.402,14.377,1.432,13.311,0.868,0.102,0.063,0.691,0.067,0.005,0.004,0.007,0.051,0.002,0.0,0.001,0.0,0.0,0.0,3.021
1000,34,966.003,465.641,468.52,14.732,1.474,13.649,0.925,0.104,0.065,0.737,0.077,0.007,0.003,0.007,0.053,0.002,0.0,0.002,0.0,0.0,0.002,3.053
1000,35,965.003,464.745,467.555,15.058,1.513,14.032,0.975,0.106,0.065,0.775,0.086,0.009,0.005,0.006,0.061,0.003,0.0,0.002,0.0,0.001,0.003,3.085
1000,36,964.003,463.728,466.724,15.426,1.562,14.325,1.037,0.114,0.068,0.827,0.091,0.01,0.005,0.009,0.065,0.002,0.0,0.002,0.0,0.001,0.003,3.114
1000,37,963.003,462.799,465.794,15.765,1.615,14.672,1.081,0.118,0.075,0.874,0.1,0.01,0.007,0.009,0.07,0.004,0.0,0.001,0.0,0.001,0.003,3.144
1000,38,962.003,461.847,464.894,16.13,1.642,15.005,1.129,0.129,0.079,0.921,0.103,0.01,0.008,0.01,0.078,0.006,0.0,0.001,0.0,0.001,0.005,3.167
1000,39,961.003,460.895,464.017,16.463,1.677,15.314,1.192,0.138,0.087,0.975,0.11,0.011,0.008,0.01,0.087,0.007,0.0,0.001,0.0,0.001,0.005,3.193
1000,40,960.003,459.908,463.151,16.837,1.71,15.635,1.239,0.145,0.091,1.023,0.118,0.011,0.01,0.011,0.092,0.009,0.0,0.001,0.0,0.001,0.006,3.223
1000,41,959.003,458.953,462.266,17.181,1.755,15.955,1.286,0.148,0.097,1.072,0.13,0.014,0.011,0.011,0.099,0.011,0.0,0.001,0.0,0.001,0.007,3.255
1000,42,958.003,457.966,461.396,17.546,1.788,16.291,1.344,0.154,0.099,1.114,0.136,0.014,0.012,0.011,0.103,0.011,0.001,0.001,0.0,0.001,0.009,3.278
1000,43,957.005,457.039,460.501,17.87,1.828,16.608,1.402,0.16,0.104,1.164,0.143,0.015,0.012,0.011,0.113,0.013,0.001,0.002,0.0,0.001,0.011,3.304
1000,44,956.005,456.027,459.68,18.227,1.855,16.914,1.473,0.165,0.109,1.205,0.15,0.016,0.012,0.012,0.122,0.015,0.001,0.002,0.0,0.002,0.011,3.325
1000,45,955.006,455.113,458.774,18.518,1.905,17.242,1.544,0.174,0.112,1.258,0.158,0.016,0.013,0.011,0.123,0.017,0.001,0.002,0.0,0.002,0.014,3.346
1000,46,954.006,454.21,457.872,18.821,1.924,17.564,1.605,0.183,0.119,1.314,0.171,0.019,0.013,0.011,0.13,0.017,0.001,0.003,0.0,0.002,0.017,3.376
1000,47,953.006,453.273,456.963,19.149,1.964,17.912,1.667,0.186,0.121,1.356,0.18,0.019,0.015,0.011,0.137,0.018,0.001,0.003,0.001,0.002,0.018,3.397
1000,48,952.006,452.369,456.07,19.459,1.99,18.206,1.725,0.191,0.129,1.42,0.191,0.023,0.016,0.014,0.146,0.019,0.001,0.003,0.001,0.002,0.021,3.432
1000,49,951.006,451.448,455.165,19.797,2.034,18.506,1.774,0.193,0.132,1.488,0.197,0.026,0.016,0.016,0.152,0.019,0.001,0.003,0.003,0.001,0.023,3.461
1000,50,950.006,450.492,454.297,20.12,2.071,18.829,1.837,0.203,0.137,1.52,0.207,0.027,0.018,0.016,0.167,0.021,0.001,0.003,0.004,0.001,0.022,3.487
