empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_ab,best_p_bb,best_alpha,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
100.0,100.54766271913643,0.11288165224314364,0.5700000000000001,0.11,0.31999999999999995,0.6370724086153868,0.015685836094301495,0,0.53,0.48,0.45,100
299.0,303.6136229876648,0.14473994321408573,0.97,0.01,0.020000000000000025,0.4692916928324489,0.021929522596304016,0,0.53,0.48,0.45,300
497.0,496.19501305796626,0.4708480529308471,0.36000000000000004,0.0,0.6399999999999999,0.45608833988203445,0.019119443760747673,0,0.53,0.48,0.45,500
672.0,784.65320855524,0.7768187205448325,0.26,0.01,0.73,0.11139814823549551,0.010643004132603414,0,0.53,0.48,0.45,700
794.0,975.1664370551807,0.9274440501033148,0.11,0.18,0.71,0.3786967858547851,0.006446637041615616,0,0.53,0.48,0.45,900
869.0,1406.0377086370868,0.669102247483784,0.01,0.15,0.84,0.6712689724053106,0.0034235133111228428,0,0.53,0.48,0.45,1100
911.0,1462.3151842862678,1.4678289074118465,0.18000000000000002,0.31,0.51,0.4744876608097433,0.001980411981877438,0,0.53,0.48,0.45,1300
938.0,1886.3811596789476,1.3331141014533006,0.01,0.33,0.6599999999999999,0.6665570507266504,0.004531785562676366,0,0.53,0.48,0.45,1500
100.0,100.27987952727986,0.04812318425893404,0.35000000000000003,0.17,0.47999999999999987,0.7864689932540512,0.010122140822145843,1,0.53,0.48,0.45,100
300.0,309.2967556341078,0.17660274263699735,0.8300000000000001,0.02,0.14999999999999994,0.38878191970316345,0.03966104385348508,1,0.53,0.48,0.45,300
499.0,526.3127287241809,0.5121989136145901,0.27,0.01,0.72,0.14332319277801966,0.02067630590979208,1,0.53,0.48,0.45,500
670.0,701.5234344904515,0.34047080968356663,0.98,0.01,0.010000000000000018,0.45760009630044357,0.019626919732236462,1,0.53,0.48,0.45,700
789.0,963.2102155391909,0.9867741354222319,0.31,0.15,0.5399999999999999,0.4969135590408199,0.009824156987638541,1,0.53,0.48,0.45,900
869.0,1402.387403922001,0.550984474591981,0.01,0.33,0.6599999999999999,0.8223432386662827,0.004229076660612935,1,0.53,0.48,0.45,1100
920.0,1455.820005658906,1.4866861582304354,0.26,0.11,0.63,0.34880463647364557,0.0005925846063356198,1,0.53,0.48,0.45,1300
946.0,-2.6367796834847465e-14,1.5002744535051338,0.4,0.2,0.39999999999999997,5.405308375807357e+16,0.002105263157894748,1,0.53,0.48,0.45,1500
100.0,101.22382924929427,0.03391821535239798,0.67,0.03,0.29999999999999993,0.9653177573059019,0.02038070895823576,2,0.53,0.48,0.45,100
300.0,304.35942152866147,0.3340104113883525,0.48000000000000004,0.18,0.34,0.5769697806328605,0.03030978014217882,2,0.53,0.48,0.45,300
