k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.33333333333,0.6666666666700001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.5508504528975954e-22,2.8342782809973283e-23,2.5508504528975954e-22,2.8342782809973283e-23,0.33233483183112433,0.6656674162951406,0.9980022481262649,0.00039760718562155027,0.00039880179820135517,0.00019910202196590955,0.000995511005788815,9.513987636313969e-07,4.778448527158154e-07,2.9820538921557965e-07,5.061893079623492e-07,2.233638313525141e-06,3.035356301972194e-09,7.634057963858111e-10,5.836064962303137e-10,9.632912481752264e-10,1.8554154985995394e-09,7.201075341363085e-09,1.134848954456604e-11,1.4292403989181743e-12,1.3004431850127724e-12,2.1659378364156497e-12,4.207999810816536e-12,7.977399878997376e-12,2.8429510654726548e-11,1.2726568417142484e-13,6.194994153093248e-16,3.19956185992672e-18,1.7266668053259683e-20,9.638746320255832e-23
2,1.2693388324834477e-19,1.410376480537164e-20,1.2693388324834477e-19,1.410376480537164e-20,0.3313393213479785,0.6646696636722487,0.9960089850202272,0.0007904573702894495,0.0007952143712431721,0.00039641615150913545,0.0019820878930417573,3.7714983642929114e-06,1.9027975272345083e-06,1.1856860554319094e-06,2.0096283568083593e-06,8.869610303767688e-06,2.399319760348449e-08,6.070712603763358e-09,4.633966563866254e-09,7.637284187681099e-09,1.4688284468815607e-08,5.7023445427610806e-08,1.7887252074897364e-10,2.269697908811581e-11,2.062066730636277e-11,3.429303151456751e-11,6.652488929273378e-11,1.2592685857555406e-10,4.4893494652630754e-10,4.007674211141992e-12,3.890456584608385e-14,4.007175724292107e-16,4.312724371356015e-18,4.801356636113533e-20
3,4.742654692047621e-18,5.269616324497357e-19,4.742654692047621e-18,5.269616324497357e-19,0.33034679292096136,0.6636734065563804,0.9940201994773418,0.0011785932388297489,0.001189248454527514,0.0005919544297905994,0.0029597961231478623,8.4098411268521e-06,4.262071894471583e-06,2.651834787361987e-06,4.4878781787576245e-06,1.9811625987443295e-05,8.00111245042356e-08,2.0366091166779898e-08,1.552277864159234e-08,2.5544892422774096e-08,4.905516717138064e-08,1.9050005390676256e-07,8.920603702744632e-10,1.1404490430453292e-10,1.0345681431035232e-10,1.717951198452237e-10,3.3276501663904763e-10,6.289562398787736e-10,2.2430784652523932e-09,2.9948970772675224e-11,4.348404990908072e-13,6.6991136334199055e-15,1.0784184232621612e-16,1.795813285434898e-18
4,6.138930857880892e-17,6.8210342865343256e-18,6.138930857880892e-17,6.8210342865343256e-18,0.3293572376173104,0.6626786427059568,0.9920358803232672,0.00156205713561228,0.0015809147405791838,0.0007857288258865695,0.003928700702078033,1.4816874908043608e-05,7.542996728474713e-06,4.68617140682831e-06,7.918835553826364e-06,3.4964878597172994e-05,1.8739372761339202e-07,4.798639520554665e-08,3.6519806318287655e-08,6.000834337748736e-08,1.1506437367082337e-07,4.4697264618553706e-07,2.777376621365636e-09,3.577450414820095e-10,3.240450542325491e-10,5.372861889862421e-10,1.0391567801554114e-09,1.961157174469333e-09,6.996766860691181e-09,1.241969325382986e-10,2.3974327270652803e-12,4.91055848508074e-14,1.0510056410756177e-15,2.3269557690666756e-17
5,4.445344943089326e-16,4.939272158988141e-17,4.445344943089326e-16,4.939272158988141e-17,0.3283706465310212,0.661685369882759,0.9900560164137802,0.0019408910670964342,0.001970223879206273,0.0009777512371932262,0.004888866183495934,2.2943939564213514e-05,1.173301484626269e-05,7.2783415015987065e-06,1.2280728826049226e-05,5.423602473812414e-05,3.616375809033673e-07,9.316277121973912e-08,7.079478970207317e-08,1.1615369404366345e-07,2.2238773150154263e-07,8.641365673703857e-07,6.6797531017609666e-09,8.668749759358989e-10,7.840374347805303e-10,1.2980327112107531e-09,2.5067417473148656e-09,4.723777982351423e-09,1.6859217953354437e-08,3.7299096594848833e-10,8.974137201781957e-12,2.2911082897187683e-13,6.1121688955953654e-15,1.6867821912438763e-16
6,2.2292526317831396e-15,2.476947368647933e-16,2.2292526317831396e-15,2.476947368647933e-16,0.32738701078276744,0.6606935858519224,0.9880805966346898,0.0023151367043586623,0.0023571864776601344,0.0011680334898290458,0.005840356671847843,3.274325360101191e-05,1.6819682253458717e-05,1.0418115169595948e-05,1.7552113766610215e-05,7.75331647906768e-05,6.174556369892219e-07,1.6002224900375694e-07,1.2141932817195895e-07,1.989152656258693e-07,3.8027210685105966e-07,1.4780845866418668e-06,1.3644919482001691e-08,1.7841207404698442e-09,1.611213651540437e-09,2.6634866798862304e-09,5.13597669298456e-09,9.663879059712338e-09,3.45035963065951e-08,9.133642769829573e-10,2.629472047925739e-11,8.032694211320118e-13,2.564235198026875e-14,8.467855415124898e-16
7,8.675669555511707e-15,9.639632839457452e-16,8.675669555511707e-15,9.639632839457452e-16,0.3264063215198206,0.6597032883819327,0.9861096099017532,0.0026848353856018295,0.002741813100794775,0.0013565873390350214,0.006783235825431626,4.41679010027507e-05,2.2790667295681602e-05,1.409538577438585e-05,2.371186948339195e-05,0.00010476582355621009,9.688010368409713e-07,2.5258931307505343e-07,1.9136873488671455e-07,3.130399983565722e-07,5.975506837730597e-07,2.3233497669323713e-06,2.4902544139686213e-08,3.2806068837428228e-09,2.9582279844163038e-09,4.8828973634000275e-09,9.401532874307289e-09,1.766345552993229e-08,6.308926477548496e-08,1.9427617948594027e-09,6.506386528244755e-11,2.3122666873229558e-12,8.587110887001815e-14,3.2989840150741177e-15
8,2.8044850680578523e-14,3.1160945200642804e-15,2.8044850680578523e-14,3.1160945200642804e-15,0.3254285699159707,0.6587144752446202,0.9841430451605909,0.003050028118646551,0.0031241142712256846,0.0015434244695727187,0.007717566859444955,5.7171818239171045e-05,2.9633749815658706e-05,1.830016871184929e-05,3.073919437645723e-05,0.0001358449311431363,1.4288903461970958e-06,3.747874552158102e-07,2.8352386342110224e-07,4.6309172773668003e-07,8.826540058673309e-07,3.432947398438019e-06,4.1850156774506166e-08,5.554753242486304e-09,5.001390659466251e-09,8.242999842204594e-09,1.5847286995783938e-08,2.9729012367804137e-08,1.062255998822514e-07,3.72754577908561e-09,1.4226048962157962e-10,5.761465738935229e-12,2.4383716783698787e-13,1.0675687930822411e-14
9,7.867711769383384e-14,8.741901965981539e-15,7.867711769383384e-14,8.741901965981539e-15,0.32445374717144676,0.6577271442151549,0.9821808913866017,0.003410755583404632,0.0035041004694880856,0.0017285564961201927,0.008643412549012911,7.170978144739174e-05,3.733682031602461e-05,2.3022600187944528e-05,3.8613602138981896e-05,0.00017068280409034277,2.0102262307128353e-06,5.304407083262135e-07,4.006729068951845e-07,6.534553834385323e-07,1.2436207847894108e-06,4.838416014162177e-06,6.603782511455342e-08,8.83115794781544e-09,7.939482908635821e-09,1.3065778433812594e-08,2.5081498451237574e-08,4.6981577605453345e-08,1.6793732046150818e-07,6.610455911769025e-09,2.830051841507115e-10,1.285743544344943e-11,6.104354021047783e-13,2.9981902072796514e-14
