k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.33333333333,0.6666666666700001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.9698168605283303e-21,3.299796511698145e-22,2.9698168605283303e-21,3.299796511698145e-22,0.33205009545115194,0.6659527634721462,0.9980028589232981,0.0005670373674325906,0.00028510269632042197,0.0001421547934486447,0.0009942948572016573,1.9366437803791173e-06,2.441120509069694e-07,1.5214560675724665e-07,5.006837957837973e-07,2.83358523382713e-06,8.819146314966597e-09,2.786864483902033e-10,2.1277575326415228e-10,6.625332323035261e-10,2.592021411289651e-09,1.256516316021413e-08,4.7063545323701405e-11,3.7284109240792044e-13,3.3880631209765584e-13,1.0381549104553606e-12,4.044011452756976e-12,1.5821388189677833e-11,6.867874728109714e-11,4.2186347080702377e-13,2.7939456417314033e-15,1.951885567916087e-17,1.4195470849971695e-19,1.0654214624872436e-21
2,1.4670945077740575e-18,1.6301050086378417e-19,1.4670945077740575e-18,1.6301050086378417e-19,0.330771797670665,0.665239624760956,0.996011422431621,0.00112535981624397,0.0005689848321527579,0.0002829117941805137,0.0019772564425772415,7.657452811485432e-06,9.73314658868177e-07,6.049418650743391e-07,1.9852167924986652e-06,1.1220926127926614e-05,6.947299013611854e-08,2.2199570688809713e-09,1.6902114571369635e-09,5.248277032273414e-09,2.047565713073319e-08,9.910709282514309e-08,7.386334019034177e-10,5.933585119222323e-12,5.376938603830169e-12,1.642993808744519e-11,6.382286870112384e-11,2.4899963479102786e-10,1.079196367206067e-09,1.3207983208159889e-11,1.7429588227652202e-13,2.4262500434945374e-15,3.515979912297097e-17,5.258175926975387e-19
3,5.441741211274401e-17,6.0463791236382235e-18,5.441741211274401e-17,6.0463791236382235e-18,0.32949842097057525,0.6645272497177754,0.9940256706883507,0.001675067802520813,0.000851650326526688,0.00042228131045411705,0.0029489994395016177,1.7031050617948018e-05,2.182930132604953e-06,1.352976932457378e-06,4.427666188427606e-06,2.4994623871437954e-05,2.3088154777145978e-07,7.460313723307352e-09,5.664267251018864e-09,1.7539193756186805e-08,6.823715359968672e-08,3.2978247610165953e-07,3.6679068685760867e-09,2.9878282931327306e-11,2.699999699633754e-11,8.227250956966535e-11,3.187023886691075e-10,1.2399320543186665e-09,5.365692101061191e-09,9.813172719852435e-11,1.935200547760915e-12,4.025759555136071e-14,8.718373468515495e-16,1.9485103976739058e-17
4,6.992701274656993e-16,7.769668082952215e-17,6.992701274656993e-16,7.769668082952215e-17,0.32822994640613234,0.6638156375248271,0.9920455839309594,0.0022162607530624018,0.0011331030872866533,0.000560273582954637,0.003909637423303692,2.992908952607962e-05,3.868310819570067e-06,2.3909037792234393e-06,7.802553532556545e-06,4.399085765742967e-05,5.388959150360815e-07,1.760808145901413e-08,1.3331802258115928e-08,4.116659367723998e-08,1.5971525139057706e-07,7.707176438210286e-07,1.1370971398606788e-08,9.392560568849202e-11,8.464128817235436e-11,2.571955635436431e-10,9.935374144596503e-10,3.854667967741697e-09,1.6654939238212627e-08,4.0459620609779107e-10,1.0598680487386591e-11,2.9288335422636037e-13,8.42571521259703e-15,2.5014983660554855e-16
5,5.0268225494287356e-15,5.585358388254151e-16,5.0268225494287356e-15,5.585358388254151e-16,0.3269663551055178,0.663104787365209,0.9900711424707267,0.002749037075267712,0.0014133470111217844,0.0006968987852092036,0.0048592828715987,4.622619253138514e-05,6.02483894524115e-06,3.7134395419882444e-06,1.2084848095836777e-05,6.80493191144513e-05,1.036416663940696e-06,3.4243710407947584e-08,2.5855195147398127e-08,7.96148477884373e-08,3.0802481493991474e-07,1.4841552322243938e-06,2.7230896525259273e-08,2.280853959517988e-10,2.0496793156997156e-10,6.210939613379879e-10,2.3925897604911042e-09,9.256806125181352e-09,3.9934439699791486e-08,1.2080713967352167e-09,3.941008704221312e-11,1.3562592985783456e-12,4.8590425967910656e-14,1.796560304634663e-15
6,2.5025526938173556e-14,2.7806141042415064e-15,2.5025526938173556e-14,2.7806141042415064e-15,0.32570762826956434,0.6623946984228941,0.9881023266924585,0.0032734941669313247,0.001692385983595752,0.0008321670239997216,0.005798047174526798,6.579989616985425e-05,8.647926453187831e-06,5.315364882956777e-06,1.724996032946058e-05,9.701314783545944e-05,1.7635085997510015e-06,5.8920075100794983e-08,4.436295593438505e-08,1.3622502758785088e-07,5.255798666381804e-07,2.528596525012213e-06,5.538743390514388e-08,4.704309487342323e-10,4.215746661179751e-10,1.273902156232547e-09,4.893698233170041e-09,1.8880795709335155e-08,8.132783561873383e-08,2.9411801270149582e-09,1.1470768357316257e-10,4.719452889462663e-12,2.0214682399784563e-13,8.935669048119907e-15
7,9.668582318992939e-14,1.0742869243325487e-14,9.668582318992939e-14,1.0742869243325487e-14,0.32445374717147596,0.6616853698827292,0.9861391170542051,0.0037897284259489836,0.0019702238791765424,0.0009660883397732581,0.0067260406448987845,8.853059437686398e-05,1.1733014845909117e-05,7.191523354968231e-06,2.3273735409084038e-05,0.00013072886798682536,2.7575119761633737e-06,9.316277121553004e-08,6.995032912891156e-08,2.1419847310149167e-07,8.241160383974287e-07,3.958939588006736e-06,1.0065207302335146e-07,8.668749758836913e-10,7.746852111932844e-10,2.3344093442700572e-09,8.942692659232214e-09,3.4406586867627546e-08,1.4797732208155824e-07,6.2198574585589045e-09,2.819505973372431e-10,1.3483469339849868e-11,6.712895982715892e-13,3.4490926090487247e-14
8,3.102764284872417e-13,3.4475158720804634e-14,3.102764284872417e-13,3.4475158720804634e-14,0.32320469315654954,0.660976800930434,0.9841814940869835,0.0042978352599336005,0.002246864561266157,0.0010986727070500123,0.00764337252824977,0.00011430148331776606,1.5275575026437546e-05,9.336820772247053e-06,3.0132446863943637e-05,0.00016904632598039427,4.053150263944239e-06,1.384704097795899e-07,1.0367988833680585e-07,3.166002903793143e-07,1.2147124535533719e-06,5.826613305993322e-06,1.6842820980626183e-07,1.47094920767172e-09,1.3108610378601345e-09,3.939114298504014e-09,1.5048044074587777e-08,5.773557849916404e-08,2.479327569240495e-07,1.1864982661977254e-08,6.123879182892769e-10,3.3344946451074044e-11,1.8902385327201996e-12,1.1058384176306897e-13
9,8.641317205857394e-13,9.601463562063771e-14,8.641317205857394e-13,9.601463562063771e-14,0.32196044764189724,0.6602689907526003,0.9822294383944975,0.004797909095742527,0.0025223118822302304,0.0012299300348288743,0.008550151012801632,0.00014299850717447728,1.9271107140706662e-05,1.1746224586812263e-05,3.780279028982546e-05,0.00021181862919182165,5.682634566037462e-06,1.963149088447776e-07,1.465821224212046e-07,4.463627796804457e-07,1.7078130516995954e-06,8.179707428683486e-06,2.6463619475490533e-07,2.3435875859554793e-09,2.0827174087949594e-09,6.241118866906717e-09,2.3775743441784838e-08,9.09678127480903e-08,3.9004717480643767e-07,2.0919858912141424e-08,1.210168411368075e-09,7.385581728362236e-11,4.6925656759054275e-12,3.076991543861954e-13
10,2.152067179857236e-12,2.391185755396929e-13,2.152067179857236e-12,2.391185755396929e-13,0.32072099211616995,0.6595619385366905,0.9802829306528604,0.0052900433889168695,0.0027965696834275824,0.0013598701669905908,0.009446483239335043,0.00017451030487263303,2.3715140420678424e-05,1.441476327049763e-05,4.626187714485821e-05,0.0002589020857086673,7.675764769854993e-06,2.6814178265385345e-07,1.996560133280371e-07,6.062887955445934e-07,2.3132473687973752e-06,1.106309873017885e-05,3.956430362545525e-07,3.552913003769962e-09,3.148646547610991e-09,9.409059136504365e-09,3.5744401474181046e-08,1.3638036732936777e-07,5.838784237459866e-07,3.466389298028297e-08,2.2197137880570984e-09,1.4996035568085867e-10,1.054742172449231e-11,7.6561121516288e-13
11,4.89607940378101e-12,5.440088226423345e-13,4.89607940378101e-12,5.440088226423345e-13,0.31948630813928197,0.658855643471038,0.97834195161032,0.005774330633033647,0.0030696417952396807,0.00148850288269855,0.010332475310971877,0.0002087281577341006,2.8603233028227052e-05,1.733752570253551e-05,5.548722862711238e-05,0.0003101561450919755,1.0060027525229683e-05,3.553704283176478e-07,2.6386960567902406e-07,7.990550399277126e-07,3.0402507846551034e-06,1.4518573383809171e-05,5.681965434451693e-07,5.17402754669217e-09,4.572547800572667e-09,1.3626073288209167e-08,5.162056234970574e-08,1.9640689843766766e-07,8.395966528680166e-07,5.4622805511507956e-08,3.833200039385147e-09,2.8380293292306093e-10,2.1875918048557084e-11,1.7402421109149992e-12
12,1.0337224834318451e-11,1.1485805371464946e-12,1.0337224834318451e-11,1.1485805371464946e-12,0.3182563773421367,0.6581501047448444,0.9764064820869811,0.0062508623689715844,0.0033415320371000434,0.0016158378967971992,0.011208232302868828,0.0002455459380398835,3.393097189977598e-05,2.050966056265782e-05,6.545676963300169e-05,0.000365443340135319,1.2860691134324434e-05,4.593944100214006e-07,3.401605682343747e-07,1.0272152895614534e-06,3.897484249626725e-06,1.858494565176839e-05,7.893637014625771e-07,7.2888061917991e-09,6.423564655932829e-09,1.908880518829078e-08,7.211422429682558e-08,2.7361828856643123e-07,1.1678973903618566e-06,8.257568189800672e-08,6.298011094368721e-09,5.067931521960543e-10,4.245763003472665e-11,3.670934233257478e-12
13,2.049846687100899e-11,2.27760743011211e-12,2.049846687100899e-11,2.27760743011211e-12,0.3170311814263532,0.6574453215481799,0.9744765029745331,0.006719729194091285,0.00361224421752355,0.0017418848602081096,0.012073858271822946,0.0002848600584886772,3.9693972591684484e-05,2.3926375729667666e-05,7.61488227954919e-05,0.0004246292296055212,1.6100897437657518e-05,5.815817407789009e-07,4.294367473261992e-07,1.293203558677572e-06,4.8930535021384305e-06,2.3298172986578623e-05,1.0664730799913283e-06,9.985693920516734e-09,8.775828488335387e-09,2.6006442783477256e-08,9.797456023010691e-08,3.707043550934539e-07,1.5799199605072185e-06,1.2055915423962394e-07,9.924047156041202e-09,8.619096336655419e-10,7.793563166122615e-11,7.272908343263635e-12
