k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.3445578584683105e-24,5.938397620520345e-25,5.3445578584683105e-24,5.938397620520345e-25,0.49900099933366654,0.49900099933366654,0.9980019986673331,0.0003316706604515492,0.0003316706604515492,0.0003326666684408932,0.0009960079893439916,4.409026320639074e-07,4.409026320639074e-07,5.531153319900281e-07,5.531153319900281e-07,1.9880359281078707e-06,7.81478553439022e-10,7.81478553439022e-10,1.2012625670153172e-09,1.3253546382223136e-09,1.2012625670153172e-09,5.290836879130993e-09,1.6232025856032343e-12,1.6232025856032343e-12,2.9701415878874305e-12,3.657071107752408e-12,3.657071107752407e-12,2.9701415878874305e-12,1.6500830562486144e-11,5.691293066084723e-14,2.104551292244563e-16,8.189938799637235e-19,3.3140358171271635e-21,1.3829963644539775e-23
2,2.6822290034082974e-21,2.9802544482314416e-22,2.6822290034082974e-21,2.9802544482314416e-22,0.49800399467199574,0.49800399467199574,0.9960079893439915,0.0006606932552814824,0.0006606932552814824,0.0006626773191111566,0.0019840638296741214,1.7530605466807462e-06,1.7530605466807462e-06,2.1992263047669767e-06,2.1992263047669767e-06,7.904573702895446e-06,6.202013326177674e-09,6.202013326177674e-09,9.533526436626304e-09,1.0518352796750893e-08,9.533526436626304e-09,4.198943232235885e-08,2.5712823200283227e-11,2.5712823200283227e-11,4.704941096479105e-11,5.7930922275826506e-11,5.793092227582649e-11,4.704941096479105e-11,2.613863128818016e-10,1.7994898202257796e-12,1.3281874310768614e-14,1.0316726428548853e-16,8.332587108920318e-19,6.940729352324375e-21
3,1.0107210161218661e-19,1.1230233512465179e-20,1.0107210161218661e-19,1.1230233512465179e-20,0.49700898202696764,0.49700898202696764,0.9940179640539353,0.0009870836411490687,0.0009870836411490687,0.0009900478562876545,0.002964215138585792,3.920790769818467e-06,3.920790769818467e-06,4.918658521406242e-06,4.918658521406242e-06,1.7678898582449418e-05,2.0765008650868895e-08,2.0765008650868895e-08,3.191927339050694e-08,3.5216578122387316e-08,3.191927339050694e-08,1.4058514220513896e-07,1.2887594269422722e-10,1.2887594269422722e-10,2.358176363624187e-10,2.903571560885973e-10,2.9035715608859736e-10,2.358176363624187e-10,1.3101014702904864e-09,1.3501877259824584e-11,1.4918556303641399e-13,1.7347305070158244e-15,2.09745491425844e-17,2.615414647553973e-19
4,1.3194533375297295e-18,1.4660592639219215e-19,1.3194533375297295e-18,1.4660592639219215e-19,0.49601595741853033,0.49601595741853033,0.9920319148370607,0.0013108575903136399,0.0013108575903136399,0.0013147940995938611,0.003936509280221141,6.928598148438069e-06,6.928598148438069e-06,8.691973207688483e-06,8.691973207688483e-06,3.12411427122531e-05,4.882856602910719e-08,4.882856602910719e-08,7.505763058202605e-08,8.281118679409974e-08,7.505763058202605e-08,3.305835800163662e-07,4.032588030062205e-10,4.032588030062205e-10,7.378843233208399e-10,9.085410105312305e-10,9.085410105312303e-10,7.378843233208399e-10,4.099368273716581e-09,5.6218118282920255e-11,8.265689644228947e-13,1.2789526337996767e-14,2.0577150142009815e-16,3.414312684404636e-18
5,9.63603266281493e-18,1.0706702958683255e-18,9.63603266281493e-18,1.0706702958683255e-18,0.49502491687458405,0.49502491687458405,0.9900498337491681,0.0016320307910557476,0.0016320307910557476,0.0016369317844222814,0.004900993366533777,1.0761173476966052e-05,1.0761173476966052e-05,1.3499964861746653e-05,1.3499964861746653e-05,4.852227667742541e-05,9.460839034492784e-08,9.460839034492784e-08,1.4542883786996093e-07,1.60451836338438e-07,1.4542883786996093e-07,6.405262927682156e-07,9.747224386577078e-10,9.747224386577078e-10,1.7835504190183464e-09,2.1960470615984995e-09,2.1960470615984995e-09,1.7835504190183464e-09,9.908639838549107e-09,1.6951761604516478e-10,3.109274391103031e-12,6.001721515555016e-14,1.2046143428366242e-15,2.4934893574624116e-17
6,4.873529376418853e-17,5.415032640465392e-18,4.873529376418853e-17,5.415032640465392e-18,0.49403585643096526,0.49403585643096526,0.9880717128619305,0.001950618848096303,0.001950618848096303,0.00195647656235485,0.005857714258547456,1.540339164058321e-05,1.540339164058321e-05,1.9323658924809228e-05,1.9323658924809228e-05,6.945410113078487e-05,1.6218064967074134e-07,1.6218064967074134e-07,2.4929864381606255e-07,2.750515357396781e-07,2.4929864381606255e-07,1.098010122713286e-06,2.001073327511461e-09,2.001073327511461e-09,3.6615707510380083e-09,4.508412884160421e-09,4.508412884160421e-09,3.6615707510380083e-09,2.034211392541978e-08,4.167825549596893e-10,9.155169797971765e-12,2.116390729869917e-13,5.087222086933561e-15,1.2611096349097364e-16
7,1.9128407064488238e-16,2.1253785627209152e-17,1.9128407064488238e-16,2.1253785627209152e-17,0.49304877213143095,0.49304877213143095,0.9860975442628619,0.0022666372830137064,0.0022666372830137064,0.0022734440015813153,0.006806718567608728,2.084030977518884e-05,2.084030977518884e-05,2.614430947286291e-05,2.614430947286291e-05,9.396923849610352e-05,2.554847893136005e-07,2.554847893136005e-07,3.9272263134239766e-07,4.332914179435024e-07,3.9272263134239766e-07,1.7297062592554989e-06,3.6703477768900464e-09,3.6703477768900464e-09,6.716014791277562e-09,8.269283778450582e-09,8.269283778450582e-09,6.716014791277561e-09,3.7311292693236384e-08,8.900859525805882e-10,2.2764966652752534e-11,6.127377906294069e-13,1.7148957099664494e-14,4.949804666454594e-16
8,6.236205794140654e-16,6.929117549045171e-17,6.236205794140654e-16,6.929117549045171e-17,0.49206366002764257,0.49206366002764257,0.9841273200552851,0.0025801015346589825,0.0025801015346589825,0.0025878495873156164,0.007748052656633581,2.7057165443900786e-05,2.7057165443900786e-05,3.394339692905953e-05,3.394339692905953e-05,0.00012200112474592062,3.783263007414322e-07,3.783263007414322e-07,5.815504740316888e-07,6.416254358390042e-07,5.815504740316888e-07,2.561378985385246e-06,6.19914878677734e-09,6.19914878677734e-09,1.134322344260354e-08,1.3966665727282974e-08,1.396666572728297e-08,1.134322344260354e-08,6.301807591332771e-08,1.7146684154038684e-09,5.0019411479951577e-11,1.5355698747738764e-12,4.9018045324508334e-14,1.6137256195323673e-15
9,1.7644414467729577e-15,1.9604904964143974e-16,1.7644414467729577e-15,1.9604904964143974e-16,0.4910805161791504,0.4910805161791504,0.9821610323583008,0.00289102695956892,0.00289102695956892,0.002899708722210268,0.00868176264134811,3.403937482995245e-05,3.403937482995245e-05,4.270262579669322e-05,4.270262579669322e-05,0.00015348400125329132,5.343794460206949e-07,5.343794460206949e-07,8.214301240413147e-07,9.062849827899488e-07,8.214301240413147e-07,3.617904122913968e-06,9.831034156994398e-09,9.831034156994398e-09,1.7988859591903247e-08,2.214929380580676e-08,2.214929380580676e-08,1.7988859591903247e-08,9.993837510940883e-08,3.053031087837355e-09,9.999391894848093e-11,3.4465813118794885e-12,1.2352613924707267e-13,4.565796031775499e-15
