k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.399087107551171e-23,1.5545412306124124e-24,1.399087107551171e-23,1.5545412306124124e-24,0.498951101728655,0.49905090192868806,0.998002003657343,0.0004979044038324773,0.0004482932448885067,4.9800399467199564e-05,0.0009959980481881836,9.937198033910546e-07,8.053961334845311e-07,9.195585680090512e-08,1.01876653140814e-07,1.992948446817305e-06,2.644360483794929e-09,1.9292816007615995e-09,2.501247318093764e-10,1.9791036700999353e-10,3.075510465649812e-10,5.329228229940879e-09,8.246291104732496e-12,5.41580469150656e-12,8.026287028620118e-13,5.563316303039974e-13,6.183727882806227e-13,1.095823440520631e-12,1.673525235820632e-11,5.823414042993234e-14,2.176515110580072e-16,8.575502088075569e-19,3.518876119660528e-21,1.4913514179695136e-23
2,7.015867692680075e-21,7.795408547422306e-22,7.015867692680075e-21,7.795408547422306e-22,0.49790440383247725,0.4981036054316741,0.9960080092641513,0.0009916351814230984,0.0008931859262785183,9.920319148370604e-05,0.001984024299185323,3.9499161906062254e-06,3.203273737441148e-06,3.6565965837788415e-07,4.0502838849458465e-07,7.923877974919843e-06,2.0977927104768454e-08,1.5317397098918683e-08,1.985450783610049e-09,1.5706672028082346e-09,2.4403155171590064e-09,4.229175770726443e-08,1.305625286092613e-10,8.58335706090007e-11,1.2718093477079667e-11,8.81361792719612e-12,9.794538516889826e-12,1.7353510207645925e-11,2.650758593470735e-10,1.8410227553290357e-12,1.3733590387568719e-14,1.0799918212633461e-16,8.84506881939135e-19,7.481894846414838e-21
3,2.64161423760697e-19,2.935126930674411e-20,2.64161423760697e-19,2.935126930674411e-20,0.49685990169552735,0.4971581070892166,0.9940180087847439,0.0014812185714773347,0.001334697390600478,0.00014821075692928953,0.002964126719007102,8.831497365765815e-06,7.1664007850767855e-06,8.178943909540038e-07,9.057717800527099e-07,1.7721564321849316e-05,7.020827060765939e-08,5.130481318490089e-08,6.648832715118273e-09,5.258762975610976e-09,8.168805279673778e-09,1.415894847629633e-07,6.540688956062743e-10,4.304239392527643e-10,6.376382958852347e-11,4.417939259633788e-11,4.908656482645286e-11,8.695191248675106e-11,1.328474534357104e-09,1.3811698335584633e-11,1.542319093206606e-13,1.8155592252001644e-15,2.2258136624700046e-17,2.818349601229747e-19
4,3.445757427029901e-18,3.828619363366557e-19,3.445757427029901e-18,3.828619363366557e-19,0.4958175907115492,0.49621440348806567,0.9920319941996149,0.0019666806660720423,0.0017728468864489217,0.00019682546401105698,0.0039363530165320215,1.56018379128132e-05,1.2667855107382937e-05,1.445480927189524e-06,1.600468248648978e-06,3.131564219603464e-05,1.6502753460486712e-07,1.2069066557919878e-07,1.563774471724069e-08,1.2365892039987191e-08,1.9204965836991224e-08,3.32926802778285e-07,2.0455888652213006e-09,1.3474900491065946e-09,1.9957984564179329e-10,1.3825319346213722e-10,1.5357877973079063e-10,2.7199495698092226e-10,4.156485690143539e-09,5.75006194801601e-11,8.543767197901325e-13,1.3382366452819097e-14,2.1830136640607812e-16,3.6779490668410984e-18
5,2.5144412499258188e-17,2.7938236110286874e-18,2.5144412499258188e-17,2.7938236110286874e-18,0.49477746628394964,0.49527249122145023,0.9900499575053998,0.002448047411423649,0.002207653565046314,0.00024504966832668875,0.0049007506447966516,2.4224773911343492e-05,1.968102145645927e-05,2.2452776545452613e-06,2.4855236071722263e-06,4.863659662952025e-05,3.1962326019082823e-07,2.3393924463656156e-07,3.030516557466416e-08,2.3959686638861058e-08,3.720337700558083e-08,6.450307340464958e-07,4.941949588832298e-09,3.258665788657898e-09,4.825519533395024e-10,3.342071280322543e-10,3.711802759657306e-10,6.572455749213035e-10,1.0045800309748989e-08,1.733622235705207e-10,3.2133083063142335e-12,6.278480521787737e-14,1.2775989842620597e-15,2.685086802956769e-17
6,1.2706893265011043e-16,1.4118770294456713e-17,1.2706893265011043e-16,1.4118770294456713e-17,0.49373952382577824,0.49433236688906596,0.9880718907148442,0.002925344608652475,0.0026391364807047783,0.00029288571292737273,0.005857366802284627,3.466459809845713e-05,2.8179588593881573e-05,3.2141801069262277e-06,3.55738760992891e-06,6.961575440919385e-05,5.476890290798144e-07,4.011863825541198e-07,5.19604498496259e-08,4.1072441152743814e-08,6.376243394282418e-08,1.105670736579128e-06,1.0140589515842639e-08,6.693280224242862e-09,9.90960641376647e-10,6.861849321244369e-10,7.619447837630545e-10,1.3488989661627372e-09,2.0621859063512376e-08,4.261796445282024e-10,9.45982160675366e-12,2.213477014859861e-13,5.393898482442192e-15,1.3575390527854967e-16
7,4.983416243083851e-16,5.5371291589820566e-17,4.983416243083851e-16,5.5371291589820566e-17,0.4927037587597071,0.49339402709706304,0.9860977858567701,0.0033985979145432113,0.0030673145912857224,0.0003403359283804363,0.00680624843420937,4.688605507623358e-05,3.8137546403914726e-05,4.3491205995785255e-06,4.812553506120245e-06,9.418527558584708e-05,8.624349279270641e-07,6.322457434886409e-07,8.187018547443447e-08,6.470182476027598e-08,1.004255088042581e-07,1.7416781904546736e-06,1.8590465717045318e-08,1.228288451885922e-08,1.8181550130059495e-09,1.2587190943261789e-09,1.3974114084182186e-09,2.473394251940189e-09,3.7821030003595074e-08,9.100364313909625e-10,2.3518353781730572e-11,6.406996516987829e-13,1.8177559306574258e-14,5.326433526881626e-16
8,1.6233843727723217e-15,1.8037604141914685e-16,1.6233843727723217e-15,1.8037604141914685e-16,0.4916701665180106,0.49245746845803373,0.9841276349760444,0.0038678328423015725,0.003492206758657372,0.00038740263283167895,0.007747442233790623,6.085433656442382e-05,4.952918303137282e-05,5.6470678672126655e-06,6.247557597398848e-06,0.00012227814506040818,1.2765978364575286e-06,9.366150178722992e-07,1.212590379379781e-07,9.58115826720668e-08,1.4868209330825046e-07,2.5789655682481233e-06,3.138325354138026e-08,2.0755937727952586e-08,3.0717512180497545e-09,2.126165627500498e-09,2.359965739173808e-09,4.176263590298101e-09,6.3873337444355e-08,1.752874266376763e-09,5.166566181463123e-11,1.6052780292445467e-12,5.194334022991084e-14,1.735910750173473e-15
9,4.589451004115344e-15,5.099390004572604e-16,4.589451004115344e-15,5.099390004572604e-16,0.4906387425425453,0.4915226875910004,0.9821614301335457,0.004333074762307141,0.003913831749150218,0.00043408813206740525,0.008680994643524764,7.65350766979637e-05,6.232908204393015e-05,7.105026705326766e-06,7.85897879947016e-06,0.00015382816424669077,1.802451541991336e-06,1.3234820222007003e-06,1.7131058124915128e-07,1.3533222609775055e-07,2.099689224819912e-07,3.6425452940209294e-06,4.974483139067818e-08,3.2932647926854544e-08,4.872854821178081e-09,3.3721560768439614e-09,3.742220845909987e-09,6.6210178472822775e-09,1.0128572890874704e-07,3.1206549615257104e-09,1.0326679270153312e-10,3.6022202640430385e-12,1.3086063506093566e-13,4.909799291084131e-15
