k,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,A,B,1,AA,BB,AB,2,AAA,BBB,ABB,AAB,3,AAAA,BBBB,ABBB,AABB,AAAB,4,AAAAA,BBBBB,ABBBB,AABBB,AAABB,AAAAB,5,6,7,8,9,10
0,0.0,0.0,0.0,0.0,0.53,0.47000000000000003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9.132426378759754e-24,1.0147140420844172e-24,9.132426378759754e-24,1.0147140420844172e-24,0.5289710002010227,0.4690310002692,0.9980020004702228,0.00047813796064706933,0.0004481463813765815,6.972005545418685e-05,0.0009960043974778377,8.643797460535965e-07,8.563833905462762e-07,1.378259008440428e-07,1.312220381141083e-07,1.989811075558024e-06,2.0835056179923478e-09,2.1820028516895365e-09,3.9965865290767766e-10,2.786388627489794e-10,3.6077622933047627e-10,5.304582214669017e-09,5.885265489536466e-12,6.515138935225013e-12,1.365670253817402e-12,8.485074594306918e-13,8.018817896866683e-13,1.1675928435672253e-12,1.6584056771263466e-11,5.737830957490475e-14,2.1297097361989274e-16,8.323756516901547e-19,3.3846286916675643e-21,1.420079424218688e-23
2,4.5852579718443255e-21,5.094731079827028e-22,4.5852579718443255e-21,5.094731079827028e-22,0.5279439982144725,0.4680639983266518,0.9960079965411243,0.0009525662892155769,0.0008926007961818862,0.00013888246092956825,0.0019840495463270312,3.437419644578735e-06,3.4043899304065352e-06,5.479667478041025e-07,5.217740160568063e-07,7.911550338846178e-06,1.6538976792423147e-08,1.7312510957237565e-08,3.171365309475325e-09,2.2113171982396833e-09,2.863515732590797e-09,4.209768598996651e-08,9.325368673016997e-11,1.0317206300569726e-10,2.162900728060016e-11,1.3439982558905107e-11,1.2702982362656997e-11,1.8498608968104603e-11,2.626963309061341e-10,1.814120655033234e-12,1.3439809018019232e-14,1.0484445232414797e-16,8.509219603042891e-19,7.125957215202041e-21
3,1.7285929598689814e-19,1.920658844298868e-20,1.7285929598689814e-19,1.920658844298868e-20,0.5269189901615782,0.467098990053512,0.9940179802150901,0.0014233065715833822,0.0013333860560758926,0.00020749056166335938,0.0029641831893226344,7.689233580635366e-06,7.612597810729333e-06,1.2254627004710096e-06,1.1670263002801385e-06,1.7694320392115843e-05,5.538681474813652e-08,5.794935399126705e-08,1.0616640523661958e-08,7.403621168267804e-09,9.588375246233073e-09,1.409448056775664e-07,4.675316490889828e-10,5.16946502614663e-10,1.0838579743846267e-10,6.735763018740156e-11,6.367164829445298e-11,9.273245842280927e-11,1.3166256860467724e-09,1.3611028635846216e-11,1.5095010389139628e-13,1.7627895168235554e-15,2.1416999569481265e-17,2.684882365333584e-19
4,2.2576104317682488e-18,2.508456035298054e-19,2.2576104317682488e-18,2.508456035298054e-19,0.5258959721710997,0.4661359713394294,0.9920319435105291,0.0018903802819790292,0.0017705248474323046,0.00027554768505504357,0.003936452814466377,1.3590283248385357e-05,1.3449973518960749e-05,2.1654140200547773e-06,2.062404246835344e-06,3.126807503423623e-05,1.3027064838543955e-07,1.362321369832584e-07,2.4961483146386837e-08,1.7409238139924275e-08,2.254929162130213e-08,3.3142279827631117e-07,1.463342312809261e-09,1.6170334300108546e-09,3.3907680153206215e-10,2.107486510193632e-10,1.992399392574004e-10,2.902113443567807e-10,4.119652478985721e-09,5.666999298637075e-11,8.362933781052796e-13,1.2995346932238093e-14,2.1009099263784582e-16,3.504569831635796e-18
5,1.649478860410254e-17,1.832754289344727e-18,1.649478860410254e-17,1.832754289344727e-18,0.5248749403793129,0.4651749380825271,0.99004987846184,0.0023538087835231376,0.002204039731983642,0.00034305714075554374,0.004900905656262323,2.1111374779625657e-05,2.0885867842264114e-05,3.3629804627847785e-06,3.2033876573507522e-06,4.85636107420253e-05,2.5246465683232684e-07,2.6389087225871584e-07,4.8357906312313494e-08,3.373099659293501e-08,4.36952887446112e-08,6.421397207409023e-07,3.5380661721987686e-09,3.907306690921479e-09,8.194243854461097e-10,5.093636081855172e-10,4.816059171386766e-10,7.01587919045939e-10,9.957354692936491e-09,1.7087235143614713e-10,3.1456588100513918e-12,6.097815846376173e-14,1.2297774858898216e-15,2.559091222673011e-17
6,8.346138786783785e-17,9.273487540870873e-18,8.346138786783785e-17,9.273487540870873e-18,0.523855890929995,0.4642158861893848,0.9880717771193798,0.0028136133287672807,0.002633953147463146,0.00041002222075596506,0.005857588696986392,3.0223655401728794e-05,2.9890011907953773e-05,4.8133806788189216e-06,4.58551023985262e-06,6.951255822835411e-05,4.3288077837033637e-07,4.522544691518632e-07,8.28854484866655e-08,5.782188939141022e-08,7.491176386642277e-08,1.100754349266698e-06,7.265590289700821e-09,8.019013337301855e-09,1.6819172410125642e-09,1.0456249927505456e-09,9.887628935589703e-10,1.4405712773004882e-09,2.0441480031625244e-08,4.2009415797474057e-10,9.261728141270595e-12,2.1501038394206728e-13,5.1929673954783914e-15,1.2941303415887727e-16
7,3.2772859998038005e-16,3.6414288886708893e-17,3.2772859998038005e-16,3.6414288886708893e-17,0.52283881997441,0.46325881157502186,0.9860976315494319,0.0032698150602303473,0.003060287408243504,0.00047644619947591197,0.006806548667949763,4.0898610124751205e-05,4.043251326062293e-05,6.511891616615121e-06,6.204359074388655e-06,9.404737407637791e-05,6.820758072756021e-07,7.122590835387184e-07,1.305526599261157e-07,9.108608065267147e-08,1.1802175361834256e-07,1.7339953850114503e-06,1.3330241926647286e-08,1.4703697009492873e-08,3.084342052594961e-09,1.9177243012924585e-09,1.8136550093548496e-09,2.642710407177045e-09,3.749237070655947e-08,8.971173377866722e-10,2.3028505889715037e-11,6.224485254238531e-13,1.750366895932511e-14,5.078790166716009e-16
8,1.0689305745036691e-15,1.18770063833741e-16,1.0689305745036691e-15,1.18770063833741e-16,0.5218237236712946,0.4623037101628795,0.9841274338341741,0.0037224350109324104,0.003483064705972428,0.0005423323338513821,0.00774783205075622,5.310805845747185e-05,5.2483851975648334e-05,8.453847932718777e-06,8.055574083414336e-06,0.0001221013324492533,1.0102583800975537e-06,1.0544563292124186e-06,1.9329856490319824e-07,1.3487989644285177e-07,1.747871800015634e-07,2.5676803506575856e-06,2.252090237547749e-08,2.4826344832484654e-08,5.208360988172162e-09,3.238746952692966e-09,3.0633585320396664e-09,4.4642142352016974e-09,6.332192791606864e-08,1.7281350891565657e-09,5.059533729567733e-11,1.559780993898241e-12,5.002693937451679e-14,1.6555756969156785e-15
9,3.02572765807388e-15,3.361919620082089e-16,3.02572765807388e-15,3.361919620082089e-16,0.5208105981868429,0.46135057788480366,0.9821611760716467,0.00417149410492611,0.003902307110205075,0.0006076838634222363,0.008681485078553422,6.682415115212567e-05,6.601487680875701e-05,1.0634641406920288e-05,1.0134847506902399e-05,0.00015360851687470537,1.427295852878828e-06,1.4890213530960297e-06,2.7299410003915326e-07,1.905127995260232e-07,2.4691007662206353e-07,3.6267341821620976e-06,3.572529687974441e-08,3.935875240523633e-08,8.258133916576147e-09,5.135824384812679e-09,4.858288269486994e-09,7.080807420287204e-09,1.0041710327614377e-07,3.0768692973288114e-09,1.0113901970134582e-10,3.5006436728425894e-12,1.26055984581493e-13,4.6836356188782766e-15
