n_aa,n_ab,n_bb,cnt
0,4,3,4096
0,5,2,12288
0,6,1,12288
0,7,0,4096
1,3,3,12288
1,4,2,36864
1,5,1,36864
1,6,0,12288
2,2,3,12288
2,3,2,36864
2,4,1,36864
2,5,0,12288
3,1,3,4096
3,2,2,12288
3,3,1,12288
3,4,0,4096
