gamma,error
0.1,0.04601679695845471
0.2,0.15198062113901883
0.30000000000000004,0.28389770700853184
0.4,0.3208330467264452
0.5,0.6113692588834666
0.6,0.5460655472442422
0.7,0.6335438023190448
0.7999999999999999,0.28382752325527455
0.8999999999999999,0.4449057560584479
0.9999999999999999,0.21615534474947865
1.0999999999999999,0.4520302251764691
1.2,0.5424222338701284
1.3,1.2221236794077863
1.4000000000000001,1.215227326480812
1.5000000000000002,1.266196969293592
1.6000000000000003,1.0876275271509341
1.7000000000000004,0.8547743503461698
1.8000000000000005,1.7312059179890165
1.9000000000000006,1.1839941444324287
2.0000000000000004,0.5506647377807706
