n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,95,905.04,826.96,64.8,10.46,2.16,0.56,4.52
1000,96,904.04,825.26,65.3,10.58,2.22,0.58,4.54
1000,97,903.04,823.48,65.9,10.72,2.26,0.58,4.56
1000,98,902.04,821.76,66.44,10.86,2.24,0.64,4.6
1000,99,901.04,820.14,66.82,10.98,2.36,0.62,4.62
1000,100,900.04,818.5,67.22,11.16,2.36,0.68,4.68
1000,101,899.04,816.88,67.54,11.38,2.44,0.68,4.68
1000,102,898.04,815.32,67.82,11.64,2.4,0.72,4.76
1000,103,897.04,813.76,68.16,11.72,2.46,0.8,4.82
1000,104,896.04,812.1,68.6,11.88,2.52,0.78,4.88
1000,105,895.04,810.58,68.84,12.06,2.54,0.84,4.94
1000,106,894.04,808.92,69.28,12.18,2.62,0.86,4.94
1000,107,893.04,807.38,69.5,12.38,2.72,0.88,4.96
1000,108,892.04,805.78,69.74,12.72,2.72,0.9,4.96
1000,109,891.04,804.2,70.1,12.8,2.82,0.92,5.02
1000,110,890.04,802.66,70.38,12.9,2.94,0.96,5.06
1000,111,889.04,801.06,70.82,12.92,3.02,0.98,5.08
1000,112,888.04,799.4,71.26,13.1,3.02,0.98,5.14
1000,113,887.04,797.8,71.64,13.18,3.12,1.02,5.18
1000,114,886.04,796.26,71.88,13.36,3.22,1.02,5.2
1000,115,885.04,794.64,72.3,13.46,3.28,1.04,5.22
1000,116,884.04,793.24,72.3,13.66,3.48,1.04,5.22
1000,117,883.04,791.58,72.8,13.7,3.54,1.1,5.24
1000,118,882.04,790.02,73.24,13.64,3.62,1.18,5.3
1000,119,881.04,788.48,73.56,13.68,3.76,1.2,5.32
1000,120,880.04,786.94,73.74,13.96,3.84,1.18,5.34
1000,121,879.04,785.32,74.14,14.1,3.92,1.14,5.42
1000,122,878.04,783.68,74.56,14.26,3.9,1.22,5.42
1000,123,877.04,782.22,74.68,14.46,4.0,1.24,5.44
1000,124,876.04,780.6,75.12,14.52,4.06,1.28,5.46
1000,125,875.04,779.02,75.5,14.66,4.04,1.32,5.56
1000,126,874.04,777.42,75.86,14.84,4.04,1.38,5.6
1000,127,873.04,775.82,76.24,14.98,4.1,1.4,5.68
1000,128,872.04,774.36,76.54,14.84,4.34,1.44,5.7
1000,129,871.04,772.74,77.0,14.88,4.38,1.5,5.76
1000,130,870.04,771.16,77.32,15.1,4.36,1.52,5.78
1000,131,869.04,769.5,77.84,15.16,4.36,1.56,5.84
1000,132,868.04,767.88,78.26,15.28,4.42,1.56,5.9
1000,133,867.04,766.26,78.58,15.54,4.44,1.58,5.92
1000,134,866.04,764.7,78.94,15.56,4.56,1.64,5.92
1000,135,865.04,763.1,79.34,15.64,4.66,1.64,5.98
1000,136,864.04,761.58,79.54,15.86,4.7,1.7,5.98
1000,137,863.04,760.16,79.6,16.1,4.8,1.68,6.04
1000,138,862.04,758.58,79.94,16.24,4.82,1.76,6.04
1000,139,861.04,757.0,80.28,16.34,4.94,1.78,6.06
1000,140,860.04,755.44,80.56,16.52,5.02,1.76,6.08
1000,141,859.04,754.02,80.66,16.7,5.08,1.8,6.08
1000,142,858.04,752.52,80.84,16.92,5.12,1.84,6.08
1000,143,857.04,751.12,80.9,17.12,5.16,1.94,6.1
1000,144,856.04,749.58,81.18,17.24,5.24,2.0,6.1
1000,145,855.04,748.1,81.32,17.44,5.36,2.0,6.14
1000,146,854.04,746.48,81.78,17.5,5.42,2.0,6.18
1000,147,853.04,745.02,81.9,17.72,5.5,2.02,6.2
1000,148,852.04,743.74,81.86,17.8,5.66,2.08,6.28
1000,149,851.04,742.12,82.22,17.96,5.74,2.1,6.28
1000,150,850.04,740.78,82.26,18.1,5.82,2.12,6.38
1000,151,849.04,739.34,82.42,18.2,5.98,2.08,6.42
1000,152,848.04,737.88,82.56,18.4,6.02,2.14,6.42
1000,153,847.04,736.38,82.88,18.36,6.18,2.16,6.44
1000,154,846.04,734.98,82.98,18.56,6.22,2.16,6.5
1000,155,845.04,733.44,83.28,18.7,6.26,2.18,6.5
1000,156,844.04,731.88,83.64,18.78,6.34,2.18,6.54
1000,157,843.04,730.44,83.88,18.76,6.46,2.28,6.58
1000,158,842.04,729.12,83.8,19.0,6.54,2.34,6.62
1000,159,841.04,727.82,83.74,19.2,6.6,2.4,6.64
1000,160,840.04,726.36,84.04,19.2,6.64,2.42,6.68
1000,161,839.04,724.98,84.2,19.24,6.74,2.42,6.76
1000,162,838.04,723.48,84.44,19.36,6.82,2.48,6.8
1000,163,837.04,722.18,84.52,19.4,6.92,2.54,6.98
1000,164,836.04,720.78,84.64,19.5,7.04,2.58,7.04
1000,165,835.04,719.36,84.82,19.6,7.1,2.62,7.12
1000,166,834.04,717.9,85.02,19.74,7.16,2.62,7.14
1000,167,833.04,716.62,84.98,19.82,7.34,2.6,7.18
1000,168,832.04,715.1,85.32,19.88,7.38,2.6,7.22
1000,169,831.04,713.64,85.46,20.08,7.4,2.7,7.22
1000,170,830.04,712.24,85.72,20.02,7.46,2.74,7.28
1000,171,829.04,710.9,85.74,20.2,7.48,2.84,7.34
1000,172,828.04,709.36,86.08,20.26,7.58,2.84,7.36
1000,173,827.04,707.92,86.18,20.54,7.6,2.82,7.4
1000,174,826.06,706.5,86.44,20.56,7.66,2.88,7.46
1000,175,825.06,705.02,86.66,20.64,7.82,2.86,7.46
1000,176,824.06,703.64,86.82,20.52,8.1,2.92,7.46
1000,177,823.06,702.4,86.82,20.5,8.28,2.96,7.56
1000,178,822.06,701.14,86.64,20.8,8.32,3.0,7.56
1000,179,821.06,699.82,86.68,20.94,8.36,3.04,7.64
1000,180,820.06,698.34,86.96,20.98,8.44,3.1,7.7
1000,181,819.06,696.9,87.2,21.02,8.52,3.18,7.8
1000,182,818.06,695.26,87.68,21.08,8.54,3.26,7.8
1000,183,817.06,693.94,87.64,21.24,8.7,3.28,7.84
1000,184,816.06,692.76,87.54,21.34,8.72,3.38,7.94
1000,185,815.06,691.38,87.66,21.4,8.86,3.4,7.98
1000,186,814.06,690.0,87.72,21.6,8.88,3.46,8.02
1000,187,813.06,688.74,87.74,21.7,8.86,3.56,8.12
1000,188,812.06,687.34,87.98,21.66,8.98,3.6,8.18
1000,189,811.06,686.1,87.8,21.9,9.08,3.66,8.22
1000,190,810.06,684.78,87.8,22.0,9.2,3.74,8.26
1000,191,809.06,683.6,87.66,22.16,9.28,3.7,8.32
1000,192,808.12,682.4,87.7,22.12,9.44,3.74,8.32
1000,193,807.12,681.04,87.74,22.32,9.46,3.78,8.34
1000,194,806.12,679.48,88.08,22.5,9.44,3.78,8.4
1000,195,805.12,678.04,88.34,22.48,9.56,3.82,8.42
1000,196,804.12,676.78,88.26,22.68,9.66,3.8,8.52
1000,197,803.12,675.56,88.18,22.88,9.62,3.84,8.66
1000,198,802.12,674.18,88.46,22.86,9.54,3.92,8.68
1000,199,801.12,672.84,88.54,22.94,9.58,4.0,8.68
1000,200,800.12,671.6,88.5,23.06,9.64,3.98,8.7
1000,201,799.12,670.04,88.72,23.36,9.68,3.92,8.72
1000,202,798.12,668.46,89.12,23.44,9.72,3.94,8.72
1000,203,797.12,667.06,89.28,23.54,9.8,3.96,8.74
1000,204,796.12,665.52,89.6,23.62,9.88,4.0,8.74
1000,205,795.12,664.22,89.6,23.72,10.0,4.04,8.8
1000,206,794.12,662.8,89.86,23.76,9.98,4.1,8.84
1000,207,793.12,661.36,90.06,23.92,9.98,4.1,8.9
1000,208,792.12,660.06,90.1,24.1,9.94,4.16,9.02
1000,209,791.12,658.68,90.3,24.14,10.04,4.18,9.16
1000,210,790.12,657.42,90.3,24.22,10.18,4.18,9.32
1000,211,789.12,656.08,90.32,24.42,10.24,4.22,9.36
1000,212,788.12,654.76,90.48,24.44,10.22,4.34,9.44
1000,213,787.12,653.52,90.48,24.48,10.26,4.44,9.5
1000,214,786.12,652.24,90.42,24.66,10.34,4.44,9.52
1000,215,785.12,650.88,90.56,24.7,10.36,4.58,9.56
1000,216,784.12,649.7,90.42,24.82,10.44,4.62,9.6
1000,217,783.12,648.42,90.42,24.94,10.54,4.62,9.66
1000,218,782.12,647.28,90.24,25.08,10.62,4.6,9.68
1000,219,781.12,646.02,90.26,25.18,10.6,4.68,9.76
1000,220,780.12,644.78,90.26,25.26,10.58,4.78,9.78
1000,221,779.12,643.48,90.36,25.3,10.6,4.78,9.78
1000,222,778.12,642.24,90.28,25.52,10.6,4.86,9.96
1000,223,777.12,641.0,90.3,25.54,10.58,5.04,9.96
1000,224,776.12,639.72,90.38,25.62,10.56,5.08,10.06
1000,225,775.12,638.48,90.38,25.62,10.6,5.24,10.08
1000,226,774.12,637.1,90.46,25.84,10.6,5.2,10.08
1000,227,773.12,635.6,90.86,25.86,10.6,5.24,10.12
1000,228,772.12,634.26,90.96,25.96,10.66,5.24,10.14
1000,229,771.12,633.1,90.9,26.04,10.54,5.36,10.14
1000,230,770.12,631.88,90.84,26.14,10.56,5.42,10.14
1000,231,769.12,630.52,91.02,26.24,10.56,5.38,10.24
1000,232,768.12,629.36,91.02,26.2,10.6,5.42,10.34
1000,233,767.12,628.12,91.06,26.18,10.74,5.42,10.42
1000,234,766.12,626.9,91.0,26.44,10.68,5.42,10.54
1000,235,765.12,625.84,90.92,26.46,10.64,5.42,10.6
1000,236,764.12,624.58,91.04,26.5,10.62,5.46,10.78
1000,237,763.12,623.36,91.02,26.56,10.68,5.54,10.82
1000,238,762.12,622.22,91.06,26.52,10.68,5.5,10.94
1000,239,761.12,620.96,91.12,26.52,10.78,5.52,11.0
1000,240,760.12,619.64,91.3,26.5,10.78,5.58,11.0
1000,241,759.12,618.46,91.36,26.44,10.84,5.6,11.14
1000,242,758.12,617.32,91.16,26.7,10.84,5.54,11.2
1000,243,757.14,616.16,91.22,26.62,10.9,5.54,11.22
1000,244,756.14,615.08,91.0,26.78,10.92,5.58,11.38
1000,245,755.14,614.0,90.76,26.94,10.92,5.68,11.38
1000,246,754.14,612.72,90.96,26.88,10.82,5.8,11.4
1000,247,753.14,611.58,90.76,27.04,10.92,5.82,11.42
1000,248,752.14,610.34,90.74,27.1,11.02,5.86,11.44
1000,249,751.14,609.2,90.64,27.08,11.12,5.96,11.46
1000,250,750.14,607.98,90.7,27.04,11.24,5.94,11.5
1000,251,749.14,606.82,90.62,27.08,11.3,5.98,11.52
1000,252,748.14,605.76,90.42,27.18,11.22,6.1,11.64
1000,253,747.14,604.62,90.3,27.3,11.3,6.12,11.64
1000,254,746.14,603.48,90.26,27.2,11.48,6.08,11.68
1000,255,745.14,602.08,90.42,27.34,11.54,6.12,11.74
1000,256,744.14,600.68,90.7,27.36,11.58,6.1,11.82
1000,257,743.14,599.6,90.5,27.32,11.78,6.18,11.84
1000,258,742.14,598.48,90.48,27.28,11.78,6.14,11.88
1000,259,741.14,597.1,90.76,27.22,11.84,6.1,11.88
1000,260,740.14,595.7,91.0,27.28,11.86,6.16,12.0
1000,261,739.14,594.6,90.86,27.44,11.88,6.12,12.04
1000,262,738.14,593.5,90.7,27.44,12.04,6.16,12.16
1000,263,737.16,592.26,90.78,27.4,12.12,6.2,12.22
1000,264,736.16,590.96,90.8,27.56,12.16,6.18,12.24
1000,265,735.16,589.84,90.6,27.72,12.16,6.26,12.32
1000,266,734.16,588.74,90.48,27.74,12.14,6.44,12.42
1000,267,733.16,587.34,90.66,27.84,12.16,6.52,12.46
1000,268,732.16,586.28,90.56,27.86,12.18,6.52,12.5
1000,269,731.16,585.2,90.46,27.88,12.18,6.58,12.5
1000,270,730.16,583.98,90.48,27.98,12.06,6.72,12.52
1000,271,729.16,582.56,90.7,28.08,12.08,6.76,12.52
1000,272,728.2,581.5,90.66,28.12,12.04,6.78,12.66
1000,273,727.2,580.36,90.78,28.06,12.02,6.68,12.82
1000,274,726.2,579.3,90.6,28.18,12.02,6.76,12.96
1000,275,725.2,578.16,90.68,28.12,12.08,6.72,13.04
1000,276,724.2,577.16,90.56,28.1,12.16,6.68,13.2
1000,277,723.2,576.12,90.34,28.14,12.24,6.72,13.2
1000,278,722.2,575.0,90.32,28.18,12.18,6.78,13.28
1000,279,721.2,573.72,90.52,28.16,12.12,6.76,13.28
1000,280,720.22,572.7,90.36,28.28,12.1,6.78,13.38
1000,281,719.22,571.46,90.42,28.3,12.2,6.74,13.44
1000,282,718.22,570.34,90.4,28.26,12.3,6.68,13.54
1000,283,717.22,569.3,90.3,28.32,12.24,6.7,13.54
1000,284,716.22,568.18,90.34,28.38,12.2,6.7,13.74
1000,285,715.22,567.02,90.38,28.16,12.42,6.74,13.78
1000,286,714.26,565.92,90.24,28.4,12.44,6.76,14.0
1000,287,713.26,564.8,90.24,28.4,12.48,6.72,14.1
1000,288,712.26,563.72,90.06,28.52,12.52,6.72,14.36
1000,289,711.26,562.54,90.02,28.62,12.46,6.84,14.36
1000,290,710.26,561.36,90.12,28.52,12.38,6.96,14.4
1000,291,709.26,560.16,90.12,28.52,12.42,7.08,14.42
1000,292,708.26,559.04,90.12,28.5,12.46,7.06,14.6
1000,293,707.26,557.98,90.0,28.62,12.48,7.04,14.78
1000,294,706.26,556.94,89.74,28.66,12.54,7.16,14.78
1000,295,705.26,555.94,89.68,28.52,12.6,7.16,14.82
1000,296,704.26,554.74,89.8,28.6,12.54,7.08,15.04
1000,297,703.26,553.72,89.7,28.56,12.6,7.06,15.14
1000,298,702.26,552.48,89.7,28.6,12.76,7.02,15.14
1000,299,701.26,551.38,89.7,28.58,12.82,6.96,15.3
1000,300,700.26,550.22,89.66,28.74,12.9,6.9,15.44
1000,301,699.26,549.16,89.48,28.88,12.92,6.98,15.66
1000,302,698.26,547.9,89.56,28.94,12.94,6.98,15.68
1000,303,697.26,546.8,89.56,28.96,12.94,6.98,15.76
1000,304,696.26,545.7,89.38,29.06,13.02,7.02,15.82
1000,305,695.26,544.62,89.22,29.16,13.1,6.98,15.9
1000,306,694.26,543.58,89.1,29.18,13.12,6.98,16.08
1000,307,693.3,542.7,88.94,29.2,13.1,6.96,16.22
1000,308,692.3,541.54,88.92,29.28,13.14,7.0,16.44
1000,309,691.3,540.26,88.96,29.42,13.18,7.04,16.46
1000,310,690.3,539.26,88.74,29.44,13.32,7.04,16.62
1000,311,689.3,538.24,88.6,29.52,13.36,7.06,16.98
1000,312,688.3,537.3,88.6,29.44,13.2,7.08,17.02
1000,313,687.3,536.32,88.5,29.32,13.2,7.08,17.08
1000,314,686.34,535.48,88.24,29.22,13.3,7.08,17.14
1000,315,685.34,534.48,88.16,29.18,13.34,7.14,17.4
1000,316,684.34,533.62,87.82,29.16,13.4,7.12,17.42
1000,317,683.38,532.52,87.64,29.38,13.42,7.1,17.42
1000,318,682.38,531.38,87.74,29.32,13.4,7.12,17.56
1000,319,681.38,530.12,87.92,29.34,13.32,7.16,17.62
1000,320,680.38,529.06,87.88,29.3,13.36,7.14,17.72
1000,321,679.38,527.88,87.96,29.26,13.4,7.18,17.84
1000,322,678.38,526.8,87.96,29.18,13.48,7.26,17.88
1000,323,677.38,525.82,87.9,29.16,13.3,7.28,17.98
1000,324,676.38,524.78,87.8,29.2,13.24,7.34,18.0
1000,325,675.38,523.92,87.74,29.04,13.3,7.32,18.28
1000,326,674.38,522.8,87.86,28.92,13.32,7.28,18.32
1000,327,673.38,521.76,87.76,29.02,13.26,7.28,18.42
1000,328,672.38,520.78,87.54,29.1,13.28,7.24,18.44
1000,329,671.38,519.68,87.58,28.98,13.34,7.28,18.44
1000,330,670.38,518.84,87.34,28.98,13.24,7.4,18.66
1000,331,669.4,518.0,87.06,29.0,13.3,7.42,18.88
1000,332,668.44,516.98,86.94,29.12,13.34,7.36,19.08
1000,333,667.44,515.98,86.9,29.08,13.32,7.42,19.3
1000,334,666.44,514.84,86.98,29.02,13.34,7.42,19.32
1000,335,665.44,513.8,86.94,28.92,13.42,7.5,19.44
1000,336,664.44,512.72,87.08,28.8,13.44,7.4,19.5
1000,337,663.44,511.56,87.16,28.84,13.36,7.5,19.7
1000,338,662.48,510.42,87.12,29.0,13.26,7.58,19.6
1000,339,661.48,509.32,87.08,29.08,13.22,7.54,19.62
1000,340,660.48,508.18,86.92,29.3,13.16,7.6,19.68
1000,341,659.48,507.28,86.72,29.36,13.04,7.66,19.76
1000,342,658.48,506.22,86.68,29.32,12.98,7.82,19.78
1000,343,657.48,505.12,86.7,29.3,13.04,7.86,19.88
1000,344,656.48,504.24,86.62,29.16,13.04,7.76,20.02
1000,345,655.48,503.1,86.66,29.18,13.0,7.76,20.08
1000,346,654.5,502.12,86.56,29.14,13.08,7.78,20.18
1000,347,653.52,501.12,86.48,29.16,13.12,7.72,20.52
1000,348,652.52,500.02,86.46,29.14,13.16,7.74,20.64
1000,349,651.52,498.82,86.54,29.12,13.14,7.86,20.72
1000,350,650.52,497.84,86.34,29.22,13.18,7.8,20.86
1000,351,649.52,496.84,86.24,29.14,13.26,7.76,20.94
1000,352,648.54,495.84,86.22,29.02,13.34,7.74,21.0
1000,353,647.58,494.92,86.0,28.9,13.48,7.76,21.02
1000,354,646.58,494.14,85.84,28.78,13.38,7.78,21.1
1000,355,645.62,493.26,85.7,28.8,13.34,7.74,21.46
1000,356,644.62,492.26,85.62,28.74,13.34,7.78,21.58
1000,357,643.62,491.34,85.48,28.66,13.38,7.86,21.64
1000,358,642.62,490.38,85.44,28.56,13.38,7.94,21.92
1000,359,641.62,489.38,85.36,28.58,13.36,7.98,22.08
