x,interval_begins,interval_ends,mean,analytical
0.0,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,5.823414042993234e-14
0.002,0.0,0.0,0.0,1.8410227553290357e-12
0.003,0.0,0.0,0.0,1.3811698335584633e-11
0.004,0.0,0.0,0.0,5.75006194801601e-11
0.005,0.0,0.0,0.0,1.733622235705207e-10
0.006,0.0,0.0,0.0,4.261796445282024e-10
0.007,0.0,0.0,0.0,9.100364313909625e-10
0.008,0.0,0.0,0.0,1.752874266376763e-09
0.009,0.0,0.0,0.0,3.1206549615257104e-09
0.01,0.0,0.0,0.0,5.2211444104915e-09
0.011,0.0,0.0,0.0,8.307335586178785e-09
0.012,0.0,0.0,0.0,1.2680527105283898e-08
0.013,0.0,0.0,0.0,1.8693073326994218e-08
0.014,0.0,0.0,0.0,2.675082141474799e-08
0.015,0.0,0.0,0.0,3.731525026666901e-08
0.016,0.0,0.0,0.0,5.090532571169883e-08
0.017,0.0,0.0,0.0,6.809908587418808e-08
0.018,0.0,0.0,0.0,8.953497012942246e-08
0.019,0.0,0.0,0.0,1.1591290460590283e-07
0.02,0.0,0.0,0.0,1.479951567368264e-07
0.021,0.0,0.0,0.0,1.866069709228073e-07
0.022,0.0,0.0,0.0,2.3263699694008955e-07
0.023,0.0,0.0,0.0,2.870375223130438e-07
0.024,0.0,0.0,0.0,3.5082451946627194e-07
0.025,0.0,0.0,0.0,4.2507751807989436e-07
0.026,0.0,0.0,0.0,5.109393126912344e-07
0.027,0.0,0.0,0.0,6.096155152168881e-07
0.028,0.0,0.0,0.0,7.223739617107623e-07
0.029,0.0,0.0,0.0,8.505439823258315e-07
0.03,0.0,0.0,0.0,9.955155431098138e-07
0.031,0.0,0.0,0.0,1.1587382679374446e-06
0.032,0.0,0.0,0.0,1.341720348564272e-06
0.033,0.0,0.0,0.0,1.5460273504786717e-06
0.034,0.0,0.0,0.0,1.7732809219298122e-06
0.035,0.0,0.0,0.0,2.025157413219384e-06
0.036,0.0,0.0,0.0,2.303386413063759e-06
0.037,0.0,0.0,1e-06,2.6097492085607337e-06
0.038,0.0,0.0,2e-06,2.946077175030728e-06
0.039,0.0,0.0,2e-06,3.3142501017463147e-06
0.04,0.0,0.0,3e-06,3.716194459315741e-06
0.041,0.0,0.0,3e-06,4.153881614245647e-06
0.042,0.0,0.0,4e-06,4.629325995975264e-06
0.043,0.0,0.0,6e-06,5.144583221448723e-06
0.044,0.0,0.0,6e-06,5.701748182073569e-06
0.045,0.0,0.0,6e-06,6.3029530977019405e-06
0.046,0.0,0.0,7e-06,6.950365542066116e-06
0.047,0.0,0.0,7e-06,7.646186443901704e-06
0.048,0.0,0.0,5e-06,8.392648067799864e-06
0.049,0.0,0.0,7e-06,9.192011978644343e-06
0.05,0.0,0.0,8e-06,1.0046566993309252e-05
0.051,0.0,0.0,1e-05,1.09586271231199e-05
0.052,0.0,0.0,1e-05,1.1930529510410954e-05
0.053,0.0,0.0,1e-05,1.2964632362353377e-05
0.054,0.0,0.0,1.2e-05,1.4063312885065109e-05
0.055,0.0,0.0,1.5e-05,1.5228965220867999e-05
0.056,0.0,0.0,1.5e-05,1.6463998391407252e-05
0.057,0.0,0.0,1.5e-05,1.7770834249207785e-05
0.058,0.0,0.0,1.5e-05,1.915190544010491e-05
0.059,0.0,0.0,1.5e-05,2.060965337885486e-05
0.06,0.0,0.0,1.6e-05,2.214652624010281e-05
0.061,0.0,0.0,1.9e-05,2.3764976966762977e-05
0.062,0.0,0.0,2.1e-05,2.546746129774683e-05
0.063,0.0,0.0,2.3e-05,2.7256435816860303e-05
0.064,0.0,0.0,2.4e-05,2.9134356024580953e-05
0.065,0.0,0.0,2.6000000000000002e-05,3.110367443431886e-05
0.066,0.0,0.0,2.8e-05,3.316683869466297e-05
0.067,0.0,0.0,3.1e-05,3.5326289739014905e-05
0.068,0.0,0.0,3.3e-05,3.758445996391774e-05
0.069,0.0,0.0,3.5000000000000004e-05,3.99437714372946e-05
0.07,0.0,0.0,3.7e-05,4.240663413772425e-05
0.071,0.0,0.0,4.1e-05,4.4975444225795324e-05
0.072,0.0,0.0,4.3e-05,4.765258234849956e-05
0.073,0.0,0.0,4.4e-05,5.044041197754482e-05
0.074,0.0,0.0,4.6e-05,5.334127778239428e-05
0.075,0.0,0.0,4.6e-05,5.635750403876436e-05
0.076,0.0,0.0,4.5e-05,5.9491393073244896e-05
0.077,0.0,0.0,5e-05,6.274522374463771e-05
0.078,0.0,0.001,5.7e-05,6.612124996254547e-05
0.079,0.0,0.001,5.9000000000000004e-05,6.962169924368099e-05
0.08,0.0,0.001,6.8e-05,7.324877130630816e-05
0.081,0.0,0.001,7.2e-05,7.70046367031686e-05
0.082,0.0,0.001,7.4e-05,8.089143549319444e-05
