n_aa,n_ab,n_bb,cnt
0,4,2,243
0,5,1,648
0,6,0,432
1,3,2,972
1,4,1,2592
1,5,0,1728
2,2,2,1296
2,3,1,3456
2,4,0,2304
3,1,2,576
3,2,1,1536
3,3,0,1024
