n_aa,n_ab,n_bb,cnt
0,3,3,1024
0,4,2,2304
0,5,1,1728
0,6,0,432
1,2,3,1536
1,3,2,3456
1,4,1,2592
1,5,0,648
2,1,3,576
2,2,2,1296
2,3,1,972
2,4,0,243
