k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,2.7755575615628914e-14,0.0,0,0,-100.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0015800912735598651,0.004775672554210808,0.000312683186490654,100.0,100.0,-100.0,-100.0,1.4324977868122557,0,0.20747305153523016,0.6223521926685978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0008978228738333023,0.0008584932704823784,0.0005486575698477417,100.0,100.0,-100.0,-100.0,0.5319081113613195,0,0.5547507636027755,0.5432450906627496,86.09901027858847,0,0,71.2550941556191,74.08250675047043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0008843888716605744,0.008487702018300947,0.0009730768831642233,100.0,100.0,-100.0,-100.0,0.05871007639018121,0,1.2213322558632256,0.6368824785780698,108.57775159768198,0,0,37.297510688796294,47.66554573008875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0029711591546524355,0.0067662002871723605,0.0010468014537808577,100.0,100.0,-100.0,-100.0,0.7634647094051433,0,0.22954941305054827,0.501227155653286,28.492861687356,0,0,18.959730558010396,20.817883235764196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.005525458817069915,0.015898876091669685,0.001303777232950989,100.0,100.0,-100.0,-100.0,1.1103671067541852,0,0.1153618264854763,0.51276554830687,31.440806394791576,0,0,15.199936216293834,18.256013938054167,0,0,0,0,41.38084656811878,50.90535742777047,0,0,0,0,0,0,0,0,0,0,0,0
6,0.006437325861993605,0.019176493468204162,0.0014051139694019395,100.0,100.0,-100.0,-100.0,1.1042113058832816,0,0.2114069786975432,0.4655440585099965,26.919631751058084,0,0,10.65534530189761,13.730774012284323,0,0,0,0,6.430452406058939,13.708793907672753,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00477547990808081,0.013418147052106302,0.0012120450465986855,100.0,100.0,-100.0,-100.0,0.7612919641890045,0,0.08316406678036331,0.3519322885389546,17.756131441958768,0,0,5.709029409090331,8.062704870524778,0,0,0,0,6.4963838363537585,13.889300304575752,0,0,0,0,0,0,0,0,0,0,0,0
8,0.002929273289844474,0.00526215058460308,0.0013298483075050533,100.0,100.0,-100.0,-100.0,0.4200467348369254,0,0.24857130446077952,0.33695406763235675,9.861758514925425,0,0,5.900947667720315,6.727416072845778,23.136844867814144,0,0,0,9.074404987675106,6.146109546267006,0,0,0,0,0,0,0,0,0,0,0,0
9,0.005659760000003018,0.013511267708639585,0.001927454499647782,100.0,100.0,-100.0,-100.0,0.6649480575704352,0,0.17741908445325036,0.43000349628968565,10.40206869658593,0,0,6.797266871324133,7.558280589990527,8.894088165051498,0,0,0,12.76147854052176,12.494761962903095,0,0,0,0,0,104.65097309688576,108.43645377551015,0,0,0,0,0
10,0.005599922420147326,0.013374812035382929,0.0019169811682706603,100.0,100.0,-100.0,-100.0,0.5732725266753285,0,0.15036216773784936,0.370191292032417,6.234678425090646,0,0,4.454851507895397,4.83882431998068,48.6295975782366,0,0,0,20.4015813349974,21.969804459621802,0,0,0,0,0,52.109527943633864,54.97638909723945,0,0,0,0,0
11,0.0070483549799962115,0.019702576907132924,0.0018714253053584483,99.99999999999999,100.0,-100.0,-100.0,0.5302251695873694,0,0.18055623721830805,0.362904754977361,1.2589769083321245,0,0,5.5505536981870325,4.573128899650171,21.264266754619587,0,0,0,16.103534792180362,12.440024836611721,0,0,0,0,0,117.20498937767127,121.37620903070697,0,0,0,0,0
