k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6.666664436708076e-05,0.0003338682483032129,0.00020026726784376145,100.0,100.0,1.678657968908336,2.464066254895233,1.8725856652221415,0.3992010656008382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0010029481978311677,0.0004026714546022532,0.0003001334322071906,100.0,100.0,1.438102145974773,1.4819784243731375,0.8960117077776316,0.2983000163758102,5.18363280084476,119.92263047669768,559.7678914300931,12.346972665962685,58.09147405790891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0050938012652849,0.004564023023160804,0.0002646559377603435,100.0,100.0,1.7501352539082138,0.6828328428123291,0.5859688670926091,0.17236848049646095,15.983054932461425,63.95528404687472,34.145232401988416,1.9802307545383138,15.297164668148397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.004830202610180179,0.004040549772526208,0.00039462969398411916,99.99999999999996,100.0,0.9177936270869287,0.24323978802268734,0.6030383970560236,0.18992697208059497,13.392523144524134,37.24168222666025,18.52690737757022,9.398918133232668,11.575509686618222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00880508785194417,0.007894560181299935,0.0004545666428850965,99.99999999999982,99.99999999999999,1.4672494834525547,0.004167109207003069,0.9920043970140837,0.16987982345647706,2.1711502093995207,12.499707181222101,12.499707181222101,4.14038848676825,7.034433847261929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00908041461591426,0.008192439029601732,0.00044324191777959297,99.99999999999919,99.99999999999991,1.0173114971429458,0.7704194917235786,1.3835160133213613,0.14692439546356587,7.465523073836339,26.02386255310368,3.5196013829065675,9.391813878922298,6.307297649160533,75.6729025493888,25.210406855181226,0,0,0,9.801012271328608,0,0,0,0,0,0,0,0,0,0,0,0
7,0.010839615404933806,0.008563909819699773,0.0011369115613546151,99.99999999999726,99.99999999999969,1.436268313652416,0.3749341988906617,0.8739333784471082,0.32141119385832567,11.644516652797353,32.937166811167344,8.934622803595456,2.311047928802296,12.313830871836876,61.67728160295992,17.81678940271931,0,17.81678940271931,0,29.72796944416243,0,0,0,0,0,0,0,0,0,0,0,0
8,0.006095794456325501,0.005555877339238456,0.00026961915580940896,99.99999999999218,99.99999999999913,0.9050748434650273,0.20068097504967916,0.5103831187760883,0.06810846990221399,5.417527703509557,17.046196307101827,4.831597395160202,6.699429503790395,2.235579396022865,43.25105488878516,12.767428895246677,0,41.84495259683112,13.497890222429666,3.94828804805327,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0014626829293135127,0.0004379074364160673,0.0005123787158913004,99.99999999998023,99.9999999999978,0.5152457133888534,0.22034754182953098,0.04516677761022403,0.11394851756730005,8.636302648784403,14.38203338399968,5.105276007348395,2.7446433429930193,3.240359587415691,19.843083096895754,17.856987595868528,171.88549483698466,38.3927406969014,60.31383380620849,1.3298875568917772,0,0,0,0,0,0,0,0,0,0,0,0
10,0.004829863696750049,0.0038759374346391596,0.0004767736545258298,99.99999999995502,99.99999999999498,0.7929044224112745,0.18847101994254822,0.2327328438983848,0.12583792595392243,16.0348081829153,4.807844825150751,0.49888149511004526,0.5415929860726283,4.254376411540443,27.281006161114174,11.781193258923132,84.99251581588183,52.09377431760438,27.281006161114174,17.945213654521268,0,0,0,0,0,0,0,0,0,0,0,0
11,0.004862885008679897,0.002974465326856922,0.0009440562822163735,99.99999999990536,99.99999999998944,0.7553129608219109,0.062105296157112855,0.06629592417271064,0.21019845601170273,17.75562935621031,5.6359207608427235,0.5788820010151489,6.1459194196825315,6.692465851760642,27.986681531715945,11.442837762531143,22.131548237258446,50.80157653473952,27.986681531715945,24.992139881923265,0,0,0,0,0,0,0,0,0,0,0,0
12,0.003316395803273683,0.0007125843504650996,0.0013018651452242362,99.99999999981361,99.99999999997924,0.650657860315379,0.09170381117672453,0.04227242161554032,0.2621389565149075,18.0826402607232,8.584737959586855,2.1390685829903733,4.8851687021717884,7.77194289287959,25.801668730545405,4.954015802524148,10.116258776785255,42.97240948151449,25.801668730545405,23.88723298100728,0,0,0,0,83.44798014142222,0,8.044089121165072,0,0,0,0,0
13,0.00394365940039992,0.0010513443471699042,0.0014460951523552448,99.9999999996531,99.99999999996137,0.8130813058036561,0.316036501139621,0.2513430931342544,0.2510283512334166,14.29048090012787,4.3793156077367215,3.5509083410086375,2.9745917020954056,5.8593598775563205,22.012525807603843,2.7540493021259476,13.368683565214644,28.072165488511825,6.415030969124627,9.486080985856571,0,0,0,0,77.4287048945216,0,25.39641801261082,0,0,0,0,0
14,0.0036715212292872863,0.0006478712436263675,0.0015117783506686877,99.99999999938409,99.99999999993146,0.710936597619304,0.11338967673396275,0.1637448696732347,0.254574502947083,13.648208120556959,5.553634894581844,4.092684930642999,2.9174760233369783,6.213276735546852,3.3716532317112864,18.98153800347055,9.251731442939674,44.299807377386,3.3716532317112864,18.224751913967292,0,0,0,0,69.94254070823615,0,66.98632985540272,0,0,0,0,0
15,0.00840236741141987,0.005337447414435795,0.001531988049445846,99.99999999895205,99.99999999988303,0.8198641101977286,0.026294535872072172,0.05914304991468395,0.24620089612279508,9.452508419824527,3.707637162694169,6.6062978287322105,2.8688988908125097,5.543806682306064,11.57376647186041,9.382777205203398,0.021893771058419137,39.58851813680227,1.058552603588085,15.9759586267956,0,0,0,0,60.78409730721921,0,117.86670653259276,0,0,0,0,0
16,0.011143696934477755,0.007924073385778612,0.001608902839324981,99.99999999827801,99.99999999980754,0.9115596292434119,0.12048037600968706,0.08058148654414546,0.23876633547146597,6.346798214959795,3.8051287527362248,4.92734636087391,4.550399596463857,4.838522064728259,6.461588464828917,18.175412181821528,20.369573328613846,37.657456900435456,6.461588464828917,11.289121452887091,0,0,38.114284300610066,0,49.73864809319959,0,39.61523838422417,0,0,0,0,0
17,0.01105451389221233,0.006396292543885883,0.0023283493652817744,99.99999999725523,99.99999999969349,0.6478044911595555,0.23700534782936594,0.04066261726316398,0.30906129838289254,2.4400591256563513,2.7487785049389934,9.186671894972768,7.848385228563685,5.5157171559186615,12.603756678745361,13.454644911101507,14.582730803304365,29.190164018173956,1.343381010870815,7.2805220882793575,0,0,21.91578871380039,0,68.29140636520647,0,17.439548578244374,0,0,0,0,0
18,0.003624295717809751,0.000721533203262359,0.0021728933959239863,99.9999999957362,99.99999999952587,0.20988449142949872,0.4209372442689814,0.19202762614314314,0.27453832574849274,1.5747924382555611,3.0772960808129715,8.127854017957468,5.449580160695817,4.615590375345641,8.492345732814494,1.9154812227299045,6.525411818413583,26.620853519634473,8.198784379926195,6.049165643138913,0,0,2.833934363864098,2.833934363864098,60.54260855558599,0,9.60415714138713,0,0,0,0,0
