k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.10010009909908799,0.049975011993997454,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.09934544091936527,0.04918711174399406,0.00022526315279813947,100.0,100.0,100.0,100.0,1.9505604157821212,7.394408387949043,0.9624805573051047,0.4488994211184925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.11068013039688498,0.05433375703557586,0.0005005020288237981,100.0,100.0,100.0,100.0,0.05789497334804219,10.109716211080395,4.495975196211844,0.4975957308354695,277.14983642929116,100.96283568083594,18.56860554319094,90.27975272345084,121.74025759419222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.10751561279102384,0.0521962355982555,0.0008248871584925295,99.99999999999984,99.99999999999997,99.99999999999984,99.99999999999997,0.7082359873842679,3.7472471885204235,1.2988462118836621,0.544485109278816,110.24602817130253,124.39390893788122,11.60550708793377,42.06906314905277,65.09688322869413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.1116257689627009,0.05450007451182211,0.000592756596796916,99.99999999999847,99.99999999999983,99.99999999999847,99.99999999999983,0.6956684289713881,2.5150340091104932,1.2757681344768683,0.28678421121743186,23.473957567030066,12.012938290818168,17.154285170707755,50.85993456949426,16.549595323909994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.10689791202403422,0.05145267968947725,0.0010117119588450784,99.99999999999108,99.999999999999,99.99999999999108,99.999999999999,0.2625350926806676,2.2248762806773796,0.41915796158375307,0.38984956202253296,34.964350377726554,23.245444837192334,45.56683003197412,46.662685578283636,17.904401604617696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.11253498505207225,0.053009201819783754,0.0017809223389408692,99.99999999996274,99.99999999999584,99.99999999996274,99.99999999999584,1.0625340017665712,0.846053494987626,0.050359832773104615,0.5727498834211309,21.271309633377445,3.2477280388836163,30.22643961994935,52.90620230417016,23.06851554075682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.12402424519498675,0.05828186818534825,0.0019886523292198125,99.99999999987602,99.99999999998604,99.99999999987602,99.99999999998604,1.4377611746758716,1.6252836087729208,0.8761258570557396,0.5536457201051704,22.68861389652974,1.2005438192002127,8.426044418352697,51.9377819712107,19.05207222296601,0,0,68.69600016434278,0,0,132.33497669323714,0,0,0,0,0,0,0,0,0,0,0,0
8,0.11369318061356451,0.053336806234854504,0.0018336248536411537,99.99999999964683,99.99999999996074,99.99999999964683,99.99999999996074,1.1015525730690279,0.23112672445257448,0.13186766748989254,0.4313397052644211,19.107954664939673,0.8413084630411993,1.6676039547183021,13.975960829456568,10.443033449704295,0,0,53.690827226332,0,0,243.2947398438019,0,0,0,0,0,0,0,0,0,0,0,0
9,0.12274025830311722,0.05680826876804128,0.0024325425162817858,99.99999999912033,99.99999999990177,99.99999999912033,99.99999999990177,1.2805909289542157,1.1688681463583437,0.5480765993711838,0.5246570489940084,21.542002453206344,4.361086862113237,4.072499216897804,20.441355858143897,13.034969596253504,0.5113115356417695,0,34.654461656146765,0,0,61.2805338054059,0,0,0,0,0,0,0,0,0,0,0,0
10,0.11384357002096979,0.05215572559344897,0.0025645415394744743,99.99999999800352,99.99999999977884,99.99999999800352,99.99999999977884,0.44772372265499694,1.9489762222682456,0.20088110982484864,0.4908905891432246,9.671742233545384,10.03469256549481,2.576082732873423,20.757576652025456,10.10164564486075,36.23097908231656,68.81084798795922,11.165888790936313,0,0,64.24643763400695,0,0,0,0,0,0,0,0,0,0,0,0
11,0.1123240942950377,0.048329975412127496,0.004576941923079619,99.99999999583078,99.99999999954002,99.99999999583078,99.99999999954002,0.8431438882906782,1.701814652596325,0.300476295258911,0.7968844706031158,19.558037460185634,13.64654766125731,0.054263606728902354,22.8334124095623,15.802273158344335,79.16055518296596,122.34036531289395,17.178832514590553,0,0,116.39940886083838,0,0,0,0,0,0,0,0,0,0,0,0
12,0.1176217166174672,0.04914980773301693,0.005714234001682349,99.99999999186902,99.9999999991021,99.99999999186902,99.9999999991021,1.073127355690553,2.116355763938818,0.14506343067015953,0.909291815127687,21.65494012906885,11.865177078147786,3.074191535785698,21.2713096316566,16.428465521015635,129.82461880433826,185.64321036291398,50.76696730178498,0,23.49112739427301,122.48236005005035,0,0,0,0,0,0,0,0,0,0,0,0
13,0.1254192028673153,0.05249721834954685,0.005969971600810032,99.99999998500915,99.9999999983403,99.99999998500915,99.9999999983403,1.174953399986595,2.30026195066072,0.14224444457512106,0.8715372191160752,15.461041392084997,10.117113830076129,9.05975912942904,17.708644401324232,13.788081528281417,188.71631994057552,259.37687855831894,89.96949466520928,17.18274604992699,21.96556114828954,100.00437669400388,0,0,0,0,0,0,0,0,0,0,0,0
14,0.1410708886709464,0.05930143146983496,0.00646904399204397,99.99999997368501,99.99999999707039,99.99999997368501,99.99999999707039,1.9273326832690747,1.1266744517207923,0.27396398145735606,0.8781096828697226,15.197673314039914,11.106715158614186,0.11584788569230432,17.78106933901311,12.508318845544807,137.53225445552135,344.1647513885337,135.14149076837433,45.26484080978532,3.119896318687237,116.36600671198538,0,0,0,92.7409977015618,0,0,7.900096979972365,0,0,0,0,0
15,0.1401003313336451,0.05701294802203785,0.007624013226503024,99.99999995548069,99.99999999505809,99.99999995548069,99.99999999505809,1.9737734783261671,1.0521114379980452,0.0695200802493103,0.962181041882341,17.95164807890493,10.258382345759502,3.608820303639642,17.384411425651514,12.631236064400778,73.20163104139363,440.5970461211103,186.6225048314547,77.33439353265156,18.445481610020007,110.74530629122246,0,0,0,90.53392948372391,0,0,19.793182599619733,0,0,0,0,0
16,0.15612779804254281,0.06400687852753467,0.008095302767939417,99.99999992757527,99.99999999192313,99.99999992757527,99.99999999192313,2.4468170665413056,0.577667225549742,0.3298723239719587,0.9516141887168648,16.923391738929574,8.220871232477183,3.0971716195550885,14.343636476750396,11.217045139755536,73.07939499023617,224.61587252458318,72.3684641013667,113.6101751958101,42.889034615628645,94.75640674002955,0,0,0,87.87380528174751,0,0,53.06259368503247,0,0,0,0,0
17,0.15764094871423434,0.06495639262666902,0.0078776720971886,99.99999988545991,99.99999998724056,99.99999988545991,99.99999998724056,2.4837072996331653,0.04443324085083471,0.277699559623695,0.880343446104705,13.91364115855007,11.850384966269848,3.342392432697473,10.779031266855192,10.080899421706853,53.84447858106077,92.64887616453734,36.59811887463758,27.151517627866884,13.576555195061461,50.3089195385733,0,0,0,84.70743973879581,0,0,92.5346646378048,0,0,0,0,0
