k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.004742900879908613,0.00434195367213723,0.00020026726784376145,100.0,100.0,2.6067807029995205,0,1.9107765358790703,0.3992010656008599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.008098583898511555,0.0070286318951462146,0.0005344039231045566,100.0,100.0,2.327018558871609,0,1.3311455400470524,0.5315593412038101,137.1372110868633,0,0,295.22868514477227,196.4215138585792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.004490132592614969,0.003423960322475071,0.0005329295537435752,100.00000000000001,100.0,0.9727681986929164,0,0.2779140252297677,0.35135123534989576,32.5917393683706,0,0,47.32415485374512,39.570251966705904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0031669849310108286,0.004762994024171605,0.0007978473364193586,100.0,100.0,0.029881760659182785,0,0.810281869112853,0.39197165432335174,42.00519414660498,0,0,20.15824120097345,30.171427967721225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.010654851881685964,0.012509394557575316,0.0009259298946063555,100.0,100.00000000000001,0.8158262452093277,0,1.50736803589678,0.35931079153341144,19.317073796947746,0,0,19.317073796947746,19.317073796947746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0046169083229203375,0.006381137877724926,0.0008818123875191414,100.0,100.0,0.22323928163776735,0,0.7951745758023695,0.28856800021351686,10.831012442741796,0,0,14.48478208371131,12.628272103975444,17.649240796503587,0,0,0,0,64.70151840699282,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0014411489422937916,0.0011707156233709208,0.0013059321000105529,100.0,100.0,0.35059680447889324,0,0.3700443851181424,0.36032154373873293,12.76308619532419,0,0,12.76308619532419,12.76308619532419,29.727969444162397,0,0,0,0,159.45593888832477,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0034536075797446716,0.00020457453913540303,0.001624483065118364,100.0,100.0,0.5299641822118234,0,0.24822774911706266,0.389295179341149,14.376054449300547,0,0,8.929575666000535,11.586394584683468,28.06894926926228,0,0,0,0,156.13789853852455,0,0,0,0,0,0,0,0,0,0,0,0
9,0.011985115215638739,0.008243145955801232,0.0018699616926827014,100.0,100.0,1.0888351661692133,0,0.2899034426042443,0.4042372221164778,16.86599080199848,0,0,6.094931741906439,11.22029076325456,80.89520614569835,0,0,0,35.67140460927377,55.05303383916999,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0152380057148747,0.010608291035768842,0.00231318730056698,100.0,100.0,1.1601290221188492,0,0.2702399449304164,0.45008228718070253,13.923129062610734,0,0,8.665138490490234,11.232031525698657,47.69861542186173,0,0,0,47.69861542186173,47.69861542186173,0,0,0,0,0,0,0,0,0,0,0,0
11,0.018427811300954982,0.013535907120935362,0.002443397954250038,99.99999999999999,100.0,1.2091578658244928,0,0.3287603145588275,0.44613790041125817,11.781415703242619,0,0,9.265435285484738,10.509106906620348,21.887772691874634,0,0,0,21.887772691874634,21.887772691874634,0,0,0,0,0,0,0,0,0,0,0,0
12,0.023534485512025718,0.018258762441914624,0.0026334949613090533,100.0,100.0,1.3432537815118828,0,0.5003114486268292,0.43000396160829063,9.236235595228518,0,0,7.197159197450901,8.207092056646275,56.98258197667244,0,0,0,56.98258197667244,56.98258197667244,0,0,0,0,0,54.02204456058255,8.044089121165104,0,0,0,0,0
13,0.020642910395214247,0.014802132754379494,0.002917248034436546,99.99999999999999,100.0,1.0851568077138964,0,0.22149804253340127,0.4361162618386183,5.859359877556302,0,0,9.05975912966846,7.435730643201476,58.399358274750924,0,0,0,43.999416613409956,50.856531690238995,0,0,0,0,0,37.301790993694624,25.396418012610738,0,0,0,0,0
14,0.02074705830638223,0.014289216078908692,0.0032258523615230628,100.00000000000001,100.0,1.0054748544305354,0,0.0923573631329919,0.45958565420932884,5.590933317174493,0,0,10.783930037691274,8.125115716786674,15.447409062634373,0,0,0,22.66287212904904,18.945815397865726,0,0,0,0,0,16.50683507229867,66.98632985540266,0,0,0,0,0
