x,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.0006013311182803406,0.001001878505347612,0.00020026726784376145,100.0,100.0,0.5465395255629716,5.21211155042168,1.4214966558366087,0.3992010656008382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.0028122132140240915,0.004015123376606476,0.0006013385506797673,100.0,100.0,0.2802759288679865,0.13101528485963002,1.5624340293986072,0.5980045253446169,380.20285245089843,0,12.640175266260124,380.20285245089843,295.2286851447723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.006703620023178091,0.004631084725397044,0.0010359464633895212,99.99999999999999,100.0,1.8953067641378003,0.14240333060109384,0.2929934107974636,0.7184836914438303,168.49827222095055,0,67.94953653326947,114.79861777676037,152.5556940349917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.0034860480532803947,0.001016606448045719,0.0012346701184936537,99.99999999999991,100.0,0.7417346227392548,3.2005914699719233,0.04306340923456362,0.643380105473481,80.75232569232153,196.7908557664045,48.39542788320226,51.831953581550074,70.40623297592602,0,0,0,90.28084274751883,0,0.824925995090126,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.004562310059954435,0.0013635071324022653,0.0015993136769178703,99.99999999999955,99.99999999999994,0.9233146927134198,3.2061876260609976,0.20204520400722953,0.6555398675585924,84.23301925959966,176.57697706132495,25.716807755147734,17.90913232614377,48.537581665588064,0,0,0,81.16852699261445,0,92.15788783046476,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.008270616294748226,0.0046169083229203375,0.001826438772772354,99.99999999999807,99.99999999999979,1.2991232022083614,1.771141555939802,0.34150804516008276,0.6156386401856794,59.22025070547851,79.9492620206699,1.0279058886315646,15.598264210826871,32.714842925066606,0,0,0,67.7185023922294,0,229.40303681398572,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.01192156665063428,0.007347185286319763,0.002286262491378102,99.9999999999935,99.99999999999928,1.4154053613155098,2.57559302086742,0.5588757525911959,0.6560170137378514,50.227137858902275,78.54155314259664,7.650920788312077,15.325883608854259,28.72498424123766,89.14337944958876,0,0,49.146635977888316,0,159.45593888832477,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.013277828375283133,0.007994255746752998,0.002640655090247992,99.99999999998144,99.99999999999791,1.414975622475637,1.7160339539080398,0.34412016937197715,0.6617463571060914,41.17273006313672,15.901068508624608,8.657251726835591,16.71761146952248,24.490943618286337,6.637735982707795,0,0,24.69545782967375,0,92.10342390389343,0,0,0,0,0,0,0,0,0,0,0,0
0.009000000000000001,0.015040429692143387,0.008786073741704616,0.00312575876393594,99.9999999999533,99.99999999999474,1.3519100595913844,1.900987103411174,0.26845380973519634,0.6852700703743473,27.728124330650015,15.113000939968552,21.50816765885569,15.827988523446601,20.853544293930238,31.8726052802142,0,0,6.366381213670767,0,171.34280921854776,0,0,0,0,0,0,0,0,0,0,0,0
