k,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,a_in_non_trivial_cycles_part,b_in_non_trivial_cycles_part,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0,0.0,0.0,0.0,0,0,-100.0,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0060586644547200065,0.006459730702404482,0.00020076726884183684,100.0,100.0,-100.0,-100.0,3.0857978949228415,5.4422794926590585,3.4544339795032144,0.4001951811816434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.009759187618656736,0.010629192680687504,0.0004360021584310312,100.0,100.0,-100.0,-100.0,2.2655738834408807,1.4537832943317515,3.1601814660081398,0.4337086390771317,69.28212245455249,0,0,140.24553030808613,116.10576295235934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.002300723957908799,0.004044568956029416,0.0008727736369935949,99.99999999999999,100.0,-100.00000000000001,-100.0,0.014758371190722578,2.9187181685876484,0.9623504377582291,0.5771449349138313,103.8037853638265,0,18.210560904599618,79.16001962691965,89.8739034483855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.005258906560759515,0.007135225002607604,0.0009402540145162521,99.99999999999991,100.0,-100.00000000000036,-100.00000000000004,0.443343517468958,2.07688357658857,1.2708249610773217,0.4630896021909712,26.501388482269185,380.1404745946935,13.271144368628573,52.014261288595236,38.15724498250575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.001522624180278234,0.0038009925116315756,0.0011404442183147179,99.99999999999953,99.99999999999994,-100.00000000000252,-100.00000000000028,0.22901461389829383,0.43019193716752446,0.7796150540982486,0.44520629475923845,27.498810059702585,24.27618035861132,15.802087954552691,31.206809709728475,25.784301628069613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.007319688540429877,0.010527134547662251,0.001608280790178111,99.99999999999795,99.99999999999974,-100.0000000000127,-100.0000000000014,0.43526923732461775,3.231592645141156,1.254559215336316,0.5202649068507662,19.53309689123149,33.40203537233413,19.645497326844303,38.5881406256471,24.313847159274733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.009113755144856663,0.012437941888368763,0.0016684752951598538,99.99999999999312,99.99999999999916,-100.00000000004982,-100.00000000000553,0.5403189392528748,4.756736460698786,1.054368023041208,0.45948762917120667,19.201834939576898,20.313837653006125,27.514656673691242,21.715573629515085,16.758606098157546,158.73047837811924,0,0,0,0,422.5034571364021,0,0,0,0,0,0,0,0,0,0,0,0
8,0.010134524117271511,0.012145019242655517,0.0010129184461733043,99.99999999998039,99.99999999999763,-100.00000000016234,-100.00000000001805,0.7860551281570172,4.502226910843323,0.8740630525866606,0.24324348095682294,2.563488591725538,10.251016424685545,19.32760189696192,16.99807015284917,6.948814921639816,91.48967546862931,0,0,0,6.338498212770076,54.73793409488738,0,0,0,0,0,0,0,0,0,0,0,0
9,0.010921464866587497,0.012958881819316408,0.0010280289676019869,99.99999999995069,99.99999999999403,-100.00000000045894,-100.000000000051,0.7223329220628022,2.743510365779262,0.949086827647603,0.214629178994262,0.6037964961510324,7.167892720047644,11.187166183415417,14.71610192134385,4.882839259107346,170.36773129870045,37.00932325540263,0,0,0.7388483349474643,56.109084029468384,0,0,0,0,0,0,0,0,0,0,0,0
