empirical_min_dist,estimated_true_dist,best_x,best_p_aa,best_p_bb,best_alpha,min_error,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
592.05,1082.5959842250973,0.6324260598158664,0.6493983242306788,0.018167608066505973,0.20726532109448353,0.1200844011502953,0.53,0.48,0.45,600
673.8230000000002,765.5352359496733,0.6932481763656219,0.3415025939091015,0.316813859925777,0.7701584019340835,0.01721468071652671,0.53,0.48,0.45,700
739.8290000000001,864.3385176443221,0.8004382300140729,0.3485793286817335,0.3030401975998767,0.7580061772897771,0.011133835414430101,0.53,0.48,0.45,800
792.0750000000007,1419.9612462096563,0.8865559192285409,0.9672891440803866,0.005472017032959594,0.5040187432608301,0.03477787321054668,0.53,0.48,0.45,900
833.3140000000003,1053.4718112296,0.9956690407690012,0.34193338137719315,0.3181396082967623,0.7196753001544577,0.00801049674837232,0.53,0.48,0.45,1000
865.4889999999999,1232.8892694081294,1.1308795576363955,0.9420981011484163,0.020758137731493414,0.7941839631772224,0.00654863222649503,0.53,0.48,0.45,1100
891.1239999999998,1329.1362019323262,1.3683326111740295,0.06617392449041494,0.046223393512123866,0.5093196086858367,0.008174864796660564,0.53,0.48,0.45,1200
911.5619999999998,1445.7005659571105,1.4826128033596693,0.08885744177217982,0.061041884802716224,0.5129495608312966,0.006190740745820736,0.53,0.48,0.45,1300
927.853999999999,1533.2859137921096,1.4939981180412167,0.8630785212715054,0.05531842753048966,0.776632530090187,0.004578933320750217,0.53,0.48,0.45,1400
940.6729999999995,1659.042941487657,1.4873065687181661,0.831595313058062,0.034895379362206366,0.6632756976511359,0.009359801919337636,0.53,0.48,0.45,1500
