x,A-cycles,B-cycles,all
0.05,0.035189080696107385,0.21821801061693,0.008223715748142232
0.1,0.052872772569027136,0.3923893856980293,0.0121679938543615
0.15000000000000002,0.0661037479439383,0.44047943121112604,0.003219510542383618
0.2,0.05412021965420597,0.5038974883391393,0.0045241702609706
0.25,0.0019642515148591837,0.041830703490047735,0.001939448777896941
0.3,0.001196164547043239,0.2809645394169844,0.01993055519893086
0.35,0.05517287553968558,0.18154779111662442,0.04021577499083421
0.39999999999999997,0.06682584659698201,0.9077186625571476,0.11161157393981772
0.44999999999999996,0.03371643827832112,1.8217832780361687,0.11412591090785196
0.49999999999999994,0.02798250522560489,2.5002985818995964,0.12149540734782156
0.5499999999999999,0.09579949466092799,3.3227051694404,0.198416206250333
0.6,0.031945326677894605,3.9323331059065922,0.13603828569912646
0.65,0.029543570840771242,4.848569738105613,0.07996583567006656
0.7000000000000001,0.02379845165266627,6.277518863071218,0.14232031502607007
0.7500000000000001,0.061407586062391314,7.917988034420229,0.1873752647987193
0.8000000000000002,0.1582410227791869,8.37599355310583,0.2682078686804998
0.8500000000000002,0.10167800227655933,12.354937579113816,0.24411756644272498
0.9000000000000002,0.07311171216419264,15.872801679346658,0.23203955227012063
0.9500000000000003,0.0871359142144732,20.40758782777727,0.26644396525938235
1.0000000000000002,0.11076646351312883,27.078495680893422,0.3262228874438472
1.0500000000000003,0.11037601384933363,31.449792303313274,0.33139738942937724
1.1000000000000003,0.16648981842014582,35.23341618915919,0.38356071658552704
1.1500000000000004,0.2091981848244963,43.26593945615584,0.4614192371874016
1.2000000000000004,0.21514563849997245,50.02515772850102,0.4898357502587543
1.2500000000000004,0.15058191466209442,57.05330064009563,0.45356249481837807
1.3000000000000005,0.3451904707542704,62.60101510006053,0.660233258044985
1.3500000000000005,0.43991151323453215,67.921106279694,0.7697073355237427
1.4000000000000006,0.4139381502782958,73.06109407519907,0.7645528369712951
1.4500000000000006,0.40008086945139304,76.90489792381966,0.7572380815151937
1.5000000000000007,0.5165596484437446,80.62751768308826,0.8857792674488647
1.5500000000000007,0.40707274229398976,84.16387718471746,0.7989646248450212
1.6000000000000008,0.3577987710961405,87.17160122743748,0.773658989860257
1.6500000000000008,0.2964520045599276,89.89328598446166,0.7482462770280246
1.7000000000000008,0.3593928383522817,91.9577719758639,0.8402042727701685
1.7500000000000009,0.29491083803592083,93.81010448766601,0.823764642074247
1.800000000000001,0.38351253545272657,95.25346907358927,0.9627758086647777
1.850000000000001,0.3312697346792933,96.41374432606739,0.974941855426492
1.900000000000001,0.36074588110671546,97.02968929017062,1.0087627392322507
1.950000000000001,0.2864016941455451,97.62547194578947,0.9634111635634656
2.000000000000001,0.3051528046289121,98.14694164234758,1.0276241578814131
