n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,0,1000.0,900.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1000,1,999.0,899.417,98.583,0.193,0.197,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1000,2,998.0,898.805,97.213,0.405,0.375,1.184,0.0,0.003,0.004,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018
1000,3,997.0,898.231,95.829,0.58,0.583,1.717,0.001,0.004,0.015,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.06
1000,4,996.001,897.616,94.502,0.787,0.766,2.214,0.001,0.007,0.027,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114
1000,5,995.003,896.986,93.211,1.003,0.942,2.678,0.001,0.011,0.039,0.124,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,2.188
1000,6,994.004,896.367,91.904,1.21,1.124,3.149,0.001,0.013,0.057,0.166,0.0,0.0,0.0,0.003,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2.253
1000,7,993.004,895.76,90.624,1.42,1.283,3.568,0.002,0.014,0.076,0.233,0.0,0.0,0.0,0.006,0.015,0.0,0.0,0.0,0.0,0.001,0.002,2.349
1000,8,992.004,895.209,89.326,1.594,1.438,3.959,0.003,0.019,0.105,0.307,0.0,0.0,0.0,0.01,0.029,0.0,0.0,0.0,0.0,0.003,0.002,2.464
1000,9,991.004,894.595,88.105,1.8,1.586,4.296,0.006,0.023,0.139,0.39,0.0,0.0,0.0,0.013,0.045,0.0,0.0,0.0,0.0,0.003,0.003,2.576
1000,10,990.006,894.007,86.86,1.996,1.734,4.653,0.007,0.028,0.168,0.464,0.0,0.0,0.001,0.015,0.063,0.0,0.0,0.0,0.0,0.005,0.005,2.685
1000,11,989.007,893.445,85.617,2.181,1.864,5.005,0.008,0.033,0.198,0.52,0.0,0.0,0.003,0.027,0.089,0.0,0.0,0.0,0.0,0.008,0.009,2.799
