A-cycles,B-cycles,all,x
0.6494204404299869,0.25606956384159635,0.9054900042715832,0.05
0.6024955834975404,0.21857207175341792,0.8210676552509584,0.1
0.5589613531315639,0.18656551693950604,0.74552687007107,0.15000000000000002
0.5185727544772025,0.15924583516860422,0.6778185896458068,0.2
0.48110249515368053,0.13592670518405073,0.6170292003377312,0.25
0.4463397061352413,0.11602230703635039,0.5623620131715917,0.3
0.41408875505677056,0.09903260519564673,0.5131213602524173,0.35
0.38416814526581855,0.08453078672848753,0.46869893199430607,0.39999999999999997
0.35640949442528447,0.07215253896250266,0.42856203338778714,0.44999999999999996
0.33065658691871036,0.06158689727397281,0.3922434841926832,0.49999999999999994
0.3067644947254645,0.052568433077678056,0.3593329278031426,0.5499999999999999
0.2845987618184194,0.044870585766790524,0.32946934758520996,0.6
0.26403464749420985,0.03829997108872996,0.3023346185829398,0.65
0.2449564243778087,0.032691522972789426,0.2776479473505981,0.7000000000000001
0.2272567271508448,0.027904346763199053,0.25516107391404386,0.7500000000000001
0.2108359483385415,0.023818179683123462,0.23465412802166496,0.8000000000000002
0.19560167775498508,0.02033036960986065,0.21593204736484573,0.8500000000000002
0.18146818245212404,0.017353296262451533,0.19882147871457556,0.9000000000000002
0.16835592424583945,0.014812170017133225,0.18316809426297267,0.9500000000000003
0.15619111210390085,0.012643153052782918,0.16883426515668376,1.0000000000000002
0.14490528687680682,0.010791755626028892,0.1556970425028357,1.0500000000000003
0.13443493603452786,0.009211467187474369,0.14364640322200223,1.1000000000000003
0.12472113624102882,0.007862587950125791,0.1325837241911546,1.1500000000000004
0.1157092217551105,0.006711231556849672,0.12242045331196018,1.2000000000000004
0.10734847679144986,0.0057284737920081765,0.11307695058345804,1.2500000000000004
0.09959185011055945,0.004889625951325163,0.10448147606188461,1.3000000000000005
0.09239569023148107,0.004173614615681282,0.09656930484716235,1.3500000000000005
0.08571949977708729,0.0035624522476013893,0.08928195202468868,1.4000000000000006
0.07952570756953456,0.003040785310832677,0.08256649288036724,1.4500000000000006
0.07377945719330498,0.002595508560936186,0.07637496575424116,1.5000000000000007
0.068448410835945,0.0022154358171535284,0.07066384665309852,1.5500000000000007
0.0635025673025887,0.00189101894472518,0.06539358624731388,1.6000000000000008
0.0589140931801172,0.0016141079879732436,0.06052820116809044,1.6500000000000008
0.054657166200807135,0.001377746428245149,0.05603491262905228,1.7000000000000008
0.050707829923975975,0.0011759964232168417,0.05188382634719282,1.7500000000000009
0.047043858917824775,0.0010037896372413792,0.04804764855506616,1.800000000000001
0.04364463368277134,0.0008567999153237138,0.04450143359809505,1.850000000000001
0.040491024612386864,0.0007313346020548669,0.04122235921444173,1.900000000000001
0.03756528433891104,0.0006242417752348573,0.0381895261141459,1.950000000000001
0.03485094785750473,0.0005328310637203124,0.03538377892122504,2.000000000000001
