A-cycles,B-cycles,all,x
0.7515304502507807,0.15576015661428094,0.9072906068650617,0.05
0.7059975220676764,0.12130613194252664,0.827303654010203,0.1
0.6632232945443204,0.09447331054820288,0.7576966050925232,0.15000000000000002
0.623040626457124,0.07357588823428843,0.6966165146914124,0.2
0.5852925031573134,0.057300959372037996,0.6425934625293515,0.25
0.5498314230327778,0.04462603202968595,0.5944574550624637,0.3
0.5165188211423136,0.03475478869008901,0.5512736098324026,0.35
0.4852245277701068,0.027067056647322518,0.5122915844174293,0.39999999999999997
0.4558262597847385,0.021079844912372855,0.47690610469711137,0.44999999999999996
0.42820914281519223,0.016416999724779748,0.44462614253997196,0.49999999999999994
0.40226526237675286,0.012785572241341506,0.4150508346180944,0.5499999999999999
0.37789324219281184,0.009957413673572783,0.3878506558663846,0.6
0.3549978480648639,0.007754841566344393,0.36275268963120827,0.65
0.3334896157428067,0.006039476684463691,0.3395290924272704,0.7000000000000001
0.31328450134143915,0.0047035491712018145,0.31798805051264095,0.7500000000000001
0.29430355293715377,0.0036631277777468287,0.2979666807149006,0.8000000000000002
0.27647260206157953,0.0028528467817998454,0.2793254488433794,0.8500000000000002
0.2597219738866798,0.002221799307648455,0.2619437731943282,0.9000000000000002
0.2439862149688474,0.001730339040624122,0.2457165540094715,0.9500000000000003
0.22920383748815204,0.0013475893998170895,0.23055142688796912,1.0000000000000002
0.21531707898334707,0.0010495036798362737,0.21636658266318334,1.0500000000000003
0.20227167664379714,0.000817354287692811,0.20308903093148994,1.1000000000000003
0.19001665527636644,0.0006365561593019316,0.19065321143566838,1.1500000000000004
0.1785041281187438,0.0004957504353332699,0.17899987855407706,1.2000000000000004
0.1676891097208782,0.00038609082724554036,0.16807520054812372,1.2500000000000004
0.15752934016335518,0.00030068783859551335,0.1578300280019507,1.3000000000000005
0.14798511992584334,0.00023417592415823379,0.14821929585000157,1.3500000000000005
0.139019154760356,0.00018237639311090238,0.1392015311534669,1.4000000000000006
0.13059640996316665,0.00014203487776850914,0.13073844484093516,1.4500000000000006
0.12268397347594269,0.00011061687402956609,0.12279459034997225,1.5000000000000007
0.11525092728116254,8.614850811513703e-05,0.11533707578927768,1.5500000000000007
0.10826822658929006,6.7092525580502e-05,0.10833531911487056,1.6000000000000008
0.10170858634562836,5.225171146033321e-05,0.1017608380570887,1.6500000000000008
0.09554637461337562,4.0693673802128606e-05,0.09558706828717775,1.7000000000000008
0.08975751241627491,3.169226502315002e-05,0.08978920468129807,1.7500000000000009
0.0843193796494914,2.4681960817335727e-05,0.08434406161030875,1.800000000000001
0.07921072669106098,1.92223304122788e-05,0.07922994902147326,1.850000000000001
0.07441159136853069,1.4970365977540008e-05,0.07442656173450823,1.900000000000001
0.0699032209563362,1.1658932746173675e-05,0.06991487988908238,1.950000000000001
0.06566799889911898,9.079985952496904e-06,0.06567707888507147,2.000000000000001
