A,B,all,x
0.5,0.5,1.0,0.0
0.49900099933366654,0.49900099933366654,0.9980019986673331,0.001
0.49800399467199574,0.49800399467199574,0.9960079893439915,0.002
0.49700898202696764,0.49700898202696764,0.9940179640539353,0.003
0.49601595741853033,0.49601595741853033,0.9920319148370607,0.004
0.49502491687458405,0.49502491687458405,0.9900498337491681,0.005
0.49403585643096526,0.49403585643096526,0.9880717128619305,0.006
0.49304877213143095,0.49304877213143095,0.9860975442628619,0.007
0.49206366002764257,0.49206366002764257,0.9841273200552851,0.008
0.4910805161791504,0.4910805161791504,0.9821610323583008,0.009000000000000001
0.4900993366533776,0.4900993366533776,0.9801986733067553,0.010000000000000002
0.489120117525605,0.489120117525605,0.97824023505121,0.011000000000000003
0.48814285487895465,0.48814285487895465,0.9762857097579093,0.012000000000000004
0.4871675448043747,0.4871675448043747,0.9743350896087494,0.013000000000000005
0.4861941834006234,0.4861941834006234,0.9723883668012469,0.014000000000000005
0.4852227667742541,0.4852227667742541,0.9704455335485082,0.015000000000000006
0.4842532910395988,0.4842532910395988,0.9685065820791976,0.016000000000000007
0.4832857523187533,0.4832857523187533,0.9665715046375066,0.017000000000000008
0.4823201467415615,0.4823201467415615,0.964640293483123,0.01800000000000001
0.48135647044559976,0.48135647044559976,0.9627129408911995,0.01900000000000001
0.4803947195761616,0.4803947195761616,0.9607894391523232,0.02000000000000001
0.47943489028624225,0.47943489028624225,0.9588697805724845,0.02100000000000001
0.47847697873652334,0.47847697873652334,0.9569539574730467,0.022000000000000013
0.4775209810953573,0.4775209810953573,0.9550419621907146,0.023000000000000013
0.47656689353875237,0.47656689353875237,0.9531337870775047,0.024000000000000014
0.475614712250357,0.475614712250357,0.951229424500714,0.025000000000000015
0.47466443342144476,0.47466443342144476,0.9493288668428895,0.026000000000000016
0.47371605325089916,0.47371605325089916,0.9474321065017983,0.027000000000000017
0.47276956794519814,0.47276956794519814,0.9455391358903963,0.028000000000000018
0.47182497371839927,0.47182497371839927,0.9436499474367985,0.02900000000000002
0.47088226679212436,0.47088226679212436,0.9417645335842487,0.03000000000000002
0.46994144339554444,0.46994144339554444,0.9398828867910889,0.03100000000000002
0.46900249976536473,0.46900249976536473,0.9380049995307295,0.03200000000000002
0.4680654321458094,0.4680654321458094,0.9361308642916188,0.03300000000000002
0.46713023678860677,0.46713023678860677,0.9342604735772135,0.03400000000000002
0.4661969099529741,0.4661969099529741,0.9323938199059482,0.035000000000000024
0.46526544790560287,0.46526544790560287,0.9305308958112057,0.036000000000000025
0.46433584692064356,0.46433584692064356,0.9286716938412871,0.037000000000000026
0.4634081032796911,0.4634081032796911,0.9268162065593822,0.03800000000000003
0.46248221327176964,0.46248221327176964,0.9249644265435393,0.03900000000000003
0.4615581731933179,0.4615581731933179,0.9231163463866358,0.04000000000000003
0.4606359793481743,0.4606359793481743,0.9212719586963486,0.04100000000000003
0.45971562804756233,0.45971562804756233,0.9194312560951247,0.04200000000000003
0.45879711561007547,0.45879711561007547,0.9175942312201509,0.04300000000000003
0.4578804383616628,0.4578804383616628,0.9157608767233256,0.04400000000000003
0.45696559263561404,0.45696559263561404,0.9139311852712281,0.04500000000000003
0.4560525747725452,0.4560525747725452,0.9121051495450904,0.046000000000000034
0.45514138112038344,0.45514138112038344,0.9102827622407669,0.047000000000000035
0.45423200803435304,0.45423200803435304,0.9084640160687061,0.048000000000000036
0.4533244518769604,0.4533244518769604,0.9066489037539208,0.04900000000000004
0.45241870901797976,0.45241870901797976,0.9048374180359595,0.05000000000000004
0.4515147758344384,0.4515147758344384,0.9030295516688768,0.05100000000000004
0.45061264871060236,0.45061264871060236,0.9012252974212047,0.05200000000000004
0.449712324037962,0.449712324037962,0.899424648075924,0.05300000000000004
0.4488137982152174,0.4488137982152174,0.8976275964304348,0.05400000000000004
0.4479170676482641,0.4479170676482641,0.8958341352965282,0.05500000000000004
0.4470221287501786,0.4470221287501786,0.8940442575003572,0.05600000000000004
0.4461289779412041,0.4461289779412041,0.8922579558824082,0.057000000000000044
0.44523761164873626,0.44523761164873626,0.8904752232974725,0.058000000000000045
0.44434802630730863,0.44434802630730863,0.8886960526146173,0.059000000000000045
0.44346021835857874,0.44346021835857874,0.8869204367171575,0.060000000000000046
0.4425741842513135,0.4425741842513135,0.885148368502627,0.06100000000000005
0.4416899204413754,0.4416899204413754,0.8833798408827508,0.06200000000000005
0.440807423391708,0.440807423391708,0.881614846783416,0.06300000000000004
0.4399266895723219,0.4399266895723219,0.8798533791446438,0.06400000000000004
0.4390477154602806,0.4390477154602806,0.8780954309205612,0.06500000000000004
0.4381704975396866,0.4381704975396866,0.8763409950793732,0.06600000000000004
0.437295032301667,0.437295032301667,0.874590064603334,0.06700000000000005
0.43642131624435965,0.43642131624435965,0.8728426324887193,0.06800000000000005
0.4355493458728991,0.4355493458728991,0.8710986917457982,0.06900000000000005
0.4346791176994029,0.4346791176994029,0.8693582353988057,0.07000000000000005
0.43381062824295696,0.43381062824295696,0.8676212564859139,0.07100000000000005
0.43294387402960244,0.43294387402960244,0.8658877480592049,0.07200000000000005
0.43207885159232134,0.43207885159232134,0.8641577031846427,0.07300000000000005
0.4312155574710227,0.4312155574710227,0.8624311149420454,0.07400000000000005
0.43035398821252885,0.43035398821252885,0.8607079764250577,0.07500000000000005
0.4294941403705617,0.4294941403705617,0.8589882807411234,0.07600000000000005
0.4286360105057287,0.4286360105057287,0.8572720210114574,0.07700000000000005
0.4277795951855092,0.4277795951855092,0.8555591903710184,0.07800000000000006
