x,A,B,1,a_in_non_trivial_cycles,b_in_non_trivial_cycles,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.0,1.2335811384723962e-14,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.0038588987967448757,0.003533652964780775,0.000208347874546342,100.0,99.99999999999999,0.7209556960622208,6.706518618045116,3.3861755481363707,0.4152679246586599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0.005574501498128447,0.005583811651022331,0.0005667255886470864,100.0,100.0,0.16215805166758096,4.95995760866829,2.719616129181126,0.5635899711333512,556.9602433227465,36.988394504135606,0,72.84012087423451,208.125063974734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.00916155540787143,0.008639982030845319,0.0006391856738214526,99.99999999999997,100.0,0.48678092971987674,3.9823378270926018,2.547088763502296,0.421710465143774,95.64804701024201,2.0730655346356426,38.512894442741185,19.07257002363522,48.93624843234934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.004,0.011194832992986358,0.010815264817784605,0.0009271273955873344,99.99999999999962,99.99999999999996,0.5778886139125795,1.2496675506120631,2.1768915950286782,0.48106292599051936,78.59176329931672,22.735861815211152,46.904801975647366,24.473780765916604,39.05437509993758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.006116616777348036,0.007459942477045648,0.0013636085978799327,99.99999999999783,99.9999999999997,0.05613463672536058,0.22375626924316433,1.3435212468345619,0.5940154644526794,54.48676510753454,6.713319343306188,63.02156059915726,33.05727302082392,38.637208241034415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006,0.002443463126517091,0.004912944569555686,0.0016112527666808864,99.99999999999088,99.99999999999878,0.1732219707559981,2.201422443263491,0.6753340909280854,0.5816064205440002,40.04204255703123,11.027254510223528,63.38893511945725,29.813912611555793,30.246113625531457,101.17782552005052,52.000157246702436,0,0,0,83.04264520224454,0,0,0,0,0,0,0,0,0,0,0,0
0.007,0.00033826385533743884,0.0036068645204376795,0.0018370398563053386,99.99999999996942,99.99999999999588,0.23846508940075103,2.491121959117005,0.4637345927801749,0.5589035494334084,28.231780232467965,14.513633611012928,57.944769994679206,27.135644584513955,22.855340373231275,58.17725988293851,24.458658385802067,0,0,0,92.07953782231517,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0.004648408691160694,0.006372177317067616,0.0014302403932079826,99.99999999991279,99.99999999998829,0.08435599926882059,2.0281050208818345,0.5432696242804539,0.3838129338332648,14.95875744002886,10.312357345150177,59.537116450635715,8.491919784579721,11.93353956214698,133.81558404238413,44.122746803474485,0,0,64.47628962693877,70.52522170484117,0,0,0,0,0,0,0,0,0,0,0,0
0.009000000000000001,0.005351930677910451,0.007384935114663344,0.0016758622165414531,99.99999999978115,99.99999999997061,0.12305995416671679,2.2300797039680296,0.5450481017427745,0.3866719050183849,10.857602350323306,7.012028210452705,44.54941664567841,8.21703472574525,9.693591918937996,229.67391562039734,21.150829941087125,0,0,16.32905957410349,100.56081923650763,0,0,0,0,0,0,0,0,0,0,0,0
0.010000000000000002,0.008571687758059493,0.010024850976847619,0.001692731170740751,99.99999999950235,99.99999999993332,0.30407978509415035,2.4707053244214388,0.6192911455323207,0.3532766250062906,9.071715342864321,7.128022964245053,43.095739434884315,5.849541267359753,7.992161349323256,79.1309439360276,28.53673584093142,0,0,5.688266589643545,48.75069542038741,0,0,0,0,0,0,0,0,0,0,0,0
0.011000000000000003,0.00725200998210255,0.010349518525488781,0.002466770514221464,99.99999999895775,99.99999999986025,0.04545435423231105,2.014216089006842,0.6611649713120057,0.45000102019714683,12.070921697020417,11.192110797482941,40.44530790764621,5.871778250359727,8.762485383370658,96.75283052792165,5.73175654333151,0,0,39.75333347223239,79.89997178036604,0,0,0,0,0,0,0,0,0,0,0,0
0.012000000000000004,0.00288612934831816,0.006307097346002408,0.00219198924703151,99.99999999795914,99.99999999972533,0.025804527131801116,2.6425463563321587,0.3064971962581198,0.381719536835034,6.6905875794166505,4.741064002658874,34.365310141465464,5.318490149394141,6.5409330790324,68.63548950406633,9.030277290933494,0,66.35346875348466,35.19059111373446,54.34367558681284,0,0,0,0,0,0,0,0,0,0,0,0
0.013000000000000005,0.003787201681219403,0.007782774210770674,0.002606019975277232,99.9999999962133,99.9999999994909,0.04498755840381931,3.0792649037096975,0.3119844528557716,0.4206133646310393,7.585998917046462,1.158052454548086,39.04341430502523,3.6497126873983543,7.21379227919344,19.429437886689737,14.627204162007079,138.93891338300847,109.95420637441583,36.60925344132926,29.67848925181982,0,0,0,0,0,0,0,0,0,0,0,0
0.014000000000000005,0.0024983366593569947,0.004073901056213568,0.003369299980319393,99.99999999331378,99.99999999909802,0.2454238865668248,3.012856537874738,0.15788932304903253,0.49432792213579585,8.180939198101974,0.11095224307608914,39.3101913766144,4.034734727001372,7.819628906721216,18.170477496795822,41.88819370844728,1.3322704214107832,160.30651048668818,69.50851268839607,31.358017801034602,0,0,0,0,0,0,0,0,0,0,0,0
0.015000000000000006,0.005187717008561777,0.002981688937806345,0.003967775545687101,99.99999998865363,99.99999999846811,0.3381895556382814,3.050695930213367,0.12994003019538378,0.5327324666342591,8.018585445722948,1.6819285698030495,27.627023908931214,6.060275937629466,7.529301157513782,19.94191528355071,72.95791460167494,20.370554216231614,217.819910210965,47.948474992195,35.51303905171647,0,0,0,0,0,0,0,0,0,0,0,0
0.016000000000000007,0.0034049920477104917,0.0037095664544646648,0.0035734817370420683,99.99999998139708,99.99999999749123,0.30001508681915323,2.7129717973782315,0.04669808111886732,0.4448761042711366,7.7925714159515085,4.7400986529810725,17.99070525034801,2.5018267336006224,5.388161889658227,19.29547183802751,66.42597431253485,8.673373644889812,282.88968934827824,24.868256827652132,29.754373613670033,0,0,0,0,0,0,0,0,0,0,0,0
0.017000000000000008,0.00367980199600471,0.004084850837449862,0.003903954652487888,99.99999997045602,99.99999999601746,0.3721374824058676,2.2558047745465477,0.07760432473404011,0.44508413504322275,6.971334543305303,4.52590373119464,6.181216734786494,3.5820551999151915,4.533369703464988,41.69820230102017,64.86603310178955,3.4321155826020866,355.89716121283004,0.8015351440917644,34.99069245187116,0,0,0,0,0,0,0,0,0,0,0,0
0.01800000000000001,0.004811131343093632,0.010660186524975116,0.003753157255124979,99.99999995427424,99.99999999386354,0.10284969686152308,2.0963267678475535,0.37514098512547905,0.416510610910588,6.2231509187120055,7.444348843317337,7.265472100258328,5.652951530911386,4.427115824577085,30.552421189771707,93.95744281569367,23.88651078957023,168.60496966739544,7.6428110860207195,23.54289837916042,188.90676726649284,0,0,0,75.40078444148757,30.29688470507595,75.55079078627507,0,0,0,0,0
