x,A,B,1,AA,AB,BB,2,AAA,AAB,ABB,BBB,3,AAAA,AAAB,AABB,ABBB,BBBB,4,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,5,6,7,8,9,10
0.2840000000000002,0.14024949143687976,0.12074630107887346,0.00958131477478153,0.07161651226278412,0,0.06869640140936495,0.0701564781686592,1.1959025186217567,0,0,0.6899920201607267,0.94359322398357,0.28932678979922044,0,0,0,0.7346040422352332,0.5124636463631324,1.051295756579191,0,0,0,0,3.0403666480030553,2.0559287894067815,0.6248233525959844,0.6847352181447603,0.2277074161173056,1.3890007866831975,4.739267343274831
0.2850000000000002,0.13364221575546084,0.11913834342337906,0.007092202722071182,0.08357986036679446,0,0.062399986499412474,0.07299104571990994,1.1451180585038538,0,0,0.6772766863245021,0.9117495931084407,0.22481383054759926,0,0,0,0.6903685945761843,0.45813555652782706,1.0198300849549766,0,0,0,0,3.0219701350763337,2.0311282218905373,0.46997471109044575,0.6668491714827433,0.33106673083221677,1.7377529856584082,4.097946472082274
0.2860000000000002,0.1368852496270849,0.11629863658288789,0.010133067815368803,0.11574406334856947,0,0.04780055982231467,0.0817838618295222,1.103367854107314,0,0,0.7897844878086067,0.9468243565426183,0.17933138609973648,0,0,0,0.8153974871597864,0.4983809425811543,0.9611394545366904,0,0,0,0,3.026537842101521,2.0047202868827334,0.2954035331375823,0.4659480203514431,0.48176078503420183,1.306125171523268,3.9303261972287595
0.2870000000000002,0.13674493841842575,0.11836077150612188,0.009029401101959437,0.12209965322877679,0,0.05413014714243943,0.08812646000591869,1.0706347668575107,0,0,0.7459991621636671,0.9085828502857786,0.25218699324372945,0,0,0,0.8238076981535067,0.5388186398148745,0.7936623823140432,0,0,0,0,3.161188514162973,1.9917210837352841,0.3914959364191972,0.5161088207959136,0.4794674296363279,1.5397238715647577,3.8668173129735375
0.2880000000000002,0.1342703504563311,0.1081984351604377,0.012888999025414311,0.13403103587890416,0,0.11357104033497441,0.123802085932695,1.035820760898611,0,0,0.7513962387573591,0.8938125666585278,0.13460973329645773,0,0,0,0.8454877581607655,0.4913183362566509,0.9564196636085369,0,0,0,0,3.045107338909025,2.0118927109363756,0.18543040505874508,0.27732242576622057,0.525132766525541,1.5876674601763001,3.5476080405034103
0.2890000000000002,0.14386492803400788,0.11917328303398214,0.012172871101090875,0.18951494415075307,0,0.07328709226830489,0.131434834928918,0.9922687699316229,0,0,0.7323651452083172,0.8624873012073968,0.15603125057225553,0,0,0,1.023925220143516,0.5918725110281098,0.7967813031854133,0,0,0,0,2.8647578003729635,1.8416602523922823,0.3116655955958741,0.4245432617838311,0.34837892363968676,1.4201824504471277,4.438800043039432
0.2900000000000002,0.1456608605150394,0.12147553922159716,0.011914277577799828,0.20747260597636352,0,0.06120286996460387,0.13439129700966018,0.9909068891982004,0,0,0.6844803075459786,0.8379303245368752,0.2063295803154113,0,0,0,1.0202568942897312,0.6149596514891666,0.9042623122942929,0,0,0,0,2.9213777072545617,1.923190260292872,0.31375725666691023,0.391022205214818,0.3911152469066292,1.0414366425583985,4.3674121081239115
0.2910000000000002,0.1441561125484983,0.11922097736226851,0.012294170482802107,0.21272042301155594,0,0.05612478162122382,0.13448399032299438,0.9984548326129242,0,0,0.6812204014628076,0.8400913421273736,0.2075541790136214,0,0,0,0.9940905591192574,0.6023783162381589,1.0240009681670872,0,0,0,0,2.9421404842878784,1.9924549704354975,0.10222165365683818,0.014064031161984795,0.19152239907731017,1.44644303654911,3.707738697566048
0.2920000000000002,0.14880173644438957,0.11953854350511367,0.014451606540419671,0.239582702785644,0,0.06392239353155342,0.15182980676112243,0.8711013950030584,0,0,0.7824172693024464,0.82677915825227,0.2789249498827098,0,0,0,0.9149731627428787,0.5979665233956435,0.9660553663915699,0,0,0,0,3.0714937225891137,2.030085054874199,0.05360846483164908,0.06382447282296108,0.18373947092524417,1.0755414756070742,4.513715402414396
0.2930000000000002,0.14798061585394945,0.1241173334206388,0.011746570063702657,0.2398261953484652,0,0.034710586964750316,0.13737371676738572,0.9009720581504777,0,0,0.8124156684075339,0.8567136382756045,0.13637388454960833,0,0,0,0.9103118615272611,0.5248482010458044,0.9715944255063758,0,0,0,0,2.781896306067778,1.885095050352113,0.10578489067044473,0.35329445290865025,0.5287961476705159,1.196938636048803,4.58265520361671
0.2940000000000002,0.1515303069530319,0.12771519213409382,0.01171263549801651,0.26021278497829164,0,0.012457599568749169,0.13648885835419503,0.8866088162055593,0,0,0.8025281610958457,0.8445863130816387,0.06935022057627345,0,0,0,0.9339969445534609,0.5035520411887472,1.0597479854819127,0,0,0,0,2.7072898704413797,1.8904351825832777,0.22165757061509342,0.5815540499143339,0.11626672388139754,0.9727301629996766,4.272955132173591
0.2950000000000002,0.15260063570315108,0.1320064975846275,0.010094586858198152,0.2327117347084492,0,0.028790654363235732,0.13085529015963693,0.8987920183768258,0,0,0.781604066055858,0.8402326656622797,0.29342886609396335,0,0,0,0.6967891241633252,0.4955177677431026,0.9527874170722105,0,0,0,0,2.7891542189334415,1.8795621672169336,0.17059212134912446,0.4303005587352309,0.10440633175644053,1.8053174289904,4.060915243551278
0.2960000000000002,0.14428651507304716,0.12677992914640832,0.00856961649812414,0.1945451411597605,0,0.02345301289138895,0.1090723381704273,0.9286088576107367,0,0,0.6565926713855881,0.7927872243946544,0.3961196082593627,0,0,0,0.9948896875413217,0.696407239486383,1.037116653985907,0,0,0,0,2.864034504386053,1.9590856465622772,0.3707815853209175,0.2542275795688222,0.0027982172027156225,1.5170358158600454,3.8050534406604943
0.2970000000000002,0.14832987204657794,0.12884008726116358,0.009552853140889094,0.2028942739133623,0,0.04276054030312762,0.122891592977684,0.9451452866992943,0,0,0.6512664208564446,0.798423503036465,0.23095098301500433,0,0,0,1.0169333259696542,0.6254962718945231,1.1827366180983543,0,0,0,0,2.6099792237899098,1.9015489143984252,0.21186020923645474,0.9610003703713493,0.599485686572886,2.0609709578826307,3.737990392376391
