k,median_errors_by_min_dist
100,0.0
200,0.0
300,0.0
400,0.0
500,-0.004
600,-0.013333333333333334
700,-0.037142857142857144
800,-0.075625
900,-0.11944444444444444
1000,-0.166
1100,-0.21227272727272728
1200,-0.2575
1300,-0.29846153846153844
1400,-0.33678571428571424
1500,-0.37266666666666665
