k,median_errors_by_min_dist
100,0.0
200,0.0
300,0.0
400,-0.0025
500,-0.004
600,-0.018333333333333333
700,-0.05
800,-0.09
900,-0.13444444444444445
1000,-0.181
1100,-0.22454545454545455
1200,-0.2675
1300,-0.3073076923076923
1400,-0.345
1500,-0.37866666666666665
